code_postal,n,lat,long
G0W1B0,3,NA,NA
G0W1E0,12,48.85788225,-72.0979171
G0W1G0,13,NA,NA
G0W1H0,7,49.78186401538461,-74.8432732
G0W1K0,2,NA,NA
G0W1N0,3,48.41728435,-71.944559
G0W1P0,4,NA,NA
G0W1R0,3,49.124059,-72.60298495
G0W1T0,11,NA,NA
G0W1V0,3,NA,NA
G0W1X0,2,48.7912996,-71.4269472
G0W1Y0,18,48.6870632,-71.67752997999999
G0W1Z0,16,48.4490974,-71.524051725
G0W2B0,2,48.8958867,-71.8280339
G0W2G0,9,48.7676662,-72.05015715
G0W2H0,11,48.576683890909095,-72.23258072727272
G0W2L0,33,48.47168965,-71.6508536
G0W2M0,2,NA,NA
G0W2P0,19,48.4795101,-71.7915268
G0W2S0,39,48.64425373333333,-71.63060736666667
G0W2T0,9,NA,NA
G0W2V0,18,48.5890315,-71.5552752
G0W2X0,12,48.70689956666667,-71.8434962
G0X1A0,18,46.499617671428574,-72.24955144285714
G0X1C0,40,46.467877,-72.3788948
G0X1E0,8,NA,NA
G0X1H0,3,NA,NA
G0X1J0,7,46.6742888,-72.6197282
G0X1L0,16,46.610149,-72.6319039
G0X1M0,12,46.8610058,-72.4083952
G0X1N0,27,46.6046566,-72.86279923333333
G0X1R0,1,NA,NA
G0X1S0,1,NA,NA
G0X1V0,15,46.3183923,-71.943736
G0X1W0,8,46.8759947,-72.3086564
G0X2B0,9,NA,NA
G0X2C0,1,46.90894768333333,-72.87091518333334
G0X2E0,1,46.79866205,-72.77631855
G0X2G0,17,46.72992694,-72.4338783
G0X2J0,23,46.57155139705882,-72.19619113529411
G0X2K0,23,46.39794418333333,-72.87508761666666
G0X2L0,49,46.50913085609756,-72.8204544804878
G0X2M0,13,NA,NA
G0X2N0,21,46.4841296,-72.94958814
G0X2P0,40,46.441135844827585,-72.77300475172413
G0X2R0,12,46.53417654,-72.33208876
G0X2V0,23,46.7074948,-72.7530121
G0X2W0,1,NA,NA
G0X2X0,36,46.4291427,-72.5204542
G0X2Y0,21,46.55051915,-72.4914674
G0X2Z0,28,46.5012478,-72.2027396
G0X3A0,6,NA,NA
G0X3B0,18,NA,NA
G0X3C0,12,NA,NA
G0X3E0,10,46.610548341935484,-72.38537707741935
G0X3G0,26,46.82179,-72.5041662
G0X3H0,22,46.733879728571424,-72.56485738571428
G0X3J0,37,46.480247795,-72.668233165
G0X3K0,5,NA,NA
G0X3L0,22,46.2651448,-72.869407325
G0X3N0,2,NA,NA
G0X3P0,2,47.9225274,-74.6212246
G0X3R0,2,47.90193045,-73.78855465
G0Y1A0,1,NA,NA
G0Y1B0,11,45.8309301,-71.38479233333334
G0Y1C0,15,NA,NA
G0Y1E0,1,45.6018441,-71.1416529
G0Y1E1,4,NA,NA
G0Y1G0,22,45.6024383,-70.9269373
G0Y1H0,12,45.4865392,-70.9033392
G0Y1J0,3,45.6690619,-70.9679151
G0Y1L0,9,45.7848829,-71.0925489
G0Y1M0,5,NA,NA
G0Y1N0,6,45.7115539,-71.1568466
G0Y1P0,6,45.79394853333333,-71.33195223333334
G0Y1R0,7,45.386231333333335,-70.84928846666666
G0Z1A0,6,NA,NA
G0Z1B0,16,46.2665664,-72.0265602
G0Z1C0,18,46.16968296666667,-72.13636156666666
G0Z1E0,6,NA,NA
G0Z1G0,20,46.1032613,-72.2376246
G0Z1H0,2,NA,NA
G0Z1J0,6,46.1632375,-72.32554941428572
G0Z1K0,18,NA,NA
G1B0C3,1,NA,NA
G1B0C5,1,46.951865,-71.207609
G1B0C8,1,NA,NA
G1B0E2,1,NA,NA
G1B0E3,4,NA,NA
G1B0E6,2,NA,NA
G1B0E7,1,NA,NA
G1B0E8,1,NA,NA
G1B0H1,2,NA,NA
G1B0H4,1,NA,NA
G1B0H7,2,NA,NA
G1B0J3,2,NA,NA
G1B0K1,1,NA,NA
G1B0K2,1,NA,NA
G1B0M2,3,NA,NA
G1B0P2,2,NA,NA
G1B0P5,1,NA,NA
G1B0P9,5,NA,NA
G1B1A8,1,NA,NA
G1B1C1,1,NA,NA
G1B1C6,1,NA,NA
G1B1E1,1,NA,NA
G1B1G4,3,NA,NA
G1B1G5,3,NA,NA
G1B1H5,2,NA,NA
G1B1H7,1,46.905277,-71.1896362
G1B1K2,1,NA,NA
G1B1K5,2,NA,NA
G1B1K6,1,NA,NA
G1B1L6,2,NA,NA
G1B1M5,1,NA,NA
G1B1M7,1,NA,NA
G1B1N7,1,NA,NA
G1B1P4,1,NA,NA
G1B1P5,1,NA,NA
G1B1S6,1,NA,NA
G1B1S9,3,NA,NA
G1B1T2,1,NA,NA
G1B1T3,1,46.89180613571428,-71.21650965
G1B1T4,2,NA,NA
G1B1T5,1,NA,NA
G1B1T6,1,NA,NA
G1B1V5,2,NA,NA
G1B1Y1,1,NA,NA
G1B1Y2,1,NA,NA
G1B1Y7,2,NA,NA
G1B1Y8,1,NA,NA
G1B2A2,1,NA,NA
G1B2A4,1,NA,NA
G1B2B9,2,NA,NA
G1B2E2,1,46.92112169230769,-71.20715653076923
G1B2E4,1,NA,NA
G1B2H2,2,NA,NA
G1B2H4,1,NA,NA
G1B2H7,1,NA,NA
G1B2L1,2,NA,NA
G1B2L5,1,NA,NA
G1B2N2,1,NA,NA
G1B2R1,2,NA,NA
G1B2R4,1,NA,NA
G1B2R6,1,NA,NA
G1B2R8,1,NA,NA
G1B2S1,1,NA,NA
G1B2S5,2,NA,NA
G1B2S8,1,NA,NA
G1B2V6,1,NA,NA
G1B2W2,2,NA,NA
G1B2X8,1,NA,NA
G1B2Y3,1,NA,NA
G1B3A1,1,NA,NA
G1B3B2,1,NA,NA
G1B3G2,2,NA,NA
G1B3H6,1,NA,NA
G1B3J1,1,NA,NA
G1B3K5,1,NA,NA
G1B3L3,2,NA,NA
G1B3L5,1,NA,NA
G1B3M1,1,NA,NA
G1B3M6,1,NA,NA
G1B3M7,1,NA,NA
G1B3M8,1,NA,NA
G1B3N1,3,NA,NA
G1B3N2,1,NA,NA
G1B3N8,2,NA,NA
G1B3N9,1,NA,NA
G1B3P1,2,NA,NA
G1B3P3,1,NA,NA
G1B3P7,1,NA,NA
G1B3R9,1,NA,NA
G1B3S3,2,NA,NA
G1B3T2,1,NA,NA
G1B3V3,1,NA,NA
G1B3W4,1,NA,NA
G1B3X6,1,NA,NA
G1B3X7,1,NA,NA
G1B3Y1,4,NA,NA
G1B3Y2,1,NA,NA
G1B3Y7,1,NA,NA
G1C0B5,2,NA,NA
G1C0B7,5,NA,NA
G1C0C1,3,NA,NA
G1C0C6,1,NA,NA
G1C0E1,1,NA,NA
G1C0E9,1,NA,NA
G1C0G1,1,NA,NA
G1C0G2,4,NA,NA
G1C0G3,3,NA,NA
G1C0G4,2,NA,NA
G1C0H5,4,NA,NA
G1C0J2,1,NA,NA
G1C0K2,2,NA,NA
G1C0K3,2,NA,NA
