meme_adresse,SM13,mailing_address_region,statut1,n
FALSE,124,Rest of Quebec,Personne morale,3
FALSE,124,Rest of Quebec,Personne physique,14
FALSE,124,Rest of Canada,Personne morale,4
FALSE,124,Rest of Canada,Personne physique,10
FALSE,124,Outside Canada,Personne physique,8
FALSE,125,Montreal,Personne morale,4
FALSE,125,Montreal,Personne physique,37
FALSE,125,Rest of Quebec,Personne morale,1
FALSE,125,Rest of Quebec,Personne physique,3
FALSE,125,Rest of Canada,Personne morale,1
FALSE,125,Rest of Canada,Personne physique,2
FALSE,126,Montreal,Personne morale,6
FALSE,126,Montreal,Personne physique,20
FALSE,126,Rest of Quebec,Personne physique,4
FALSE,126,Rest of Canada,Personne physique,4
FALSE,127,Montreal,Personne morale,178
FALSE,127,Montreal,Personne physique,862
FALSE,127,Rest of Quebec,Personne morale,52
FALSE,127,Rest of Quebec,Personne physique,251
FALSE,127,Rest of Canada,Personne morale,11
FALSE,127,Rest of Canada,Personne physique,69
FALSE,127,Outside Canada,Personne morale,12
FALSE,127,Outside Canada,Personne physique,85
FALSE,128,Montreal,Personne morale,133
FALSE,128,Montreal,Personne physique,526
FALSE,128,Rest of Quebec,Personne morale,6
FALSE,128,Rest of Quebec,Personne physique,116
FALSE,128,Rest of Canada,Personne morale,2
FALSE,128,Rest of Canada,Personne physique,26
FALSE,128,Outside Canada,Personne physique,5
FALSE,129,Montreal,Personne morale,49
FALSE,129,Montreal,Personne physique,341
FALSE,129,Rest of Quebec,Personne morale,15
FALSE,129,Rest of Quebec,Personne physique,81
FALSE,129,Rest of Canada,Personne morale,2
FALSE,129,Rest of Canada,Personne physique,22
FALSE,129,Outside Canada,Personne physique,10
FALSE,130,Montreal,Personne morale,48
FALSE,130,Montreal,Personne physique,287
FALSE,130,Rest of Quebec,Personne morale,4
FALSE,130,Rest of Quebec,Personne physique,31
FALSE,130,Rest of Canada,Personne morale,2
FALSE,130,Rest of Canada,Personne physique,10
FALSE,130,Outside Canada,Personne morale,1
FALSE,130,Outside Canada,Personne physique,6
FALSE,131,Montreal,Personne morale,80
FALSE,131,Montreal,Personne physique,460
FALSE,131,Rest of Quebec,Personne morale,5
FALSE,131,Rest of Quebec,Personne physique,30
FALSE,131,Rest of Canada,Personne morale,3
FALSE,131,Rest of Canada,Personne physique,22
FALSE,131,Outside Canada,Personne morale,1
FALSE,131,Outside Canada,Personne physique,7
FALSE,132,Montreal,Personne morale,116
FALSE,132,Montreal,Personne physique,525
FALSE,132,Rest of Quebec,Personne morale,7
FALSE,132,Rest of Quebec,Personne physique,17
FALSE,132,Rest of Canada,Personne morale,1
FALSE,132,Rest of Canada,Personne physique,20
FALSE,132,Outside Canada,Personne physique,3
FALSE,133,Montreal,Personne morale,6
FALSE,133,Montreal,Personne physique,71
FALSE,133,Rest of Quebec,Personne morale,6
FALSE,133,Rest of Quebec,Personne physique,15
FALSE,133,Rest of Canada,Personne physique,1
FALSE,133,Outside Canada,Personne physique,2
FALSE,134,Montreal,Personne morale,15
FALSE,134,Montreal,Personne physique,159
FALSE,134,Rest of Quebec,Personne morale,2
FALSE,134,Rest of Quebec,Personne physique,20
FALSE,134,Rest of Canada,Personne physique,7
