datetime,kWh,code_kWh,temperature,code_temperature,date,hour,month,week
2018-08-08T19:00:00Z,0.17,R,23,R,2018-08-08,19,2018-08-01,2018-08-05
2018-08-08T18:00:00Z,0.17,R,23,R,2018-08-08,18,2018-08-01,2018-08-05
2018-08-08T17:00:00Z,0.74,R,24,R,2018-08-08,17,2018-08-01,2018-08-05
2018-08-08T16:00:00Z,0.17,R,24,R,2018-08-08,16,2018-08-01,2018-08-05
2018-08-08T15:00:00Z,0.74,R,25,R,2018-08-08,15,2018-08-01,2018-08-05
2018-08-08T14:00:00Z,0.18,R,26,R,2018-08-08,14,2018-08-01,2018-08-05
2018-08-08T13:00:00Z,0.16,R,27,R,2018-08-08,13,2018-08-01,2018-08-05
2018-08-08T12:00:00Z,0.71,R,26,R,2018-08-08,12,2018-08-01,2018-08-05
2018-08-08T11:00:00Z,0.17,R,25,R,2018-08-08,11,2018-08-01,2018-08-05
2018-08-08T10:00:00Z,0.68,R,24,R,2018-08-08,10,2018-08-01,2018-08-05
2018-08-08T09:00:00Z,0.18,R,23,R,2018-08-08,9,2018-08-01,2018-08-05
2018-08-08T08:00:00Z,0.18,R,22,R,2018-08-08,8,2018-08-01,2018-08-05
2018-08-08T07:00:00Z,0.73,R,21,R,2018-08-08,7,2018-08-01,2018-08-05
2018-08-08T06:00:00Z,0.19,R,20,R,2018-08-08,6,2018-08-01,2018-08-05
2018-08-08T05:00:00Z,0.74,R,19,R,2018-08-08,5,2018-08-01,2018-08-05
2018-08-08T04:00:00Z,0.16,R,18,R,2018-08-08,4,2018-08-01,2018-08-05
2018-08-08T03:00:00Z,0.17,R,18,R,2018-08-08,3,2018-08-01,2018-08-05
2018-08-08T02:00:00Z,0.72,R,19,R,2018-08-08,2,2018-08-01,2018-08-05
2018-08-08T01:00:00Z,0.17,R,19,R,2018-08-08,1,2018-08-01,2018-08-05
2018-08-08T00:00:00Z,0.73,R,20,R,2018-08-08,0,2018-08-01,2018-08-05
2018-08-07T23:00:00Z,0.2,R,20,R,2018-08-07,23,2018-08-01,2018-08-05
2018-08-07T22:00:00Z,0.29,R,20,R,2018-08-07,22,2018-08-01,2018-08-05
2018-08-07T21:00:00Z,0.67,R,20,R,2018-08-07,21,2018-08-01,2018-08-05
2018-08-07T20:00:00Z,0.17,R,20,R,2018-08-07,20,2018-08-01,2018-08-05
2018-08-07T19:00:00Z,0.74,R,21,R,2018-08-07,19,2018-08-01,2018-08-05
2018-08-07T18:00:00Z,0.18,R,23,R,2018-08-07,18,2018-08-01,2018-08-05
2018-08-07T17:00:00Z,0.59,R,26,R,2018-08-07,17,2018-08-01,2018-08-05
2018-08-07T16:00:00Z,0.31,R,27,R,2018-08-07,16,2018-08-01,2018-08-05
2018-08-07T15:00:00Z,0.16,R,27,R,2018-08-07,15,2018-08-01,2018-08-05
2018-08-07T14:00:00Z,0.72,R,27,R,2018-08-07,14,2018-08-01,2018-08-05
2018-08-07T13:00:00Z,0.17,R,25,R,2018-08-07,13,2018-08-01,2018-08-05
2018-08-07T12:00:00Z,0.73,R,23,R,2018-08-07,12,2018-08-01,2018-08-05
2018-08-07T11:00:00Z,0.18,R,24,R,2018-08-07,11,2018-08-01,2018-08-05
2018-08-07T10:00:00Z,0.54,R,25,R,2018-08-07,10,2018-08-01,2018-08-05
2018-08-07T09:00:00Z,0.33,R,23,R,2018-08-07,9,2018-08-01,2018-08-05
2018-08-07T08:00:00Z,0.16,R,23,R,2018-08-07,8,2018-08-01,2018-08-05
2018-08-07T07:00:00Z,0.7,R,23,R,2018-08-07,7,2018-08-01,2018-08-05
2018-08-07T06:00:00Z,0.18,R,22,R,2018-08-07,6,2018-08-01,2018-08-05
2018-08-07T05:00:00Z,0.72,R,22,R,2018-08-07,5,2018-08-01,2018-08-05
2018-08-07T04:00:00Z,0.18,R,22,R,2018-08-07,4,2018-08-01,2018-08-05
2018-08-07T03:00:00Z,0.7,R,22,R,2018-08-07,3,2018-08-01,2018-08-05
2018-08-07T02:00:00Z,0.18,R,22,R,2018-08-07,2,2018-08-01,2018-08-05
2018-08-07T01:00:00Z,0.69,R,22,R,2018-08-07,1,2018-08-01,2018-08-05
2018-08-07T00:00:00Z,0.17,R,22,R,2018-08-07,0,2018-08-01,2018-08-05
2018-08-06T23:00:00Z,0.45,R,22,R,2018-08-06,23,2018-08-01,2018-08-05
2018-08-06T22:00:00Z,0.43,R,22,R,2018-08-06,22,2018-08-01,2018-08-05
2018-08-06T21:00:00Z,0.18,R,23,R,2018-08-06,21,2018-08-01,2018-08-05
2018-08-06T20:00:00Z,0.73,R,23,R,2018-08-06,20,2018-08-01,2018-08-05
2018-08-06T19:00:00Z,0.18,R,24,R,2018-08-06,19,2018-08-01,2018-08-05
2018-08-06T18:00:00Z,0.72,R,25,R,2018-08-06,18,2018-08-01,2018-08-05
2018-08-06T17:00:00Z,0.16,R,26,R,2018-08-06,17,2018-08-01,2018-08-05
2018-08-06T16:00:00Z,0.72,R,28,R,2018-08-06,16,2018-08-01,2018-08-05
2018-08-06T15:00:00Z,0.18,R,26,R,2018-08-06,15,2018-08-01,2018-08-05
2018-08-06T14:00:00Z,0.75,R,29,R,2018-08-06,14,2018-08-01,2018-08-05
2018-08-06T13:00:00Z,0.2,R,28,R,2018-08-06,13,2018-08-01,2018-08-05
2018-08-06T12:00:00Z,0.61,R,28,R,2018-08-06,12,2018-08-01,2018-08-05
2018-08-06T11:00:00Z,0.29,R,28,R,2018-08-06,11,2018-08-01,2018-08-05
2018-08-06T10:00:00Z,0.22,R,27,R,2018-08-06,10,2018-08-01,2018-08-05
2018-08-06T09:00:00Z,0.65,R,25,R,2018-08-06,9,2018-08-01,2018-08-05
