Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Aussant Jean-Martin P.Q.;Chandonnet Louis É.A.;Ouellette Eric P.L.Q./Q.L.P.;Pereira Céline Q.S.;Rouleau Chantal C.A.Q.-É.F.L.;Royer Geneviève P.M.L.Q.;Surette Pierre B.P.;B.V.;B.R.;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;393;;58;359;40;0;36;16;44;0;3;139;5;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;393;;59;343;48;0;21;22;74;0;2;167;4;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;393;;60;340;41;1;20;25;60;0;0;147;3;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;394;;61;379;88;0;48;28;64;1;0;229;7;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;394;;62;384;61;2;46;32;74;1;6;222;8;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;394;;63;371;56;2;31;35;102;2;1;229;2;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;394;;64;363;71;0;33;32;84;1;3;224;5;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;394;;65;363;68;0;30;20;55;0;3;176;8;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;394;;66;373;46;2;35;32;66;0;1;182;6;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;394;;67;397;21;0;50;27;42;0;1;141;0;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;394;;68;383;43;1;33;21;82;1;1;182;2;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;395;;69;385;53;1;31;22;110;0;1;218;6;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;395;;70;383;75;0;29;22;81;0;3;210;7;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;395;;71;374;45;2;31;12;75;1;3;169;1;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;395;;72;374;31;1;21;24;108;1;1;187;2;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;395;;73;372;80;0;37;25;77;1;0;220;2;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;395;;74;334;38;0;19;16;79;0;0;152;5;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;395;;75;374;52;1;27;17;73;1;1;172;7;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;395;;76;345;41;2;34;28;77;1;2;185;4;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;396;;77;324;36;1;12;20;35;1;2;107;4;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;396;;78;388;57;0;35;34;84;0;1;211;4;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;396;;79;358;54;1;28;19;80;3;1;186;3;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;396;;80;368;59;3;23;34;80;0;2;201;7;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;396;;81;336;40;1;28;19;49;0;3;140;1;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;396;;82;364;48;1;11;29;69;0;1;159;5;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;396;;83;354;63;4;19;27;39;0;2;154;4;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;397;;84;367;51;1;26;23;70;0;1;172;4;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;397;;85;371;37;1;20;27;75;0;2;162;3;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;397;;86;346;59;1;13;24;84;0;1;182;4;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;397;;87;359;58;0;23;35;60;0;2;178;3;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;397;;88;359;51;3;22;36;55;0;0;167;2;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;397;;89;364;76;2;15;27;88;0;0;208;8;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;397;;90;334;58;0;21;32;70;0;1;182;2;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;398;;91;382;75;0;18;29;77;0;4;203;4;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;398;;92;363;65;1;20;35;91;1;2;215;9;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;398;;93;358;60;1;23;31;91;0;1;207;1;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;398;;94;374;84;0;23;25;84;0;1;217;0;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;398;;95;378;76;1;19;36;89;0;1;222;4;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;399;;96A;227;36;0;13;17;49;0;2;117;5;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;399;;96B;256;55;0;10;24;49;0;5;143;2;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;399;;97;371;71;1;15;32;67;1;0;187;4;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;399;;98;362;79;0;17;38;82;0;3;219;1;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;399;;99;376;53;1;24;43;54;1;1;177;3;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;399;;100;353;73;0;36;19;81;0;2;211;3;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;399;;101;361;43;1;24;35;87;0;3;193;3;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;399;;102;374;40;0;14;36;77;0;2;169;2;
