Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bastien Jean C.P.Q.;Carvalho Lucia P.L.Q./Q.L.P.;Fortier Valérie P.V.Q./G.P.Q.;Gervais Thierry N.P.D.Q.;Gousse Gabriel P.Q.;Laframboise Mario C.A.Q.-É.F.L.;Lepage William Q.S.;B.V.;B.R.
536;Blainville;2018-10-01;G;Blainville, v;9;;107;406;5;16;7;2;30;84;44;188;10
536;Blainville;2018-10-01;G;Blainville, v;9;;108;406;3;21;13;2;36;103;41;219;9
536;Blainville;2018-10-01;G;Blainville, v;9;;109;409;0;22;6;1;34;99;55;217;0
536;Blainville;2018-10-01;G;Blainville, v;9;;110;395;1;23;8;0;31;76;35;174;7
536;Blainville;2018-10-01;G;Lorraine, v;1;;111;397;0;73;11;0;18;92;26;220;3
536;Blainville;2018-10-01;G;Lorraine, v;1;;112;414;0;65;10;8;44;94;35;256;5
536;Blainville;2018-10-01;G;Lorraine, v;1;;113;405;1;92;14;3;30;93;19;252;0
536;Blainville;2018-10-01;G;Lorraine, v;1;;114;406;0;75;4;0;17;94;17;207;0
536;Blainville;2018-10-01;G;Lorraine, v;1;;115;405;0;87;3;0;17;75;17;199;0
536;Blainville;2018-10-01;G;Lorraine, v;2;;116;378;3;41;10;1;43;38;45;181;5
536;Blainville;2018-10-01;G;Lorraine, v;2;;117;389;3;34;13;2;46;73;48;219;10
536;Blainville;2018-10-01;G;Lorraine, v;2;;118;380;0;42;5;0;29;90;58;224;1
536;Blainville;2018-10-01;G;Lorraine, v;2;;119;385;0;44;4;1;35;97;55;236;10
536;Blainville;2018-10-01;G;Lorraine, v;2;;120;371;0;56;6;1;25;77;33;198;2
536;Blainville;2018-10-01;G;Lorraine, v;2;;121;377;0;71;11;3;30;83;27;225;2
536;Blainville;2018-10-01;G;Lorraine, v;2;;122;372;0;48;12;3;31;111;35;240;2
536;Blainville;2018-10-01;G;Lorraine, v;2;;123;386;1;53;4;0;26;111;33;228;4
536;Blainville;2018-10-01;G;Lorraine, v;3;;124;341;0;61;2;0;23;80;32;198;0
536;Blainville;2018-10-01;G;Lorraine, v;3;;125;362;1;54;4;1;40;77;19;196;5
536;Blainville;2018-10-01;G;Lorraine, v;3;;126;347;2;40;14;3;22;80;37;198;3
536;Blainville;2018-10-01;G;Lorraine, v;3;;127;333;0;59;3;2;23;100;30;217;1
536;Blainville;2018-10-01;G;Lorraine, v;3;;128;344;2;58;1;1;39;87;30;218;2
536;Blainville;2018-10-01;G;Lorraine, v;3;;129;361;0;53;2;0;19;82;15;171;3
536;Blainville;2018-10-01;G;Bois-des-Filion, v;1;;130;398;2;22;6;3;29;109;50;221;6
536;Blainville;2018-10-01;G;Bois-des-Filion, v;1;;131;393;1;29;6;0;30;91;30;187;10
