Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beauchemin Chantal P.Q.;Bélanger Pierre P.C.Q./C.P.Q.;Bonnardel François C.A.Q.-É.F.L.;Deschamps Stéphane P.N.;Laverdure Lyne P.L.Q./Q.L.P.;Legault Anne-Sophie Q.S.;Poulin Daphné P.V.Q./G.P.Q.;Robidas Kevin B.P.;B.V.;B.R.;
206;Granby;2018-10-01;G;Granby, v;5;;33;379;39;4;103;1;36;38;5;0;226;0;
206;Granby;2018-10-01;G;Granby, v;5;;34;369;22;4;103;0;16;44;4;0;193;0;
206;Granby;2018-10-01;G;Granby, v;5;;35;381;25;4;86;3;20;48;2;1;189;3;
206;Granby;2018-10-01;G;Granby, v;5;;36;370;7;3;52;1;10;19;3;3;98;0;
206;Granby;2018-10-01;G;Granby, v;5;;37;365;19;0;63;4;5;23;3;0;117;1;
206;Granby;2018-10-01;G;Granby, v;6;;38;363;13;1;68;0;9;26;5;2;124;2;
206;Granby;2018-10-01;G;Granby, v;6;;39;403;15;3;82;0;12;15;1;2;130;5;
206;Granby;2018-10-01;G;Granby, v;6;;40;418;15;2;109;0;6;29;1;3;165;2;
206;Granby;2018-10-01;G;Granby, v;6;;41;400;20;0;105;0;23;37;3;2;190;0;
206;Granby;2018-10-01;G;Granby, v;6;;42;386;13;2;96;2;20;27;2;2;164;3;
206;Granby;2018-10-01;G;Granby, v;6;;43;403;20;0;105;4;20;25;3;1;178;5;
206;Granby;2018-10-01;G;Granby, v;7;;44;402;16;1;114;1;17;27;6;1;183;1;
206;Granby;2018-10-01;G;Granby, v;7;;45;391;24;0;122;0;24;24;1;0;195;3;
206;Granby;2018-10-01;G;Granby, v;7;;46;394;10;0;125;0;12;19;2;1;169;2;
206;Granby;2018-10-01;G;Granby, v;7;;47;383;15;4;86;0;15;23;2;0;145;1;
206;Granby;2018-10-01;G;Granby, v;7;;48;383;27;5;119;1;15;26;0;2;195;6;
206;Granby;2018-10-01;G;Granby, v;7;;49;391;19;3;102;0;24;18;1;0;167;3;
206;Granby;2018-10-01;G;Granby, v;7;;50;390;17;2;131;2;26;29;3;1;211;4;
206;Granby;2018-10-01;G;Granby, v;8;;51;355;17;1;152;0;22;33;3;2;230;3;
206;Granby;2018-10-01;G;Granby, v;8;;52;380;21;0;88;1;7;16;3;1;137;5;
206;Granby;2018-10-01;G;Granby, v;8;;53;344;10;1;87;3;16;27;1;0;145;1;
206;Granby;2018-10-01;G;Granby, v;8;;54;355;21;7;111;1;14;33;3;1;191;6;
206;Granby;2018-10-01;G;Granby, v;8;;55;358;12;4;120;0;19;25;3;0;183;5;
206;Granby;2018-10-01;G;Granby, v;8;;56;371;23;6;158;2;11;26;3;1;230;3;
206;Granby;2018-10-01;G;Granby, v;8;;57;360;27;0;124;0;18;33;1;0;203;2;
206;Granby;2018-10-01;G;Granby, v;9;;58;387;9;3;124;0;11;19;2;1;169;1;
206;Granby;2018-10-01;G;Granby, v;9;;59;411;14;3;95;0;9;20;5;2;148;1;
206;Granby;2018-10-01;G;Granby, v;9;;60A;234;9;1;72;0;4;31;6;1;124;1;
206;Granby;2018-10-01;G;Granby, v;9;;60B;198;7;2;68;0;7;15;0;0;99;1;
206;Granby;2018-10-01;G;Granby, v;9;;61;383;5;0;94;0;8;32;2;1;142;3;
