Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beauregard Normand P.Q.;Bégin Vincent Ind;Bjerke Natalie P.C.Q./C.P.Q.;Boivin Guillaume Q.S.;Côté Caroline N.P.D.Q.;Guilbault Geneviève C.A.Q.-É.F.L.;Perron Julie-Maude P.L.Q./Q.L.P.;Rouckout Jean-Luc É.A.;Vendette Daydree P.V.Q./G.P.Q.;B.V.;B.R.;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;4;;40;381;20;2;11;22;0;87;65;0;1;208;3;
708;Louis-Hébert;2018-10-01;G;Québec, v;10;;41;390;10;3;2;13;0;115;32;0;4;179;3;
708;Louis-Hébert;2018-10-01;G;Québec, v;10;;42;399;8;2;9;11;0;99;29;0;2;160;0;
708;Louis-Hébert;2018-10-01;G;Québec, v;10;;43;392;12;2;6;33;1;97;19;1;5;176;1;
708;Louis-Hébert;2018-10-01;G;Québec, v;10;;44;386;21;3;10;13;0;113;48;1;3;212;2;
708;Louis-Hébert;2018-10-01;G;Québec, v;10;;45;382;7;2;10;23;4;72;32;0;3;153;5;
708;Louis-Hébert;2018-10-01;G;Québec, v;10;;46;400;12;1;5;13;2;104;28;0;12;177;3;
708;Louis-Hébert;2018-10-01;G;Québec, v;10;;47;388;18;1;8;28;3;104;34;1;7;204;3;
708;Louis-Hébert;2018-10-01;G;Québec, v;11;;48;346;12;3;3;27;0;104;42;0;4;195;5;
708;Louis-Hébert;2018-10-01;G;Québec, v;11;;49;339;11;3;4;26;1;99;33;0;2;179;3;
708;Louis-Hébert;2018-10-01;G;Québec, v;11;;50;352;23;0;17;26;5;90;42;0;3;206;1;
708;Louis-Hébert;2018-10-01;G;Québec, v;11;;51;357;21;1;8;29;2;94;44;0;11;210;2;
708;Louis-Hébert;2018-10-01;G;Québec, v;12;;52;331;17;1;8;23;1;86;45;0;5;186;1;
708;Louis-Hébert;2018-10-01;G;Québec, v;12;;53;329;14;3;11;32;2;64;37;0;3;166;0;
708;Louis-Hébert;2018-10-01;G;Québec, v;12;;54;345;30;2;7;26;1;91;26;0;6;189;2;
708;Louis-Hébert;2018-10-01;G;Québec, v;12;;55;348;14;1;9;28;1;83;53;0;7;196;5;
708;Louis-Hébert;2018-10-01;G;Québec, v;12;;56;341;19;1;6;27;2;87;47;0;3;192;2;
708;Louis-Hébert;2018-10-01;G;Québec, v;13;;57;389;14;1;8;22;0;87;35;0;2;169;4;
708;Louis-Hébert;2018-10-01;G;Québec, v;13;;58;359;13;2;3;19;1;103;44;0;2;187;2;
708;Louis-Hébert;2018-10-01;G;Québec, v;13;;59;372;30;6;5;30;1;95;52;0;1;220;3;
708;Louis-Hébert;2018-10-01;G;Québec, v;13;;60;362;24;1;9;21;1;89;38;0;2;185;2;
708;Louis-Hébert;2018-10-01;G;Québec, v;13;;61;376;21;2;9;16;1;98;53;0;5;205;3;
708;Louis-Hébert;2018-10-01;G;Québec, v;13;;62;371;20;3;7;22;4;91;42;0;2;191;1;
708;Louis-Hébert;2018-10-01;G;Québec, v;13;;63;374;25;0;11;23;1;97;55;0;1;213;3;
708;Louis-Hébert;2018-10-01;G;Québec, v;14;;64;374;13;1;2;16;0;102;74;0;4;212;3;
708;Louis-Hébert;2018-10-01;G;Québec, v;14;;65;363;21;0;3;14;2;102;52;0;6;200;5;
708;Louis-Hébert;2018-10-01;G;Québec, v;14;;66;365;30;2;1;19;1;95;62;0;3;213;2;
708;Louis-Hébert;2018-10-01;G;Québec, v;14;;67;371;11;4;4;21;0;102;68;0;2;212;2;
708;Louis-Hébert;2018-10-01;G;Québec, v;14;;68;371;11;0;9;13;0;107;82;0;2;224;2;
708;Louis-Hébert;2018-10-01;G;Québec, v;14;;69;370;20;1;9;19;0;106;80;0;6;241;2;
708;Louis-Hébert;2018-10-01;G;Québec, v;14;;70;379;18;3;7;27;1;97;43;0;1;197;3;
708;Louis-Hébert;2018-10-01;G;Québec, v;14;;71;370;16;1;6;16;1;108;66;0;11;225;1;
708;Louis-Hébert;2018-10-01;G;Québec, v;14;;72;366;37;5;7;42;1;93;40;0;7;232;1;
708;Louis-Hébert;2018-10-01;G;Québec, v;15;;73;389;32;0;3;45;5;106;43;0;5;239;1;
708;Louis-Hébert;2018-10-01;G;Québec, v;15;;74;398;21;4;6;35;1;89;46;0;4;206;2;
708;Louis-Hébert;2018-10-01;G;Québec, v;15;;75;384;25;2;8;27;0;99;47;0;5;213;2;
708;Louis-Hébert;2018-10-01;G;Québec, v;15;;76;388;40;1;6;39;0;70;62;0;5;223;0;
708;Louis-Hébert;2018-10-01;G;Québec, v;15;;77;394;37;1;4;24;1;115;57;0;5;244;2;
708;Louis-Hébert;2018-10-01;G;Québec, v;15;;78;385;29;3;5;20;4;97;70;0;5;233;0;
708;Louis-Hébert;2018-10-01;G;Québec, v;15;;79;380;38;2;9;31;2;70;56;0;4;212;3;
708;Louis-Hébert;2018-10-01;G;Québec, v;15;;80;385;19;2;4;38;1;83;41;0;2;190;7;
708;Louis-Hébert;2018-10-01;G;Québec, v;15;;81;384;50;1;5;38;1;73;68;0;1;237;3;
708;Louis-Hébert;2018-10-01;G;Québec, v;16;;82;374;32;0;5;26;2;71;33;0;4;173;5;
708;Louis-Hébert;2018-10-01;G;Québec, v;16;;83;379;20;1;5;38;0;80;37;0;8;189;3;
708;Louis-Hébert;2018-10-01;G;Québec, v;16;;84;371;31;0;3;26;1;86;57;0;0;204;3;
708;Louis-Hébert;2018-10-01;G;Québec, v;16;;85;376;34;3;2;25;1;90;56;1;3;215;1;
708;Louis-Hébert;2018-10-01;G;Québec, v;16;;86;369;31;1;1;23;1;94;71;0;7;229;0;
708;Louis-Hébert;2018-10-01;G;Québec, v;16;;87;377;39;1;6;28;1;88;53;0;7;223;0;
708;Louis-Hébert;2018-10-01;G;Québec, v;16;;88;367;27;0;2;26;3;93;52;0;0;203;4;
708;Louis-Hébert;2018-10-01;G;Québec, v;17;;89;349;29;1;5;23;0;84;62;0;6;210;2;
708;Louis-Hébert;2018-10-01;G;Québec, v;17;;90;407;26;0;1;14;1;67;63;0;3;175;3;
708;Louis-Hébert;2018-10-01;G;Québec, v;17;;91;352;18;1;2;24;3;76;41;0;3;168;0;
708;Louis-Hébert;2018-10-01;G;Québec, v;17;;92;356;33;0;3;22;2;64;64;0;4;192;3;
708;Louis-Hébert;2018-10-01;G;Québec, v;17;;93;357;29;0;1;25;3;50;45;0;2;155;2;
708;Louis-Hébert;2018-10-01;G;Québec, v;18;;94;341;35;0;3;48;2;55;50;1;6;200;4;
708;Louis-Hébert;2018-10-01;G;Québec, v;18;;95;334;24;2;3;28;3;64;41;0;4;169;1;
708;Louis-Hébert;2018-10-01;G;Québec, v;18;;96;345;23;2;2;30;6;56;36;0;4;159;0;
708;Louis-Hébert;2018-10-01;G;Québec, v;18;;97;348;43;1;6;16;1;62;51;0;3;183;0;
708;Louis-Hébert;2018-10-01;G;Québec, v;18;;98;345;31;3;5;35;5;78;37;0;1;195;1;
708;Louis-Hébert;2018-10-01;G;Québec, v;18;;99;352;23;4;0;28;2;67;71;0;4;199;1;
708;Louis-Hébert;2018-10-01;G;Québec, v;19;;100;411;29;1;8;54;1;69;46;0;5;213;1;
708;Louis-Hébert;2018-10-01;G;Québec, v;19;;101;403;31;2;2;30;1;51;56;0;2;175;2;
708;Louis-Hébert;2018-10-01;G;Québec, v;19;;102;394;26;0;4;21;0;56;53;0;2;162;4;
708;Louis-Hébert;2018-10-01;G;Québec, v;19;;103;405;34;1;2;41;2;69;68;1;3;221;4;
708;Louis-Hébert;2018-10-01;G;Québec, v;19;;104;393;20;3;2;23;0;60;48;0;5;161;3;
708;Louis-Hébert;2018-10-01;G;Québec, v;19;;105;405;21;1;0;30;3;83;43;0;3;184;4;
708;Louis-Hébert;2018-10-01;G;Québec, v;19;;106;394;17;0;9;22;3;50;37;0;1;139;4;
708;Louis-Hébert;2018-10-01;G;Québec, v;19;;107;408;20;2;2;18;2;47;46;1;2;140;3;
708;Louis-Hébert;2018-10-01;G;Québec, v;19;;108;403;20;1;2;29;1;66;36;0;4;159;0;
708;Louis-Hébert;2018-10-01;G;Québec, v;19;;109;395;20;0;3;9;0;47;48;0;4;131;1;
708;Louis-Hébert;2018-10-01;G;Québec, v;19;;110;406;14;2;2;22;3;63;37;0;3;146;6;
708;Louis-Hébert;2018-10-01;G;Québec, v;19;;111;411;43;4;1;38;6;54;43;0;2;191;2;
708;Louis-Hébert;2018-10-01;G;Québec, v;19;;112;404;22;1;3;39;4;62;51;0;7;189;2;
708;Louis-Hébert;2018-10-01;G;Québec, v;19;;113;404;13;0;2;9;1;62;58;0;1;146;5;
708;Louis-Hébert;2018-10-01;G;Québec, v;19;;114;415;29;1;2;25;1;88;35;0;1;182;1;
708;Louis-Hébert;2018-10-01;G;Québec, v;20;;115;395;21;1;2;13;1;59;43;0;3;143;2;
708;Louis-Hébert;2018-10-01;G;Québec, v;20;;116;400;23;1;0;18;0;61;60;0;3;166;1;
708;Louis-Hébert;2018-10-01;G;Québec, v;20;;117;389;20;0;0;13;2;60;66;0;1;162;3;
708;Louis-Hébert;2018-10-01;G;Québec, v;20;;118;398;41;0;10;28;2;67;73;0;4;225;1;
708;Louis-Hébert;2018-10-01;G;Québec, v;20;;119;386;26;1;6;31;2;60;67;0;4;197;2;
