Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Berberi Doni P.Q.;Bouchard Kevin P.N.;Caire Éric C.A.Q.-É.F.L.;Dauphinais Yohann C.P.Q.;Jobin-Lawler Alexandre Q.S.;Lacasse Stéphane P.L.Q./Q.L.P.;Michaud Josée Mélanie É.A.;Plamondon Julie P.C.Q./C.P.Q.;Riedo Sandra Mara P.V.Q./G.P.Q.;Wright Stephen P51;B.V.;B.R.;
720;La Peltrie;2018-10-01;G;L'Ancienne-Lorette, v;4;;21;399;20;3;160;2;19;40;1;9;1;2;257;3;
720;La Peltrie;2018-10-01;G;L'Ancienne-Lorette, v;4;;22;399;18;1;140;1;39;54;1;10;6;0;270;2;
720;La Peltrie;2018-10-01;G;L'Ancienne-Lorette, v;4;;23;399;23;0;163;0;22;29;0;10;3;2;252;6;
720;La Peltrie;2018-10-01;G;L'Ancienne-Lorette, v;4;;24;403;14;1;147;0;17;49;0;9;2;0;239;5;
720;La Peltrie;2018-10-01;G;L'Ancienne-Lorette, v;4;;25;397;17;1;141;1;19;42;0;7;5;0;233;3;
720;La Peltrie;2018-10-01;G;L'Ancienne-Lorette, v;4;;26;386;16;0;125;1;15;55;0;4;2;0;218;0;
720;La Peltrie;2018-10-01;G;L'Ancienne-Lorette, v;5;;27;375;18;0;112;0;15;31;0;5;5;0;186;4;
720;La Peltrie;2018-10-01;G;L'Ancienne-Lorette, v;5;;28;371;23;2;107;1;21;55;0;6;5;0;220;2;
720;La Peltrie;2018-10-01;G;L'Ancienne-Lorette, v;5;;29;384;13;1;116;1;22;29;0;2;2;0;186;4;
720;La Peltrie;2018-10-01;G;L'Ancienne-Lorette, v;5;;30;364;22;2;94;0;28;21;1;11;5;0;184;5;
720;La Peltrie;2018-10-01;G;L'Ancienne-Lorette, v;5;;31;371;16;1;132;1;24;36;0;8;6;0;224;3;
720;La Peltrie;2018-10-01;G;L'Ancienne-Lorette, v;5;;32;386;18;4;111;2;21;39;0;4;6;0;205;4;
720;La Peltrie;2018-10-01;G;L'Ancienne-Lorette, v;5;;33;382;13;0;111;0;16;30;0;8;6;0;184;3;
720;La Peltrie;2018-10-01;G;L'Ancienne-Lorette, v;5;;34;377;19;3;104;0;22;36;0;2;4;0;190;3;
720;La Peltrie;2018-10-01;G;Québec, v;1;;35;383;22;0;104;1;25;42;0;3;1;0;198;2;
720;La Peltrie;2018-10-01;G;Québec, v;1;;36;375;11;4;130;5;24;44;2;7;1;1;229;4;
720;La Peltrie;2018-10-01;G;Québec, v;1;;37;387;12;5;103;1;33;46;1;9;7;1;218;3;
720;La Peltrie;2018-10-01;G;Québec, v;1;;38;377;26;2;92;3;18;40;0;10;4;0;195;2;
720;La Peltrie;2018-10-01;G;Québec, v;1;;39;375;18;1;102;1;21;27;0;5;6;0;181;2;
720;La Peltrie;2018-10-01;G;Québec, v;1;;40;373;7;0;101;1;29;41;0;6;3;0;188;3;
720;La Peltrie;2018-10-01;G;Québec, v;2;;41;335;8;0;117;0;10;30;1;14;2;0;182;3;
720;La Peltrie;2018-10-01;G;Québec, v;2;;42;344;16;0;74;0;15;32;0;7;4;2;150;8;
720;La Peltrie;2018-10-01;G;Québec, v;2;;43;344;24;1;71;0;24;30;0;23;6;1;180;3;
720;La Peltrie;2018-10-01;G;Québec, v;2;;44;334;7;4;92;0;26;35;0;5;8;1;178;3;
720;La Peltrie;2018-10-01;G;Québec, v;2;;45;374;21;2;126;1;36;55;0;6;3;0;250;1;
720;La Peltrie;2018-10-01;G;Québec, v;3;;46;365;22;4;105;2;24;20;0;5;2;0;184;2;
720;La Peltrie;2018-10-01;G;Québec, v;3;;47;348;14;6;112;1;23;33;0;6;4;0;199;6;
720;La Peltrie;2018-10-01;G;Québec, v;3;;48;370;32;2;75;1;23;38;1;10;2;0;184;3;
720;La Peltrie;2018-10-01;G;Québec, v;3;;49;363;13;0;99;1;25;38;0;7;5;0;188;7;
720;La Peltrie;2018-10-01;G;Québec, v;3;;50;372;9;2;122;0;25;26;0;5;5;1;195;5;
720;La Peltrie;2018-10-01;G;Québec, v;3;;51;358;20;4;119;0;23;24;0;5;6;0;201;1;
720;La Peltrie;2018-10-01;G;Québec, v;3;;52;373;25;2;122;0;31;21;0;12;7;2;222;3;
720;La Peltrie;2018-10-01;G;Québec, v;3;;53;354;13;0;82;1;33;35;0;7;3;0;174;11;
