Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Baronian Sylvia C.A.Q.-É.F.L.;Barrette Gaétan P.L.Q./Q.L.P.;Dini Aziza P.V.Q./G.P.Q.;El Youbi Anwar P.C.Q./C.P.Q.;Gagnon Suzanne P.Q.;Hayes Patrick Ind;Hu Fang Ind;Pagès Marie Q.S.;Sellah Djaouida N.P.D.Q.;B.V.;B.R.;
236;La Pinière;2018-10-01;G;BVA8: SV no 55 à 56, 71 à 72, 80, 101 à 102;;;;0;61;86;1;2;10;1;1;21;1;184;4;
236;La Pinière;2018-10-01;G;BVA9: SV no 73 à 79;;;;0;76;91;2;2;33;0;2;33;7;246;5;
236;La Pinière;2018-10-01;G;BVA10: SV no 81 à 87;;;;0;66;68;4;0;23;0;0;22;4;187;0;
236;La Pinière;2018-10-01;G;BVA11: SV no 88 à 94;;;;0;82;84;4;0;18;1;0;19;2;210;5;
236;La Pinière;2018-10-01;G;BVA12: SV no 65, 96 à 100, 131;;;;0;142;165;6;5;48;2;0;35;4;407;9;
236;La Pinière;2018-10-01;G;BVA13: SV no 15 à 18, 47 à 48;;;;0;88;109;1;2;28;0;0;13;1;242;2;
236;La Pinière;2018-10-01;G;BVA14: SV no 7, 9 à 14;;;;0;129;175;3;0;43;0;1;17;1;369;4;
236;La Pinière;2018-10-01;G;BVA15: SV no 8, 19 à 23, 31 à 32;;;;0;84;181;2;0;31;2;0;23;2;325;2;
236;La Pinière;2018-10-01;G;BVA16: SV no 24 à 30;;;;0;68;180;3;1;19;0;2;14;0;287;2;
236;La Pinière;2018-10-01;G;BVA17: SV no 33 à 38, 46;;;;0;60;163;1;2;11;1;0;17;0;255;2;
236;La Pinière;2018-10-01;G;BVA18: SV no 39 à 45;;;;0;90;152;3;1;25;2;2;16;2;293;1;
236;La Pinière;2018-10-01;G;BVA19: SV no 1 à 6, 103 à 104;;;;0;89;122;4;5;25;2;0;28;6;281;3;
236;La Pinière;2018-10-01;G;Vote en installation d'hébergement;;;;0;434;513;7;14;148;3;3;65;8;1195;20;
236;La Pinière;2018-10-01;G;Vote itinérant et au domicile de l'électeur;;;;0;87;94;1;2;33;0;1;16;3;237;4;
236;La Pinière;2018-10-01;G;Vote au bureau du directeur du scrutin;;;;0;900;1445;38;33;267;12;18;225;18;2956;45;
236;La Pinière;2018-10-01;G;Vote hors circonscription;;;;0;50;109;23;4;31;4;1;117;6;345;16;
236;La Pinière;2018-10-01;G;Vote hors Québec;;Regr. VHC-1;;43;0;0;0;0;0;0;0;0;0;0;0;
236;La Pinière;2018-10-01;G;Vote des détenus;;Regr. VHC-1;;6;0;0;0;0;0;0;0;0;0;0;0;
236;La Pinière;2018-10-01;G;Total de la circonscription;;;;54534;9480;15476;585;435;2921;168;161;3300;354;32880;435;
236;La Pinière;2018-10-01;G;Majorité en faveur de Gaétan Barrette : 5996
