Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Abou-Khalil Alice C.A.Q.-É.F.L.;Beddad Ouerdia Nacera P.Q.;El-Harrache Omar N.P.D.Q.;Kabbaj Fatine P.V.Q./G.P.Q.;Keramarios Nick P.C.Q./C.P.Q.;Moulla Rabah Q.S.;Ouellette Guy P.L.Q./Q.L.P.;B.V.;B.R.
460;Chomedey;2018-10-01;G;Laval, v;25;;71;353;4;5;2;3;15;7;134;170;2
460;Chomedey;2018-10-01;G;Laval, v;25;;72;360;10;5;1;3;13;7;117;156;4
460;Chomedey;2018-10-01;G;Laval, v;26;;73;381;35;9;0;1;12;14;65;136;3
460;Chomedey;2018-10-01;G;Laval, v;26;;74;414;32;4;2;3;7;5;148;201;1
460;Chomedey;2018-10-01;G;Laval, v;26;;75;387;36;21;0;8;8;16;68;157;7
460;Chomedey;2018-10-01;G;Laval, v;26;;76;411;33;7;2;1;7;8;122;180;4
460;Chomedey;2018-10-01;G;Laval, v;26;;77;405;28;6;1;3;9;12;69;128;2
460;Chomedey;2018-10-01;G;Laval, v;26;;78;396;34;5;0;4;7;9;103;162;3
460;Chomedey;2018-10-01;G;Laval, v;26;;79;397;16;7;0;4;8;5;110;150;0
460;Chomedey;2018-10-01;G;Laval, v;26;;80;403;32;11;4;2;19;9;112;189;1
460;Chomedey;2018-10-01;G;Laval, v;27;;81;382;21;6;1;2;8;2;100;140;2
460;Chomedey;2018-10-01;G;Laval, v;27;;82;383;14;0;1;5;17;1;140;178;2
460;Chomedey;2018-10-01;G;Laval, v;27;;83;381;16;3;1;6;15;3;95;139;2
460;Chomedey;2018-10-01;G;Laval, v;27;;84;381;10;2;1;0;13;3;116;145;1
460;Chomedey;2018-10-01;G;Laval, v;27;;85;358;28;5;2;3;12;17;67;134;1
460;Chomedey;2018-10-01;G;Laval, v;27;;86;378;17;2;0;1;13;4;127;164;1
460;Chomedey;2018-10-01;G;Laval, v;27;;87;386;17;0;0;2;21;5;103;148;5
460;Chomedey;2018-10-01;G;Laval, v;27;;88;370;10;0;2;3;10;13;88;126;2
460;Chomedey;2018-10-01;G;Laval, v;27;;89;360;11;4;1;4;15;2;76;113;3
460;Chomedey;2018-10-01;G;Laval, v;29;;90;390;18;1;1;1;11;8;100;140;2
460;Chomedey;2018-10-01;G;Laval, v;29;;91;374;24;3;1;2;5;7;86;128;0
460;Chomedey;2018-10-01;G;Laval, v;29;;92;388;13;5;1;3;14;5;126;167;0
460;Chomedey;2018-10-01;G;Laval, v;29;;93;388;30;8;16;3;19;4;112;192;0
460;Chomedey;2018-10-01;G;Laval, v;29;;94;385;12;3;4;1;15;10;121;166;2
460;Chomedey;2018-10-01;G;Laval, v;29;;95;397;18;2;0;0;10;3;137;170;4
460;Chomedey;2018-10-01;G;Laval, v;30;;96;362;15;4;1;1;5;4;88;118;1
460;Chomedey;2018-10-01;G;Laval, v;30;;97;368;39;7;1;2;18;11;107;185;3
460;Chomedey;2018-10-01;G;Laval, v;30;;98;367;31;3;0;3;10;11;85;143;3
460;Chomedey;2018-10-01;G;Laval, v;30;;99;366;17;5;2;2;11;3;144;184;1
460;Chomedey;2018-10-01;G;Laval, v;30;;100;352;14;2;1;0;5;5;100;127;0
460;Chomedey;2018-10-01;G;Laval, v;30;;101;362;10;0;2;0;16;3;100;131;2
460;Chomedey;2018-10-01;G;Laval, v;31;;102;369;19;2;1;4;14;5;115;160;2
460;Chomedey;2018-10-01;G;Laval, v;31;;103;347;8;2;2;3;14;1;107;137;4
460;Chomedey;2018-10-01;G;Laval, v;31;;104;369;8;0;0;2;12;5;93;120;2
460;Chomedey;2018-10-01;G;Laval, v;31;;105;375;21;9;5;3;14;8;108;168;4
460;Chomedey;2018-10-01;G;Laval, v;31;;106;357;14;3;0;1;8;2;141;169;1
460;Chomedey;2018-10-01;G;Laval, v;31;;107;374;17;6;0;3;13;10;121;170;6
460;Chomedey;2018-10-01;G;Laval, v;31;;108;372;13;4;0;2;7;4;107;137;7
460;Chomedey;2018-10-01;G;Laval, v;31;;109;368;19;2;1;0;9;11;117;159;3
460;Chomedey;2018-10-01;G;Laval, v;32;;110;375;18;2;0;6;10;5;85;126;1
460;Chomedey;2018-10-01;G;Laval, v;32;;111;389;26;7;1;4;9;13;101;161;4
460;Chomedey;2018-10-01;G;Laval, v;32;;112;374;29;9;1;7;4;7;94;151;2
460;Chomedey;2018-10-01;G;Laval, v;32;;113;390;22;18;0;4;9;16;74;143;4
460;Chomedey;2018-10-01;G;Laval, v;32;;114;363;59;12;1;8;4;19;66;169;2
460;Chomedey;2018-10-01;G;Laval, v;32;;115;372;40;23;0;1;5;16;48;133;0
460;Chomedey;2018-10-01;G;Laval, v;32;;116;388;32;13;0;5;3;11;62;126;3
460;Chomedey;2018-10-01;G;Laval, v;33;;117;391;70;8;2;4;8;18;109;219;4
460;Chomedey;2018-10-01;G;Laval, v;33;;118;394;53;2;0;8;9;10;83;165;1
460;Chomedey;2018-10-01;G;Laval, v;33;;119;387;48;13;1;0;2;13;66;143;3
460;Chomedey;2018-10-01;G;Laval, v;33;;120;400;36;5;1;1;9;7;99;158;2
460;Chomedey;2018-10-01;G;Laval, v;33;;121;405;61;6;3;5;7;9;74;165;0
460;Chomedey;2018-10-01;G;Laval, v;33;;122;402;28;9;2;5;7;10;74;135;1
460;Chomedey;2018-10-01;G;Laval, v;33;;123;392;33;7;0;2;7;10;113;172;0
460;Chomedey;2018-10-01;G;Laval, v;34;;124;386;51;18;2;2;3;9;71;156;6
460;Chomedey;2018-10-01;G;Laval, v;34;;125;414;78;16;2;1;6;17;94;214;6
