Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Audet Yves C.P.Q.;Coderre Émile P.V.Q./G.P.Q.;Lamontagne André C.A.Q.-É.F.L.;Leblanc-Marcil Andrew N.P.D.Q.;Saint-Cyr Lanoie Sarah Q.S.;Tétreault Jacques P.Q.;Vaes François P.L.Q./Q.L.P.;Vignola Jean-François P.C.Q./C.P.Q.;B.V.;B.R.;
126;Johnson;2018-10-01;G;BVA14: SV no 78 à 80, 148 à 150;;;;0;1;3;90;1;29;26;30;4;184;3;
126;Johnson;2018-10-01;G;BVA15: SV no 151 à 157;;;;0;0;1;95;2;34;24;18;4;178;2;
126;Johnson;2018-10-01;G;BVA16: SV no 87 à 88, 114 à 118;;;;0;3;2;67;0;22;16;9;3;122;6;
126;Johnson;2018-10-01;G;BVA17: SV no 83 à 86, 119 à 120, 135;;;;0;0;3;88;1;13;21;30;1;157;1;
126;Johnson;2018-10-01;G;BVA18: SV no 121, 129 à 134;;;;0;2;2;131;2;32;34;28;5;236;6;
126;Johnson;2018-10-01;G;BVA19: SV no 122 à 128;;;;0;0;4;185;0;28;30;37;2;286;7;
126;Johnson;2018-10-01;G;BVA20: SV no 103 à 108;;;;0;1;1;133;2;29;16;30;0;212;2;
126;Johnson;2018-10-01;G;BVA21: SV no 95 à 100;;;;0;1;1;111;3;34;25;33;3;211;2;
126;Johnson;2018-10-01;G;BVA22: SV no 89 à 94, 101;;;;0;0;1;63;0;10;25;24;2;125;1;
126;Johnson;2018-10-01;G;BVA23: SV no 102, 109 à 113;;;;0;0;0;74;0;12;16;18;3;123;2;
126;Johnson;2018-10-01;G;Vote en installation d'hébergement;;;;0;2;3;77;7;18;14;46;6;173;6;
126;Johnson;2018-10-01;G;Vote itinérant et au domicile de l'électeur;;;;0;0;3;19;0;2;8;10;0;42;0;
126;Johnson;2018-10-01;G;Vote au bureau du directeur du scrutin;;;;0;14;35;923;9;323;287;251;28;1870;59;
126;Johnson;2018-10-01;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0;0;
126;Johnson;2018-10-01;G;Vote hors circonscription;;;;0;3;15;112;4;192;48;36;2;412;14;
126;Johnson;2018-10-01;G;Vote hors Québec;;Regr. VHC-1;;12;0;0;0;0;0;0;0;0;0;0;
126;Johnson;2018-10-01;G;Vote des détenus;;Regr. VHC-1;;34;0;0;0;0;0;0;0;0;0;0;
126;Johnson;2018-10-01;G;Total de la circonscription;;;;59862;280;745;20902;302;7051;5194;4362;630;39466;923;
126;Johnson;2018-10-01;G;Majorité en faveur de André Lamontagne : 13851
