Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bergevin Caroline P.V.Q./G.P.Q.;Blanchard Benoit P.C.Q./C.P.Q.;Charron Simon Q.S.;Constantin Marc-André P.Q.;Giguère Alain N.P.D.Q.;Habel Jean P.L.Q./Q.L.P.;Louis-Charles Valérie C.I.N.Q.;Skeete Christopher C.A.Q.-É.F.L.;B.V.;B.R.;
470;Sainte-Rose;2018-10-01;G;Laval, v;14;;24;370;3;0;30;25;1;43;0;52;154;7;
470;Sainte-Rose;2018-10-01;G;Laval, v;14;;25;393;6;2;17;13;1;37;1;84;161;3;
470;Sainte-Rose;2018-10-01;G;Laval, v;14;;26;398;5;1;28;27;1;50;0;84;196;2;
470;Sainte-Rose;2018-10-01;G;Laval, v;14;;27;390;6;1;25;18;1;54;0;75;180;1;
470;Sainte-Rose;2018-10-01;G;Laval, v;14;;28;392;6;2;32;22;1;66;3;61;193;1;
470;Sainte-Rose;2018-10-01;G;Laval, v;14;;29;391;8;2;30;25;1;63;2;67;198;8;
470;Sainte-Rose;2018-10-01;G;Laval, v;14;;30;386;4;1;25;27;1;39;0;62;159;2;
470;Sainte-Rose;2018-10-01;G;Laval, v;14;;31;384;4;0;20;26;2;45;0;71;168;5;
470;Sainte-Rose;2018-10-01;G;Laval, v;15;;32;373;6;0;22;27;2;26;2;65;150;2;
470;Sainte-Rose;2018-10-01;G;Laval, v;15;;33;392;8;4;44;31;0;50;1;85;223;0;
470;Sainte-Rose;2018-10-01;G;Laval, v;15;;34;379;11;3;45;33;1;54;2;58;207;2;
470;Sainte-Rose;2018-10-01;G;Laval, v;15;;35;370;3;2;32;38;3;78;1;54;211;1;
470;Sainte-Rose;2018-10-01;G;Laval, v;15;;36;374;6;4;26;29;1;57;0;69;192;2;
470;Sainte-Rose;2018-10-01;G;Laval, v;15;;37;384;5;4;20;29;4;85;1;67;215;2;
470;Sainte-Rose;2018-10-01;G;Laval, v;15;;38;381;2;3;25;15;0;86;3;58;192;5;
470;Sainte-Rose;2018-10-01;G;Laval, v;15;;39;395;3;2;12;9;5;107;1;47;186;1;
470;Sainte-Rose;2018-10-01;G;Laval, v;15;;40;394;6;3;24;15;1;96;2;67;214;3;
470;Sainte-Rose;2018-10-01;G;Laval, v;15;;41;373;10;0;25;33;1;72;0;77;218;4;
470;Sainte-Rose;2018-10-01;G;Laval, v;15;;42;388;5;4;47;33;0;77;2;75;243;3;
470;Sainte-Rose;2018-10-01;G;Laval, v;15;;43;368;12;1;29;35;2;71;1;73;224;4;
470;Sainte-Rose;2018-10-01;G;Laval, v;16;;44;368;6;5;26;26;1;51;0;96;211;2;
470;Sainte-Rose;2018-10-01;G;Laval, v;16;;45;369;2;5;18;17;1;65;0;77;185;1;
470;Sainte-Rose;2018-10-01;G;Laval, v;16;;46;362;0;3;28;21;1;61;0;79;193;3;
470;Sainte-Rose;2018-10-01;G;Laval, v;16;;47;370;3;2;33;31;0;54;0;109;232;3;
470;Sainte-Rose;2018-10-01;G;Laval, v;16;;48;361;8;3;40;36;1;48;0;82;218;2;
470;Sainte-Rose;2018-10-01;G;Laval, v;16;;49;362;3;0;30;32;1;57;0;91;214;2;
470;Sainte-Rose;2018-10-01;G;Laval, v;16;;50;363;5;0;22;25;0;75;3;66;196;5;
470;Sainte-Rose;2018-10-01;G;Laval, v;54;;51;364;10;0;24;23;3;49;0;74;183;8;
470;Sainte-Rose;2018-10-01;G;Laval, v;54;;52;373;1;8;28;23;2;82;1;71;216;0;
470;Sainte-Rose;2018-10-01;G;Laval, v;54;;53;378;7;2;32;29;2;57;3;85;217;4;
470;Sainte-Rose;2018-10-01;G;Laval, v;54;;54;385;2;8;25;40;1;61;2;79;218;3;
470;Sainte-Rose;2018-10-01;G;Laval, v;54;;55;378;6;4;27;16;1;88;4;66;212;2;
470;Sainte-Rose;2018-10-01;G;Laval, v;54;;56;384;6;2;19;41;2;48;1;74;193;3;
470;Sainte-Rose;2018-10-01;G;Laval, v;54;;57;379;3;0;31;20;1;55;1;44;155;3;
470;Sainte-Rose;2018-10-01;G;Laval, v;54;;58;372;1;0;13;12;3;80;0;60;169;0;
470;Sainte-Rose;2018-10-01;G;Laval, v;54;;59;370;10;1;6;8;1;93;0;45;164;5;
470;Sainte-Rose;2018-10-01;G;Laval, v;54;;60;383;2;1;4;7;0;109;0;40;163;1;
470;Sainte-Rose;2018-10-01;G;Laval, v;54;;61A;238;3;3;6;12;0;40;0;23;87;0;
470;Sainte-Rose;2018-10-01;G;Laval, v;54;;61B;248;1;0;11;11;0;22;0;25;70;0;
470;Sainte-Rose;2018-10-01;G;Laval, v;54;;62A;237;2;0;8;7;1;29;0;33;80;2;
470;Sainte-Rose;2018-10-01;G;Laval, v;54;;62B;223;1;0;3;6;0;32;0;34;76;2;
470;Sainte-Rose;2018-10-01;G;Laval, v;54;;63;393;2;5;15;10;0;85;0;52;169;3;
470;Sainte-Rose;2018-10-01;G;Laval, v;54;;64;390;2;4;12;7;3;109;0;55;192;4;
470;Sainte-Rose;2018-10-01;G;Laval, v;54;;65;382;7;8;11;12;3;101;0;34;176;1;
470;Sainte-Rose;2018-10-01;G;Laval, v;54;;66;391;0;3;19;15;0;60;0;43;140;2;
470;Sainte-Rose;2018-10-01;G;Laval, v;54;;67;393;2;2;13;14;1;63;0;52;147;1;
470;Sainte-Rose;2018-10-01;G;Laval, v;54;;68;385;1;2;10;5;1;108;0;47;174;3;
