Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bélanger Lucie P.Q.;Dansereau Nathalie C.A.Q.-É.F.L.;Ftouh Souhail P.C.Q./C.P.Q.;Gagnon David-Roger N.P.D.Q.;Gudmundsson Kathleen Q.S.;Hoffman Rachel P.M.L.Q.;Nichols Cynthia Ind;Walcott Chad P.V.Q./G.P.Q.;Weil Kathleen P.L.Q./Q.L.P.;B.V.;B.R.;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;121;;104;338;21;20;0;6;37;0;1;9;81;175;3;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;121;;105;361;23;21;0;3;21;1;1;19;112;201;1;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;122;;106;422;4;14;2;4;7;1;0;5;132;169;2;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;122;;107;403;11;17;2;4;5;0;1;13;134;187;2;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;122;;108;392;10;16;3;4;9;0;1;11;154;208;3;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;122;;109;404;8;13;4;3;21;1;0;5;137;192;4;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;122;;110;403;3;11;2;5;14;0;0;9;125;169;4;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;122;;111;393;1;6;9;2;3;0;0;4;133;158;2;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;122;;112;416;4;11;7;0;9;0;0;4;112;147;0;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;122;;113;397;4;10;3;8;16;0;0;11;130;182;1;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;122;;114;418;5;14;1;5;10;0;2;14;147;198;1;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;122;;115A;203;2;3;4;0;5;0;0;3;68;85;2;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;122;;115B;225;2;5;0;3;2;1;2;3;79;97;1;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;123;;116;330;4;4;1;1;5;0;0;2;91;108;4;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;123;;117;373;2;14;1;2;13;1;0;4;74;111;1;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;123;;118;367;3;4;3;4;4;0;0;6;112;136;2;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;123;;119;359;4;11;1;6;10;0;3;16;109;160;2;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;123;;120;377;2;3;0;6;16;0;3;2;123;155;1;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;123;;121;358;1;10;6;3;17;1;0;3;102;143;1;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;123;;122;357;4;16;3;1;16;1;1;4;94;140;2;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;123;;123;366;11;18;1;5;14;0;1;17;94;161;2;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;109;Regr. BVO-24;500;85;0;0;0;0;0;0;0;0;0;0;0;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;109;Regr. BVO-27;501;43;0;0;0;0;0;0;0;0;0;0;0;
