Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Ayala Paulina N.P.D.Q.;Chénier Stéphane P.M.L.Q.;Cormier Sonya C.A.Q.-É.F.L.;Dubois Karl P.V.Q./G.P.Q.;Laperrière Coralie B.P.;La Rosa Agata P.L.Q./Q.L.P.;Liendo Alexandra P.C.Q./C.P.Q.;Lisée Jean-François P.Q.;Marissal Vincent Q.S.;Raymond-Poirier Catherine P.N.;B.V.;B.R.;
356;Rosemont;2018-10-01;G;Montréal, v;312;;45;391;1;0;32;7;0;19;4;66;83;3;215;4;
356;Rosemont;2018-10-01;G;Montréal, v;312;;46;392;1;0;13;1;1;24;2;52;118;4;216;5;
356;Rosemont;2018-10-01;G;Montréal, v;313;;47;369;1;0;19;2;0;17;0;48;82;0;169;2;
356;Rosemont;2018-10-01;G;Montréal, v;313;;48;372;2;1;18;1;1;18;0;81;100;0;222;0;
356;Rosemont;2018-10-01;G;Montréal, v;313;;49;366;0;1;16;1;0;13;0;49;114;1;195;1;
356;Rosemont;2018-10-01;G;Montréal, v;313;;50;381;0;0;22;4;0;25;0;73;78;4;206;1;
356;Rosemont;2018-10-01;G;Montréal, v;313;;51;370;1;0;19;3;0;19;0;74;104;1;221;1;
356;Rosemont;2018-10-01;G;Montréal, v;313;;52;374;1;0;17;5;1;24;1;43;83;0;175;2;
356;Rosemont;2018-10-01;G;Montréal, v;313;;53;376;2;0;24;2;1;26;0;35;99;3;192;6;
356;Rosemont;2018-10-01;G;Montréal, v;313;;54;388;4;0;8;3;1;12;1;43;105;2;179;2;
356;Rosemont;2018-10-01;G;Montréal, v;314;;55;385;3;0;25;2;1;15;2;51;123;4;226;1;
356;Rosemont;2018-10-01;G;Montréal, v;314;;56;380;3;1;20;1;0;15;2;55;118;0;215;2;
356;Rosemont;2018-10-01;G;Montréal, v;314;;57;396;0;0;19;5;0;11;1;48;117;5;206;3;
356;Rosemont;2018-10-01;G;Montréal, v;314;;58;372;4;0;23;4;1;9;0;47;112;1;201;6;
356;Rosemont;2018-10-01;G;Montréal, v;314;;59;410;1;0;30;3;0;16;0;45;126;0;221;6;
356;Rosemont;2018-10-01;G;Montréal, v;314;;60;376;1;0;16;2;0;11;2;67;105;0;204;6;
356;Rosemont;2018-10-01;G;Montréal, v;314;;61;398;1;0;23;4;1;6;1;68;113;3;220;2;
356;Rosemont;2018-10-01;G;Montréal, v;314;;62;369;2;0;25;2;3;15;0;54;86;1;188;1;
356;Rosemont;2018-10-01;G;Montréal, v;315;;63;377;2;0;19;0;0;16;1;48;98;0;184;2;
356;Rosemont;2018-10-01;G;Montréal, v;315;;64;368;2;0;21;2;0;26;1;50;74;0;176;1;
356;Rosemont;2018-10-01;G;Montréal, v;315;;65;364;0;0;11;3;0;18;0;58;102;1;193;0;
356;Rosemont;2018-10-01;G;Montréal, v;315;;66;382;3;0;20;1;2;44;1;57;51;0;179;3;
356;Rosemont;2018-10-01;G;Montréal, v;315;;67;367;4;1;29;7;0;24;0;76;56;0;197;2;
356;Rosemont;2018-10-01;G;Montréal, v;315;;68;367;1;0;19;0;0;27;3;58;66;1;175;2;
356;Rosemont;2018-10-01;G;Montréal, v;315;;69;382;2;0;37;2;1;21;1;63;64;3;194;3;
356;Rosemont;2018-10-01;G;Montréal, v;315;;70;385;4;0;21;2;1;32;1;63;64;1;189;6;
356;Rosemont;2018-10-01;G;Montréal, v;316;;71;401;0;0;25;2;0;20;1;48;110;1;207;1;
356;Rosemont;2018-10-01;G;Montréal, v;316;;72;398;2;0;18;5;1;20;0;74;61;0;181;4;
356;Rosemont;2018-10-01;G;Montréal, v;316;;73;386;2;1;27;6;2;22;2;63;80;1;206;2;
356;Rosemont;2018-10-01;G;Montréal, v;316;;74;382;1;0;19;2;1;42;2;19;26;0;112;3;
356;Rosemont;2018-10-01;G;Montréal, v;316;;75;404;1;0;23;3;0;31;2;49;58;0;167;1;
356;Rosemont;2018-10-01;G;Montréal, v;316;;76;396;1;1;24;4;0;23;2;40;67;4;166;2;
356;Rosemont;2018-10-01;G;Montréal, v;316;;77;411;3;1;35;2;0;26;0;37;86;0;190;2;
356;Rosemont;2018-10-01;G;Montréal, v;317;;78;371;4;1;26;3;1;23;0;48;78;4;188;1;
356;Rosemont;2018-10-01;G;Montréal, v;317;;79;376;1;0;29;2;0;27;1;47;60;1;168;5;
356;Rosemont;2018-10-01;G;Montréal, v;317;;80;395;2;1;24;4;0;43;0;36;32;2;144;3;
356;Rosemont;2018-10-01;G;Montréal, v;317;;81;395;2;0;20;6;0;61;4;46;47;1;187;0;
356;Rosemont;2018-10-01;G;Montréal, v;317;;82;366;0;0;34;7;0;40;1;60;36;1;179;0;
356;Rosemont;2018-10-01;G;Montréal, v;317;;83;365;1;1;25;1;1;19;0;25;43;1;117;1;
356;Rosemont;2018-10-01;G;Montréal, v;317;;84;374;2;1;19;1;2;29;1;33;48;3;139;4;
356;Rosemont;2018-10-01;G;Montréal, v;317;;85;394;1;0;33;1;3;33;4;48;77;0;200;2;
356;Rosemont;2018-10-01;G;Montréal, v;318;;86;389;1;0;24;0;0;27;2;55;61;3;173;1;
356;Rosemont;2018-10-01;G;Montréal, v;318;;87;413;3;0;24;3;1;41;4;69;95;1;241;3;
356;Rosemont;2018-10-01;G;Montréal, v;318;;88;410;2;1;24;5;0;39;1;68;75;1;216;8;
356;Rosemont;2018-10-01;G;Montréal, v;318;;89;418;0;1;35;0;0;25;2;58;79;2;202;0;
356;Rosemont;2018-10-01;G;Montréal, v;318;;90;368;1;0;16;1;3;43;0;28;31;1;124;5;
356;Rosemont;2018-10-01;G;Montréal, v;319;;91;359;0;0;17;3;0;36;1;29;43;0;129;3;
356;Rosemont;2018-10-01;G;Montréal, v;319;;92;340;1;0;16;5;1;39;1;36;39;1;139;3;
356;Rosemont;2018-10-01;G;Montréal, v;319;;93;385;3;0;25;4;1;35;0;42;50;0;160;4;
356;Rosemont;2018-10-01;G;Montréal, v;319;;94;354;0;0;27;1;0;34;5;40;48;1;156;0;
356;Rosemont;2018-10-01;G;Montréal, v;319;;95;357;0;0;24;4;1;31;2;36;19;0;117;4;
356;Rosemont;2018-10-01;G;Montréal, v;319;;96;359;4;0;12;5;0;38;0;39;56;1;155;4;
356;Rosemont;2018-10-01;G;Montréal, v;320;;97;407;3;0;33;0;1;29;1;62;66;2;197;2;
356;Rosemont;2018-10-01;G;Montréal, v;320;;98;382;0;0;29;1;0;25;2;38;68;2;165;2;
356;Rosemont;2018-10-01;G;Montréal, v;320;;99;383;2;0;33;3;2;39;2;51;66;0;198;5;
356;Rosemont;2018-10-01;G;Montréal, v;320;;100;413;0;0;41;4;1;33;0;64;68;0;211;3;
356;Rosemont;2018-10-01;G;Montréal, v;320;;101;406;0;0;50;1;1;38;0;41;52;1;184;5;
356;Rosemont;2018-10-01;G;Montréal, v;320;;102;393;3;0;26;3;3;23;0;62;82;1;203;3;
356;Rosemont;2018-10-01;G;Montréal, v;320;;103;401;0;3;26;1;1;44;0;34;47;1;157;3;
356;Rosemont;2018-10-01;G;Montréal, v;320;;104;401;4;1;29;0;0;51;3;55;33;2;178;4;
356;Rosemont;2018-10-01;G;Montréal, v;321;;105;386;0;0;25;5;0;22;1;79;74;2;208;0;
356;Rosemont;2018-10-01;G;Montréal, v;321;;106;397;0;2;32;4;1;39;1;49;69;2;199;1;
356;Rosemont;2018-10-01;G;Montréal, v;321;;107;373;0;0;46;1;0;35;0;40;52;0;174;2;
356;Rosemont;2018-10-01;G;Montréal, v;321;;108;402;3;0;22;6;3;58;0;36;59;2;189;1;
356;Rosemont;2018-10-01;G;Montréal, v;321;;109;378;10;0;43;3;1;39;0;59;63;0;218;5;
356;Rosemont;2018-10-01;G;Montréal, v;322;;110;400;3;1;26;3;1;59;3;49;59;3;207;3;
356;Rosemont;2018-10-01;G;Montréal, v;322;;111;417;1;0;23;3;2;50;2;30;43;0;154;2;
356;Rosemont;2018-10-01;G;Montréal, v;322;;112A;202;1;0;11;1;0;22;2;13;24;0;74;0;
356;Rosemont;2018-10-01;G;Montréal, v;322;;112B;229;0;0;21;0;0;46;2;29;20;0;118;2;
356;Rosemont;2018-10-01;G;Montréal, v;322;;113;409;2;0;31;2;0;38;3;46;54;1;177;2;
356;Rosemont;2018-10-01;G;Montréal, v;322;;114;392;6;0;34;5;0;41;1;45;56;0;188;3;
356;Rosemont;2018-10-01;G;Montréal, v;322;;115;409;3;0;26;0;0;71;1;42;34;1;178;4;
356;Rosemont;2018-10-01;G;Montréal, v;322;;116;415;3;0;50;4;1;47;1;36;60;2;204;7;
356;Rosemont;2018-10-01;G;Montréal, v;323;;117;325;2;2;37;5;0;39;0;33;39;0;157;0;
356;Rosemont;2018-10-01;G;Montréal, v;323;;118;341;1;0;43;2;0;46;1;42;39;0;174;5;
356;Rosemont;2018-10-01;G;Montréal, v;323;;119;349;2;1;25;1;0;99;4;13;11;0;156;2;
356;Rosemont;2018-10-01;G;Montréal, v;324;;120;395;3;0;38;3;0;65;2;39;38;1;189;6;
356;Rosemont;2018-10-01;G;Montréal, v;324;;121;373;1;0;40;3;0;58;3;50;35;0;190;1;
356;Rosemont;2018-10-01;G;Montréal, v;324;;122;385;2;0;40;2;0;38;0;55;60;1;198;1;
356;Rosemont;2018-10-01;G;Montréal, v;324;;123;380;6;0;33;3;0;37;0;54;36;1;170;4;
356;Rosemont;2018-10-01;G;Montréal, v;324;;124;389;0;0;38;6;1;44;3;57;49;0;198;8;
356;Rosemont;2018-10-01;G;Montréal, v;324;;125;381;1;0;45;7;1;36;1;72;64;0;227;16;
356;Rosemont;2018-10-01;G;Montréal, v;324;;126;390;0;1;37;3;1;33;1;74;66;3;219;0;
