Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boivin Guy É.A.;Dorion Catherine Q.S.;Duguay Roger N.P.D.Q.;Grégoire Élisabeth P.V.Q./G.P.Q.;Lavallée Diane P.Q.;Lavoie Christian C.P.Q.;Pouliot Nicolas P.N.;Solomykina Svetlana C.A.Q.-É.F.L.;Tanlet Florent P.L.Q./Q.L.P.;B.V.;B.R.;
730;Taschereau;2018-10-01;G;Québec, v;43;;26;389;0;77;0;2;19;1;4;33;16;152;4;
730;Taschereau;2018-10-01;G;Québec, v;43;;27;389;1;82;2;7;7;1;0;36;22;158;3;
730;Taschereau;2018-10-01;G;Québec, v;43;;28;381;0;65;2;4;21;1;1;34;14;142;2;
730;Taschereau;2018-10-01;G;Québec, v;43;;29;416;0;86;2;5;26;0;0;33;16;168;3;
730;Taschereau;2018-10-01;G;Québec, v;44;;30;387;0;65;0;4;58;0;1;27;67;222;1;
730;Taschereau;2018-10-01;G;Québec, v;44;;31;400;0;79;1;1;31;1;2;39;37;191;5;
730;Taschereau;2018-10-01;G;Québec, v;44;;32;381;0;82;4;5;25;1;1;31;33;182;4;
730;Taschereau;2018-10-01;G;Québec, v;44;;33A;221;0;44;1;5;25;1;1;32;47;156;2;
730;Taschereau;2018-10-01;G;Québec, v;44;;33B;230;0;47;0;4;17;0;3;30;20;121;2;
730;Taschereau;2018-10-01;G;Québec, v;45;;34;389;0;62;2;2;44;1;1;36;31;179;1;
730;Taschereau;2018-10-01;G;Québec, v;45;;35;392;0;93;1;4;40;0;2;39;53;232;2;
730;Taschereau;2018-10-01;G;Québec, v;45;;36;401;0;103;1;2;44;0;1;38;42;231;2;
730;Taschereau;2018-10-01;G;Québec, v;45;;37;374;4;69;2;0;37;0;0;37;35;184;0;
730;Taschereau;2018-10-01;G;Québec, v;45;;38;371;1;73;2;1;59;0;1;32;36;205;1;
730;Taschereau;2018-10-01;G;Québec, v;45;;39;410;0;93;4;1;49;0;2;31;39;219;2;
730;Taschereau;2018-10-01;G;Québec, v;45;;40;397;0;106;2;3;57;0;1;32;29;230;3;
730;Taschereau;2018-10-01;G;Québec, v;45;;41;370;0;86;0;3;54;0;0;25;36;204;1;
730;Taschereau;2018-10-01;G;Québec, v;46;;42;355;0;50;1;5;32;0;0;37;39;164;0;
730;Taschereau;2018-10-01;G;Québec, v;46;;43;344;0;102;1;6;31;0;1;28;34;203;2;
730;Taschereau;2018-10-01;G;Québec, v;46;;44;364;0;69;1;2;52;2;0;31;28;185;1;
730;Taschereau;2018-10-01;G;Québec, v;46;;45;358;0;74;0;4;35;2;2;38;34;189;1;
730;Taschereau;2018-10-01;G;Québec, v;46;;46;361;0;75;1;7;31;0;0;27;38;179;0;
730;Taschereau;2018-10-01;G;Québec, v;46;;47;360;0;107;0;4;38;0;0;28;25;202;1;
