Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Barros Karina P.V.Q./G.P.Q.;Boissonneault Michel P.C.Q./C.P.Q.;Brunet Jean-François B.P.;Gauvin Karine P.Q.;Laouadi Sabrinel C.I.N.Q.;Louis Abed N.P.D.Q.;Ndzana Jean Marie Floriant Ind;Robitaille Paule P.L.Q./Q.L.P.;Séide Julie C.A.Q.-É.F.L.;Zaga Mendez Alejandra Q.S.;B.V.;B.R.
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;289;;54;363;4;3;1;13;0;1;0;69;38;20;149;7
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;289;;55;370;3;2;4;19;0;2;1;86;34;35;186;1
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;289;;56;370;2;3;1;11;0;0;0;79;39;8;143;1
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;289;;57;358;0;3;0;19;0;2;0;72;43;17;156;9
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;289;;58;376;5;2;3;12;0;0;1;64;20;11;118;3
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;289;;59;361;1;2;0;5;1;1;0;40;22;17;89;5
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;290;;60;369;1;3;2;6;0;2;1;113;27;17;172;6
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;290;;61;379;4;2;3;13;2;1;1;97;24;11;158;5
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;290;;62;351;3;4;0;10;2;1;0;70;42;18;150;2
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;290;;63;364;4;1;1;16;0;1;0;88;18;18;147;5
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;290;;64;353;3;2;0;8;0;2;0;77;20;14;126;3
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;291;;65;408;2;1;2;13;0;1;0;46;25;15;105;2
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;291;;66;385;3;1;1;11;2;2;0;55;34;28;137;3
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;291;;67;418;5;8;1;17;2;5;0;79;33;34;184;10
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;291;;68;409;9;3;4;23;1;1;3;95;34;31;204;10
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;291;;69;398;1;1;4;9;3;4;0;84;33;30;169;5
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;291;;70;399;8;6;0;19;2;1;0;102;53;36;227;5
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;291;;71;407;4;2;0;21;2;1;1;128;31;10;200;4
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;291;;72;407;3;2;2;13;2;2;0;101;30;36;191;3
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;291;;73;406;2;5;0;30;2;2;1;88;32;44;206;9
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;291;;74;398;3;2;1;19;0;2;0;77;56;41;201;6
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;292;;75;387;12;3;3;43;0;1;0;49;49;40;200;2
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;292;;76;382;4;3;1;25;0;3;1;73;54;21;185;3
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;292;;77;370;3;0;0;24;0;1;0;58;41;39;166;4
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;292;;78;370;1;0;0;16;1;0;1;76;37;13;145;4
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;292;;79;386;1;3;0;16;0;1;1;99;31;25;177;2
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;293;;80;372;4;12;0;18;1;3;1;92;31;17;179;3
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;293;;81;356;2;4;1;14;2;2;0;121;37;23;206;2
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;293;;82;360;2;6;0;13;1;0;0;72;33;19;146;0
