Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bouffard-Savoie Nicolas É.A.;Bourdon Gertrude P.L.Q./Q.L.P.;Côté Raymond N.P.D.Q.;Deblois Anne P.C.Q./C.P.Q.;Deschênes Marie-Pierre C.P.Q.;Gamache Christiane C.A.Q.-É.F.L.;Moreau Claude P.M.L.Q.;Paradis-Bellefeuille Alex P.V.Q./G.P.Q.;Verreault-Lemieux Charles P.N.;Vignola Claire P.Q.;Zanetti Sol Q.S.;B.V.;B.R.;
736;Jean-Lesage;2018-10-01;G;Québec, v;66;;53;343;0;17;1;3;1;42;0;1;0;15;45;125;1;
736;Jean-Lesage;2018-10-01;G;Québec, v;67;;54;352;0;17;5;5;0;36;0;0;1;11;43;118;6;
736;Jean-Lesage;2018-10-01;G;Québec, v;67;;55;384;0;18;4;2;3;41;0;2;2;9;70;151;2;
736;Jean-Lesage;2018-10-01;G;Québec, v;67;;56;365;0;27;1;2;2;41;0;2;1;17;55;148;2;
736;Jean-Lesage;2018-10-01;G;Québec, v;67;;57;384;0;23;0;3;2;50;0;2;2;8;71;161;2;
736;Jean-Lesage;2018-10-01;G;Québec, v;67;;58;366;0;22;3;5;1;52;1;4;1;15;33;137;1;
736;Jean-Lesage;2018-10-01;G;Québec, v;67;;59;351;0;15;3;3;0;45;1;2;0;12;88;169;2;
736;Jean-Lesage;2018-10-01;G;Québec, v;67;;60;348;0;7;0;3;0;30;0;4;1;11;88;144;0;
736;Jean-Lesage;2018-10-01;G;Québec, v;68;;61;364;0;18;2;0;1;33;1;1;2;33;108;199;1;
736;Jean-Lesage;2018-10-01;G;Québec, v;68;;62;365;1;19;5;1;0;59;0;0;0;17;72;174;3;
736;Jean-Lesage;2018-10-01;G;Québec, v;68;;63;382;0;20;0;5;1;43;0;4;0;24;67;164;1;
736;Jean-Lesage;2018-10-01;G;Québec, v;68;;64;414;0;23;3;1;2;43;0;4;5;24;98;203;2;
736;Jean-Lesage;2018-10-01;G;Québec, v;68;;65;342;1;17;1;1;1;42;0;2;1;15;51;132;1;
736;Jean-Lesage;2018-10-01;G;Québec, v;68;;66;329;0;19;6;1;0;38;1;3;0;8;40;116;2;
736;Jean-Lesage;2018-10-01;G;Québec, v;69;;67;332;0;17;3;6;1;45;0;1;1;14;52;140;2;
736;Jean-Lesage;2018-10-01;G;Québec, v;69;;68;346;2;17;3;6;2;52;0;1;0;17;57;157;3;
736;Jean-Lesage;2018-10-01;G;Québec, v;69;;69;343;0;14;0;2;4;60;0;3;2;15;71;171;2;
736;Jean-Lesage;2018-10-01;G;Québec, v;69;;70;347;0;31;3;2;1;67;0;1;3;16;40;164;3;
736;Jean-Lesage;2018-10-01;G;Québec, v;69;;71;353;0;24;3;9;0;54;0;0;1;20;35;146;4;
736;Jean-Lesage;2018-10-01;G;Québec, v;70;;72;353;0;37;2;5;2;24;0;0;1;6;22;99;1;
736;Jean-Lesage;2018-10-01;G;Québec, v;70;;73;356;0;20;2;2;1;34;0;2;1;11;47;120;4;
736;Jean-Lesage;2018-10-01;G;Québec, v;70;;74;383;0;19;2;5;1;49;1;0;1;24;47;149;2;
736;Jean-Lesage;2018-10-01;G;Québec, v;70;;75;367;1;18;3;8;0;55;1;2;2;24;37;151;2;
736;Jean-Lesage;2018-10-01;G;Québec, v;70;;76;397;0;22;2;4;1;46;0;1;0;19;79;174;3;
736;Jean-Lesage;2018-10-01;G;Québec, v;70;;77;383;0;22;3;0;1;44;0;2;0;9;78;159;5;
736;Jean-Lesage;2018-10-01;G;Québec, v;71;;78;332;0;18;3;2;2;33;0;3;0;16;52;129;2;
736;Jean-Lesage;2018-10-01;G;Québec, v;71;;79;362;0;25;1;0;0;53;1;1;3;13;33;130;4;
736;Jean-Lesage;2018-10-01;G;Québec, v;71;;80;353;0;23;0;2;1;35;0;3;0;21;70;155;2;
736;Jean-Lesage;2018-10-01;G;Québec, v;71;;81;327;0;21;0;4;1;38;0;2;3;13;53;135;5;
736;Jean-Lesage;2018-10-01;G;Québec, v;71;;82;339;0;16;4;2;2;41;1;0;0;8;45;119;2;
736;Jean-Lesage;2018-10-01;G;Québec, v;71;;83;386;0;20;1;1;0;45;0;4;2;19;59;151;3;
736;Jean-Lesage;2018-10-01;G;Québec, v;71;;84;333;0;21;1;2;1;28;0;1;0;10;48;112;5;
736;Jean-Lesage;2018-10-01;G;Québec, v;72;;85;372;1;20;3;6;3;46;0;5;1;18;66;169;3;
736;Jean-Lesage;2018-10-01;G;Québec, v;72;;86;339;0;21;0;0;0;43;0;1;1;14;77;157;1;
736;Jean-Lesage;2018-10-01;G;Québec, v;72;;87;372;0;27;4;6;2;56;0;1;2;19;40;157;0;
736;Jean-Lesage;2018-10-01;G;Québec, v;72;;88;389;0;15;4;0;1;56;0;2;0;17;55;150;6;
736;Jean-Lesage;2018-10-01;G;Québec, v;72;;89;412;0;28;1;4;0;40;0;4;1;14;37;129;2;
736;Jean-Lesage;2018-10-01;G;Québec, v;72;;90;372;0;27;3;4;0;37;1;0;2;7;33;114;5;
736;Jean-Lesage;2018-10-01;G;Québec, v;73;;91;330;0;16;1;7;0;48;0;2;0;11;31;116;4;
736;Jean-Lesage;2018-10-01;G;Québec, v;73;;92;317;0;13;0;5;0;48;0;4;0;6;26;102;3;
736;Jean-Lesage;2018-10-01;G;Québec, v;73;;93;344;0;18;2;5;2;58;0;3;0;8;38;134;0;
736;Jean-Lesage;2018-10-01;G;Québec, v;73;;94;326;1;17;3;4;0;63;0;2;4;12;34;140;1;
736;Jean-Lesage;2018-10-01;G;Québec, v;73;;95;358;0;31;1;5;3;62;0;2;0;8;36;148;2;
736;Jean-Lesage;2018-10-01;G;Québec, v;74;;96;366;0;26;2;6;0;69;0;1;1;10;39;154;2;
736;Jean-Lesage;2018-10-01;G;Québec, v;74;;97;363;1;19;0;7;0;43;1;1;1;8;23;104;4;
736;Jean-Lesage;2018-10-01;G;Québec, v;74;;98;362;1;22;0;4;0;55;0;3;2;13;32;132;1;
736;Jean-Lesage;2018-10-01;G;Québec, v;74;;99;345;0;23;0;4;0;64;0;2;1;12;35;141;5;
736;Jean-Lesage;2018-10-01;G;Québec, v;74;;100;347;1;13;0;1;0;52;0;0;0;19;53;139;7;
736;Jean-Lesage;2018-10-01;G;Québec, v;74;;101;347;0;16;2;0;1;41;0;1;0;7;25;93;2;
736;Jean-Lesage;2018-10-01;G;Québec, v;75;;102;251;0;22;2;3;0;39;0;0;1;9;46;122;0;
736;Jean-Lesage;2018-10-01;G;Québec, v;75;;103;275;0;21;4;4;2;42;0;2;2;14;29;120;3;
736;Jean-Lesage;2018-10-01;G;Québec, v;75;;104;272;2;26;1;3;0;42;0;2;2;9;12;99;2;
736;Jean-Lesage;2018-10-01;G;Québec, v;75;;105;279;0;12;0;4;0;57;0;4;0;9;30;116;3;
736;Jean-Lesage;2018-10-01;G;Québec, v;75;;106;297;0;30;3;2;0;63;0;3;1;12;21;135;3;
736;Jean-Lesage;2018-10-01;G;Québec, v;75;;107;307;0;19;5;3;0;52;0;0;1;14;32;126;3;
736;Jean-Lesage;2018-10-01;G;Québec, v;76;;108;328;0;27;7;5;3;60;2;1;3;14;45;167;2;
736;Jean-Lesage;2018-10-01;G;Québec, v;76;;109;319;0;21;1;1;1;65;1;2;1;4;31;128;4;
736;Jean-Lesage;2018-10-01;G;Québec, v;76;;110;330;0;25;3;5;1;46;0;2;0;4;36;122;3;
736;Jean-Lesage;2018-10-01;G;Québec, v;76;;111;292;0;15;2;4;0;46;0;1;1;7;35;111;3;
736;Jean-Lesage;2018-10-01;G;Québec, v;76;;112;334;1;25;1;2;1;80;0;1;1;15;24;151;3;
736;Jean-Lesage;2018-10-01;G;Québec, v;76;;113;334;2;45;2;4;0;95;0;4;0;14;12;178;0;
736;Jean-Lesage;2018-10-01;G;Québec, v;76;;114;333;1;46;1;5;0;73;0;1;0;14;27;168;4;
736;Jean-Lesage;2018-10-01;G;Québec, v;76;;115;320;1;24;0;4;0;59;0;4;2;12;26;132;7;
736;Jean-Lesage;2018-10-01;G;Québec, v;76;;116;326;0;19;1;7;0;55;1;2;1;12;20;118;2;
736;Jean-Lesage;2018-10-01;G;Québec, v;76;;117;277;0;17;2;6;0;43;0;2;0;5;22;97;3;
736;Jean-Lesage;2018-10-01;G;Québec, v;76;;118A;300;0;27;1;2;2;62;0;1;0;9;12;116;3;
736;Jean-Lesage;2018-10-01;G;Québec, v;76;;118B;286;2;32;0;0;2;63;0;3;1;11;10;124;3;
736;Jean-Lesage;2018-10-01;G;Québec, v;76;;119;324;0;37;1;3;0;95;0;1;1;13;30;181;1;
