Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Asselin Mario C.A.Q.-É.F.L.;Côté Carl Ind;Dallaire David C.P.Q.;Duquette William P.Q.;Fortin Alain P.C.Q./C.P.Q.;Huot Patrick P.L.Q./Q.L.P.;Poliquin Carl-André P.N.;Raymond Samuel P.V.Q./G.P.Q.;Voisine Monique Q.S.;B.V.;B.R.;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;102;;25;390;111;2;1;27;13;32;1;5;31;223;6;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;102;;26;402;113;0;0;27;7;38;2;4;27;218;2;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;102;;27;384;87;1;0;23;16;32;4;1;22;186;4;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;102;;28;422;112;4;0;9;10;35;1;7;36;214;2;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;102;;29;404;69;0;0;18;13;36;0;6;26;168;2;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;103;;30;422;86;0;0;11;6;47;0;3;19;172;3;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;103;;31;381;96;1;0;20;9;37;2;2;14;181;4;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;103;;32;409;79;1;0;16;7;33;2;9;41;188;4;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;103;;33;414;73;2;0;27;7;37;1;5;22;174;5;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;103;;34;416;83;0;0;17;4;58;1;4;20;187;5;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;103;;35;413;104;3;0;21;4;49;3;3;15;202;1;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;103;;36;410;82;3;1;14;5;32;0;2;25;164;2;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;103;;37;388;65;0;0;14;3;42;0;0;8;132;1;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;103;;38;401;59;0;0;15;2;40;0;2;14;132;0;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;103;;39;389;83;0;2;23;11;38;1;3;18;179;2;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;103;;40;407;77;1;0;18;3;54;2;0;21;176;1;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;103;;41;392;91;3;3;20;8;35;1;2;25;188;4;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;103;;42;400;72;3;3;12;11;44;5;1;38;189;2;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;103;;43;411;82;1;1;25;11;39;3;3;32;197;5;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;103;;44;401;102;1;3;13;5;59;1;8;23;215;4;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;103;;45;415;103;4;0;33;5;51;1;2;30;229;2;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;103;;46;416;94;0;3;10;9;45;0;5;24;190;1;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;103;;47;398;75;0;1;25;9;58;1;1;16;186;2;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;103;;48;387;70;0;0;23;9;63;1;2;18;186;5;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;103;;49A;231;44;1;0;13;3;21;0;2;10;94;1;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;103;;49B;256;44;0;1;7;2;24;0;0;10;88;0;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;103;;50A;265;60;1;0;11;6;28;0;0;16;122;4;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;103;;50B;226;44;0;0;5;1;29;0;1;11;91;2;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;103;;51A;248;50;3;1;5;3;35;1;1;3;102;1;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;103;;51B;215;33;0;0;6;3;28;0;4;8;82;1;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;103;;52;401;63;3;0;10;4;103;0;7;10;200;0;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;104;;53A;218;46;1;0;6;0;26;0;4;4;87;1;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;104;;53B;214;40;0;1;15;1;16;0;0;9;82;2;
