Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Desharnais Annie Q.S.;E. Razz B.P.;G.-Ducharme Cédric P.Q.;Gravel Nicolas P.V.Q./G.P.Q.;Jolin-Barrette Simon C.A.Q.-É.F.L.;Lecompte André P.C.Q./C.P.Q.;Martin André N.P.D.Q.;Nichols Martin P.L.Q./Q.L.P.;Thévenot Stéphane C.P.Q.;B.V.;B.R.
258;Borduas;2018-10-01;G;BVA19: SV no 120 à 126;;;;0;14;0;22;0;47;0;0;6;0;89;1
258;Borduas;2018-10-01;G;BVA20: SV no 127 à 132;;;;0;17;0;33;2;100;0;0;20;0;172;0
258;Borduas;2018-10-01;G;BVA21: SV no 133 à 136, 146 à 148;;;;0;14;0;27;2;63;1;1;18;0;126;2
258;Borduas;2018-10-01;G;BVA22: SV no 149 à 155;;;;0;15;0;21;0;81;2;0;18;0;137;0
258;Borduas;2018-10-01;G;Vote en installation d'hébergement;;;;0;30;2;88;9;193;8;2;137;1;470;11
258;Borduas;2018-10-01;G;Vote itinérant et au domicile de l'électeur;;;;0;6;0;17;1;27;2;2;17;3;75;3
258;Borduas;2018-10-01;G;Vote au bureau du directeur du scrutin;;;;0;322;0;488;39;1160;19;8;295;5;2336;23
258;Borduas;2018-10-01;G;Vote hors circonscription;;;;0;258;0;75;15;96;3;1;35;0;483;15
258;Borduas;2018-10-01;G;Vote hors Québec;;Regr. VHC-1;;31;0;0;0;0;0;0;0;0;0;0;0
258;Borduas;2018-10-01;G;Vote des détenus;;Regr. VHC-1;;3;0;0;0;0;0;0;0;0;0;0;0
258;Borduas;2018-10-01;G;Total de la circonscription;;;;57897;6828;135;9339;836;20852;290;184;5012;164;43640;597
258;Borduas;2018-10-01;G;Majorité en faveur de Simon Jolin-Barrette : 11513;;;;;;;;;;;;;;;
