Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Allaire Simon C.A.Q.-É.F.L.;Beaulieu Richard Jonathan Ind;Bélanger Alain C.P.Q.;Morin Nicole P.Q.;Piotte Simon Q.S.;Plante Marc H. P.L.Q./Q.L.P.;Rousseau Maxime P.C.Q./C.P.Q.;St-Yves Amélie P.V.Q./G.P.Q.;B.V.;B.R.;
666;Maskinongé;2018-10-01;G;Sainte-Ursule, m;1;;24;370;74;0;0;29;8;65;1;10;187;3;
666;Maskinongé;2018-10-01;G;Sainte-Ursule, m;1;;25;371;65;0;1;26;16;61;4;3;176;4;
666;Maskinongé;2018-10-01;G;Saint-Mathieu-du-Parc, m;1;;26;387;83;1;1;41;53;35;4;6;224;8;
666;Maskinongé;2018-10-01;G;Saint-Mathieu-du-Parc, m;1;;27;389;77;1;3;43;45;47;0;8;224;4;
666;Maskinongé;2018-10-01;G;Saint-Mathieu-du-Parc, m;1;;28;397;81;1;5;45;43;36;3;6;220;5;
666;Maskinongé;2018-10-01;G;Saint-Édouard-de-Maskinongé, m;1;;29;318;66;0;0;29;24;51;3;2;175;4;
666;Maskinongé;2018-10-01;G;Saint-Édouard-de-Maskinongé, m;1;;30;312;96;0;2;21;12;66;2;6;205;1;
666;Maskinongé;2018-10-01;G;Sainte-Angèle-de-Prémont, m;1;;31;276;67;0;4;14;14;42;1;7;149;0;
666;Maskinongé;2018-10-01;G;Sainte-Angèle-de-Prémont, m;1;;32;258;59;2;0;12;15;58;0;4;150;2;
666;Maskinongé;2018-10-01;G;Saint-Paulin, m;1;;33;383;102;1;1;17;14;58;2;4;199;3;
666;Maskinongé;2018-10-01;G;Saint-Paulin, m;1;;34;398;85;0;0;18;29;79;3;2;216;2;
666;Maskinongé;2018-10-01;G;Saint-Paulin, m;1;;35;401;90;2;3;18;14;78;1;3;209;5;
666;Maskinongé;2018-10-01;G;Saint-Alexis-des-Monts, p;1;;36;358;81;0;0;13;19;83;1;5;202;4;
666;Maskinongé;2018-10-01;G;Saint-Alexis-des-Monts, p;1;;37;359;73;0;0;34;14;63;0;2;186;0;
666;Maskinongé;2018-10-01;G;Saint-Alexis-des-Monts, p;1;;38;362;73;1;0;16;42;37;1;2;172;2;
666;Maskinongé;2018-10-01;G;Saint-Alexis-des-Monts, p;1;;39;359;83;0;0;26;11;67;1;3;191;5;
666;Maskinongé;2018-10-01;G;Saint-Alexis-des-Monts, p;1;;40;373;90;0;0;22;21;77;2;0;212;1;
666;Maskinongé;2018-10-01;G;Saint-Alexis-des-Monts, p;1;;41;365;70;0;1;30;21;66;0;3;191;6;
666;Maskinongé;2018-10-01;G;Saint-Alexis-des-Monts, p;1;;42;358;57;0;0;19;23;63;0;4;166;4;
666;Maskinongé;2018-10-01;G;Charette, m;1;;43;415;75;1;1;24;37;46;4;2;190;3;
666;Maskinongé;2018-10-01;G;Charette, m;1;;44;390;107;2;2;35;30;61;2;3;242;6;
666;Maskinongé;2018-10-01;G;Saint-Barnabé, p;1;;45;312;64;2;2;26;17;45;7;4;167;4;
666;Maskinongé;2018-10-01;G;Saint-Barnabé, p;1;;46;312;63;3;3;35;28;60;0;3;195;1;
666;Maskinongé;2018-10-01;G;Saint-Barnabé, p;1;;47;318;71;3;2;21;24;71;1;6;199;6;
666;Maskinongé;2018-10-01;G;Saint-Sévère, p;1;;48;228;37;1;0;29;21;62;0;4;154;6;
666;Maskinongé;2018-10-01;G;Saint-Léon-le-Grand, p;1;;49;383;82;0;3;19;19;91;1;6;221;5;
666;Maskinongé;2018-10-01;G;Saint-Léon-le-Grand, p;1;;50;377;69;0;0;27;28;78;0;11;213;1;
666;Maskinongé;2018-10-01;G;Louiseville, v;1;;51;364;90;0;2;24;8;51;1;7;183;2;
666;Maskinongé;2018-10-01;G;Louiseville, v;1;;52;360;81;0;1;21;21;53;2;1;180;6;
666;Maskinongé;2018-10-01;G;Louiseville, v;1;;53;366;58;1;0;19;5;60;3;1;147;2;
666;Maskinongé;2018-10-01;G;Louiseville, v;1;;54;367;51;0;1;22;6;50;0;4;134;3;
666;Maskinongé;2018-10-01;G;Louiseville, v;1;;55;359;40;3;1;9;15;40;2;1;111;5;
666;Maskinongé;2018-10-01;G;Louiseville, v;1;;56;379;56;1;2;14;14;51;2;8;148;3;
666;Maskinongé;2018-10-01;G;Louiseville, v;1;;57;365;52;1;1;18;11;55;1;2;141;2;
666;Maskinongé;2018-10-01;G;Louiseville, v;2;;58;354;56;0;0;18;15;48;0;2;139;2;
666;Maskinongé;2018-10-01;G;Louiseville, v;2;;59;371;64;0;0;18;16;65;0;2;165;2;
666;Maskinongé;2018-10-01;G;Louiseville, v;2;;60;364;40;2;1;17;11;77;1;4;153;1;
666;Maskinongé;2018-10-01;G;Louiseville, v;2;;61;365;76;0;2;32;14;65;4;4;197;4;
666;Maskinongé;2018-10-01;G;Louiseville, v;2;;62;374;56;1;1;9;13;63;1;0;144;1;
666;Maskinongé;2018-10-01;G;Louiseville, v;2;;63;349;41;1;2;13;9;45;1;2;114;2;
666;Maskinongé;2018-10-01;G;Louiseville, v;2;;64;366;43;1;1;9;19;41;0;2;116;3;
666;Maskinongé;2018-10-01;G;Louiseville, v;2;;65;368;46;2;1;22;11;50;0;2;134;2;
666;Maskinongé;2018-10-01;G;Louiseville, v;2;;66;364;64;0;1;17;8;76;0;2;168;0;
666;Maskinongé;2018-10-01;G;Yamachiche, m;1;;67;362;67;1;1;15;26;65;1;3;179;5;
666;Maskinongé;2018-10-01;G;Yamachiche, m;1;;68;370;60;0;0;15;20;58;1;3;157;3;
666;Maskinongé;2018-10-01;G;Yamachiche, m;1;;69;362;60;2;0;18;26;59;3;3;171;0;
666;Maskinongé;2018-10-01;G;Yamachiche, m;1;;70;369;59;1;1;20;22;56;1;5;165;5;
666;Maskinongé;2018-10-01;G;Yamachiche, m;1;;71;351;69;1;0;18;18;69;1;5;181;1;
666;Maskinongé;2018-10-01;G;Yamachiche, m;1;;72;360;75;2;2;15;29;59;2;7;191;2;
666;Maskinongé;2018-10-01;G;Saint-Étienne-des-Grès, p;1;;73;391;93;2;1;27;22;37;9;6;197;5;
666;Maskinongé;2018-10-01;G;Saint-Étienne-des-Grès, p;1;;74;386;105;1;1;22;37;33;9;9;217;3;
666;Maskinongé;2018-10-01;G;Saint-Étienne-des-Grès, p;1;;75;378;87;0;0;28;33;40;1;6;195;6;
666;Maskinongé;2018-10-01;G;Saint-Étienne-des-Grès, p;1;;76;390;117;1;1;34;34;48;6;3;244;5;
666;Maskinongé;2018-10-01;G;Saint-Étienne-des-Grès, p;1;;77;394;106;1;1;24;33;45;8;4;222;7;
666;Maskinongé;2018-10-01;G;Saint-Étienne-des-Grès, p;1;;78;397;93;3;0;35;27;40;6;3;207;8;
666;Maskinongé;2018-10-01;G;Saint-Étienne-des-Grès, p;1;;79;397;109;2;2;45;37;37;9;6;247;4;
666;Maskinongé;2018-10-01;G;Saint-Étienne-des-Grès, p;1;;80;385;102;2;5;27;33;27;7;6;209;9;
666;Maskinongé;2018-10-01;G;Saint-Étienne-des-Grès, p;1;;81;382;85;2;0;23;23;43;3;3;182;4;
666;Maskinongé;2018-10-01;G;Trois-Rivières, v;1;;82;369;56;1;2;19;22;33;2;5;140;5;
666;Maskinongé;2018-10-01;G;Trois-Rivières, v;1;;83;378;92;2;1;25;28;25;10;4;187;11;
666;Maskinongé;2018-10-01;G;Trois-Rivières, v;1;;84;378;153;1;0;28;23;30;6;1;242;2;
666;Maskinongé;2018-10-01;G;Trois-Rivières, v;1;;85;374;114;3;3;23;29;36;4;2;214;1;
666;Maskinongé;2018-10-01;G;Trois-Rivières, v;1;;86;366;95;4;2;26;19;37;9;2;194;3;
666;Maskinongé;2018-10-01;G;Trois-Rivières, v;1;;87;372;96;2;1;24;23;47;4;6;203;1;
666;Maskinongé;2018-10-01;G;Trois-Rivières, v;1;;88;377;117;2;4;22;27;43;12;8;235;3;
666;Maskinongé;2018-10-01;G;Trois-Rivières, v;1;;89;382;107;1;0;13;41;38;4;3;207;3;
