Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Duguay Alexandre P.L.Q./Q.L.P.;Gaudreault Sylvain P.Q.;Lapointe Marcel Q.S.;Rochefort Benoit C.A.Q.-É.F.L.;Sion Julie P.V.Q./G.P.Q.;Voyer Jimmy P.C.Q./C.P.Q.;B.V.;B.R.;
922;Jonquière;2018-10-01;G;Saguenay, v;6;;38;397;16;82;6;56;2;0;162;5;
922;Jonquière;2018-10-01;G;Saguenay, v;6;;39;385;16;85;13;57;4;2;177;1;
922;Jonquière;2018-10-01;G;Saguenay, v;6;;40;395;17;112;20;66;2;0;217;3;
922;Jonquière;2018-10-01;G;Saguenay, v;6;;41;399;18;112;22;92;2;0;246;5;
922;Jonquière;2018-10-01;G;Saguenay, v;6;;42;401;19;119;13;85;3;2;241;2;
922;Jonquière;2018-10-01;G;Saguenay, v;7;;43;391;16;54;46;17;2;3;138;5;
922;Jonquière;2018-10-01;G;Saguenay, v;7;;44;418;22;98;15;63;2;2;202;0;
922;Jonquière;2018-10-01;G;Saguenay, v;7;;45;400;14;96;14;59;4;2;189;5;
922;Jonquière;2018-10-01;G;Saguenay, v;7;;46;425;24;110;9;89;3;3;238;3;
922;Jonquière;2018-10-01;G;Saguenay, v;7;;47;400;9;102;16;70;2;2;201;4;
922;Jonquière;2018-10-01;G;Saguenay, v;8;;48;357;13;74;9;45;0;1;142;3;
922;Jonquière;2018-10-01;G;Saguenay, v;8;;49;377;9;63;19;66;0;3;160;3;
922;Jonquière;2018-10-01;G;Saguenay, v;8;;50;363;11;73;4;56;1;1;146;6;
922;Jonquière;2018-10-01;G;Saguenay, v;8;;51;362;13;57;17;63;2;2;154;5;
922;Jonquière;2018-10-01;G;Saguenay, v;8;;52;364;9;78;7;78;1;2;175;1;
922;Jonquière;2018-10-01;G;Saguenay, v;8;;53;351;16;89;13;45;1;1;165;3;
922;Jonquière;2018-10-01;G;Saguenay, v;8;;54;352;11;72;11;46;4;1;145;4;
922;Jonquière;2018-10-01;G;Saguenay, v;9;;55;353;15;62;11;45;3;0;136;2;
922;Jonquière;2018-10-01;G;Saguenay, v;9;;56;344;12;83;15;30;2;2;144;3;
922;Jonquière;2018-10-01;G;Saguenay, v;9;;57;340;15;73;14;48;1;2;153;4;
