Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Arcand Pierre P.L.Q./Q.L.P.;Carbonneau Vincent J. P.V.Q./G.P.Q.;Clark Rebecca Anne N.P.D.Q.;Fournier Normand P.M.L.Q.;Gagnon Anne-Marie C.A.Q.-É.F.L.;Labelle Caroline P.Q.;Pollak Yaakov P.C.Q./C.P.Q.;Torres Eve Q.S.;B.V.;B.R.;
336;Mont-Royal-Outremont;2018-10-01;G;Montréal, v;126;;39;379;119;15;3;0;40;15;1;23;216;2;
336;Mont-Royal-Outremont;2018-10-01;G;Montréal, v;126;;40;380;87;4;4;0;26;13;4;12;150;0;
336;Mont-Royal-Outremont;2018-10-01;G;Montréal, v;126;;41;379;69;0;2;1;12;14;3;10;111;0;
336;Mont-Royal-Outremont;2018-10-01;G;Montréal, v;126;;42;366;88;1;3;0;8;7;4;14;125;2;
336;Mont-Royal-Outremont;2018-10-01;G;Montréal, v;126;;43;364;65;5;2;0;11;6;0;16;105;0;
336;Mont-Royal-Outremont;2018-10-01;G;Montréal, v;126;;44;354;78;4;1;2;11;4;1;10;111;1;
336;Mont-Royal-Outremont;2018-10-01;G;Montréal, v;126;;45;400;86;6;3;0;12;3;2;5;117;0;
336;Mont-Royal-Outremont;2018-10-01;G;Montréal, v;126;;46;363;109;2;0;0;10;2;1;5;129;0;
336;Mont-Royal-Outremont;2018-10-01;G;Montréal, v;126;;47;385;81;1;2;0;19;3;11;16;133;0;
336;Mont-Royal-Outremont;2018-10-01;G;Montréal, v;126;;48;389;91;4;3;1;21;4;6;13;143;1;
336;Mont-Royal-Outremont;2018-10-01;G;Montréal, v;126;;49;362;90;1;1;0;19;11;4;10;136;1;
336;Mont-Royal-Outremont;2018-10-01;G;Montréal, v;126;;50;408;60;4;5;2;21;7;2;18;119;0;
336;Mont-Royal-Outremont;2018-10-01;G;Montréal, v;132;;51;371;78;6;3;2;8;5;5;14;121;0;
336;Mont-Royal-Outremont;2018-10-01;G;Montréal, v;132;;52;353;78;7;1;1;6;5;1;12;111;2;
336;Mont-Royal-Outremont;2018-10-01;G;Montréal, v;132;;53;381;104;3;3;0;9;2;5;9;135;0;
