Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Auger Pierre Michel P.L.Q./Q.L.P.;Dufresne Stéphanie P.V.Q./G.P.Q.;Fortin Pierre-Benoit P.C.Q./C.P.Q.;Gauthier Éric É.A.;Lebel Sonia C.A.Q.-É.F.L.;Leclerc Gaëtan P.Q.;Rouss Anthony B.P.;Roy Cullen Steven Q.S.;B.V.;B.R.
676;Champlain;2018-10-01;G;Trois-Rivières, v;29;;36;361;28;5;1;0;85;17;2;30;168;0
676;Champlain;2018-10-01;G;Trois-Rivières, v;29;;37;374;22;2;3;0;69;22;1;27;146;2
676;Champlain;2018-10-01;G;Trois-Rivières, v;29;;38;355;22;3;3;1;77;25;0;22;153;8
676;Champlain;2018-10-01;G;Trois-Rivières, v;29;;39;344;12;3;1;0;53;15;4;18;106;4
676;Champlain;2018-10-01;G;Trois-Rivières, v;30;;40;405;21;4;2;0;54;19;3;27;130;6
676;Champlain;2018-10-01;G;Trois-Rivières, v;30;;41;386;29;3;5;1;61;15;0;24;138;7
676;Champlain;2018-10-01;G;Trois-Rivières, v;30;;42;392;29;3;2;1;84;23;0;26;168;7
676;Champlain;2018-10-01;G;Trois-Rivières, v;30;;43;402;29;5;4;2;104;27;1;50;222;5
676;Champlain;2018-10-01;G;Trois-Rivières, v;30;;44;390;33;3;4;0;91;14;2;32;179;2
676;Champlain;2018-10-01;G;Trois-Rivières, v;30;;45;386;43;7;6;1;73;20;1;25;176;6
676;Champlain;2018-10-01;G;Trois-Rivières, v;31;;46;352;35;4;1;2;98;33;4;32;209;3
676;Champlain;2018-10-01;G;Trois-Rivières, v;31;;47;361;44;5;5;0;102;25;0;15;196;5
676;Champlain;2018-10-01;G;Trois-Rivières, v;31;;48;349;44;1;3;0;100;30;1;24;203;2
676;Champlain;2018-10-01;G;Trois-Rivières, v;31;;49;364;36;8;4;0;102;31;2;41;224;1
676;Champlain;2018-10-01;G;Trois-Rivières, v;31;;50;348;50;6;0;1;108;25;0;21;211;3
676;Champlain;2018-10-01;G;Trois-Rivières, v;31;;51;357;28;3;8;2;82;22;0;31;176;2
676;Champlain;2018-10-01;G;Trois-Rivières, v;32;;52;384;16;3;2;1;84;31;1;40;178;5
676;Champlain;2018-10-01;G;Trois-Rivières, v;32;;53;374;23;5;8;0;87;22;0;24;169;10
676;Champlain;2018-10-01;G;Trois-Rivières, v;32;;54;374;28;7;2;0;84;28;1;29;179;2
676;Champlain;2018-10-01;G;Trois-Rivières, v;32;;55;377;44;1;4;0;77;22;0;26;174;2
676;Champlain;2018-10-01;G;Trois-Rivières, v;32;;56;386;33;5;0;0;115;21;0;22;196;1
676;Champlain;2018-10-01;G;Trois-Rivières, v;32;;57;389;37;2;8;0;94;30;0;28;199;3
676;Champlain;2018-10-01;G;Trois-Rivières, v;32;;58;371;35;0;3;0;98;17;0;12;165;2
676;Champlain;2018-10-01;G;Trois-Rivières, v;33;;59;335;27;2;4;1;80;17;0;17;148;6
676;Champlain;2018-10-01;G;Trois-Rivières, v;33;;60;323;31;2;5;0;83;26;0;31;178;3
676;Champlain;2018-10-01;G;Trois-Rivières, v;33;;61;319;21;6;0;0;93;19;1;19;159;4
676;Champlain;2018-10-01;G;Trois-Rivières, v;33;;62;328;16;2;5;0;80;24;0;22;149;1
676;Champlain;2018-10-01;G;Trois-Rivières, v;33;;63;329;23;5;2;0;61;20;2;26;139;2
676;Champlain;2018-10-01;G;Trois-Rivières, v;34;;64;347;30;1;6;2;71;18;2;23;153;1
676;Champlain;2018-10-01;G;Trois-Rivières, v;34;;65;340;12;3;0;1;67;17;0;27;127;4
676;Champlain;2018-10-01;G;Trois-Rivières, v;34;;66;334;23;1;2;0;64;18;0;18;126;2
676;Champlain;2018-10-01;G;Trois-Rivières, v;34;;67;364;18;2;3;0;57;19;1;22;122;1
676;Champlain;2018-10-01;G;Trois-Rivières, v;34;;68;348;26;3;2;3;60;20;1;18;133;2
676;Champlain;2018-10-01;G;Trois-Rivières, v;34;;69;338;18;6;3;1;65;17;0;27;137;1
676;Champlain;2018-10-01;G;Trois-Rivières, v;35;;70;412;23;4;4;0;93;24;0;34;182;1
676;Champlain;2018-10-01;G;Trois-Rivières, v;35;;71;400;33;1;8;1;114;19;0;33;209;5
676;Champlain;2018-10-01;G;Trois-Rivières, v;35;;72;393;7;3;3;1;59;20;0;34;127;3
676;Champlain;2018-10-01;G;Trois-Rivières, v;35;;73;408;24;4;1;0;62;20;0;34;145;2
676;Champlain;2018-10-01;G;Trois-Rivières, v;35;;74;408;29;6;6;0;98;35;0;28;202;4
676;Champlain;2018-10-01;G;Trois-Rivières, v;36;;75;393;27;7;2;1;96;25;1;39;198;9
676;Champlain;2018-10-01;G;Trois-Rivières, v;36;;76;400;21;4;3;0;87;26;0;22;163;7
676;Champlain;2018-10-01;G;Trois-Rivières, v;36;;77;411;17;7;8;1;50;23;4;33;143;10
676;Champlain;2018-10-01;G;Trois-Rivières, v;36;;78;403;33;1;5;0;58;20;1;25;143;6
676;Champlain;2018-10-01;G;Trois-Rivières, v;36;;79;386;15;3;5;0;85;21;2;34;165;3
676;Champlain;2018-10-01;G;Trois-Rivières, v;37;;80;384;23;5;8;0;54;23;0;30;143;5
676;Champlain;2018-10-01;G;Trois-Rivières, v;37;;81;386;17;1;5;1;79;13;0;21;137;5
676;Champlain;2018-10-01;G;Trois-Rivières, v;37;;82;405;13;9;3;1;66;29;2;26;149;3
676;Champlain;2018-10-01;G;Trois-Rivières, v;37;;83;396;31;3;2;0;67;22;0;22;147;3
676;Champlain;2018-10-01;G;Trois-Rivières, v;38;;84;391;24;4;4;0;64;19;2;27;144;2
676;Champlain;2018-10-01;G;Trois-Rivières, v;38;;85;377;44;5;4;0;74;21;0;36;184;9
676;Champlain;2018-10-01;G;Trois-Rivières, v;38;;86;385;32;1;3;0;59;22;2;30;149;2
676;Champlain;2018-10-01;G;Trois-Rivières, v;38;;87;377;19;6;3;0;67;24;2;29;150;2
676;Champlain;2018-10-01;G;Trois-Rivières, v;38;;88;380;20;1;2;2;72;17;0;21;135;5
676;Champlain;2018-10-01;G;Trois-Rivières, v;39;;89;358;25;3;1;0;75;35;0;18;157;3
676;Champlain;2018-10-01;G;Trois-Rivières, v;39;;90;351;17;7;1;0;80;22;0;28;155;2
676;Champlain;2018-10-01;G;Trois-Rivières, v;39;;91;346;18;3;2;0;76;17;0;34;150;7
676;Champlain;2018-10-01;G;Trois-Rivières, v;39;;92;364;33;2;5;0;121;25;1;26;213;5
676;Champlain;2018-10-01;G;Trois-Rivières, v;39;;93;360;26;5;1;0;120;27;0;19;198;4
676;Champlain;2018-10-01;G;Trois-Rivières, v;39;;94;357;22;1;3;1;83;28;1;22;161;0
676;Champlain;2018-10-01;G;Trois-Rivières, v;39;;95;370;33;5;0;3;97;18;2;21;179;3
676;Champlain;2018-10-01;G;Trois-Rivières, v;40;;96;398;29;1;5;1;115;21;0;33;205;4
