Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Chevalier Sophie P.L.Q./Q.L.P.;Corriveau Patrick P.C.Q./C.P.Q.;Emond Jean-Bernard C.A.Q.-É.F.L.;Pagé Sabourin Sophie Q.S.;Rochon Sylvain P.Q.;Svetoushkina Ksenia P.V.Q./G.P.Q.;B.V.;B.R.;
264;Richelieu;2018-10-01;G;Sainte-Anne-de-Sorel, m;1;;84;377;18;1;119;24;49;5;216;1;
264;Richelieu;2018-10-01;G;Sainte-Anne-de-Sorel, m;1;;85;393;36;5;123;27;41;0;232;6;
264;Richelieu;2018-10-01;G;Sainte-Anne-de-Sorel, m;1;;86;366;21;2;103;23;42;3;194;3;
264;Richelieu;2018-10-01;G;Sainte-Anne-de-Sorel, m;1;;87;385;22;2;119;31;40;1;215;5;
264;Richelieu;2018-10-01;G;Yamaska, m;1;;88;333;30;2;108;25;33;3;201;8;
264;Richelieu;2018-10-01;G;Yamaska, m;1;;89;351;16;6;105;24;55;0;206;7;
264;Richelieu;2018-10-01;G;Yamaska, m;1;;90;333;23;2;119;26;38;3;211;3;
264;Richelieu;2018-10-01;G;Yamaska, m;1;;91;328;28;8;77;29;40;3;185;3;
264;Richelieu;2018-10-01;G;Saint-Robert, m;1;;92;370;25;1;106;28;45;2;207;1;
264;Richelieu;2018-10-01;G;Saint-Robert, m;1;;93;354;12;2;119;16;42;1;192;3;
264;Richelieu;2018-10-01;G;Saint-Robert, m;1;;94;353;15;1;122;14;41;2;195;3;
264;Richelieu;2018-10-01;G;Saint-Robert, m;1;;95;345;7;6;99;32;31;2;177;7;
264;Richelieu;2018-10-01;G;Sainte-Victoire-de-Sorel, m;1;;96;327;22;2;67;38;32;3;164;2;
264;Richelieu;2018-10-01;G;Sainte-Victoire-de-Sorel, m;1;;97;315;12;0;86;20;35;2;155;2;
264;Richelieu;2018-10-01;G;Sainte-Victoire-de-Sorel, m;1;;98;318;21;1;98;13;36;1;170;2;
264;Richelieu;2018-10-01;G;Sainte-Victoire-de-Sorel, m;1;;99;365;15;1;96;32;37;0;181;3;
264;Richelieu;2018-10-01;G;Sainte-Victoire-de-Sorel, m;1;;100;377;14;2;92;23;43;2;176;1;
264;Richelieu;2018-10-01;G;Sainte-Victoire-de-Sorel, m;1;;101;328;13;1;108;24;34;1;181;0;
264;Richelieu;2018-10-01;G;Saint-Roch-de-Richelieu, m;1;;102;361;20;2;121;37;42;4;226;1;
264;Richelieu;2018-10-01;G;Saint-Roch-de-Richelieu, m;1;;103;390;12;5;139;33;63;2;254;0;
264;Richelieu;2018-10-01;G;Saint-Roch-de-Richelieu, m;1;;104;357;16;4;112;30;52;2;216;3;
264;Richelieu;2018-10-01;G;Saint-Roch-de-Richelieu, m;1;;105;347;13;5;89;52;43;4;206;6;
264;Richelieu;2018-10-01;G;Saint-Roch-de-Richelieu, m;1;;106;351;18;3;90;28;57;3;199;2;
264;Richelieu;2018-10-01;G;Saint-Ours, v;1;;107;361;22;4;92;45;62;7;232;6;
264;Richelieu;2018-10-01;G;Saint-Ours, v;1;;108;338;28;1;98;40;53;2;222;4;
264;Richelieu;2018-10-01;G;Saint-Ours, v;1;;109;348;27;2;112;33;31;3;208;0;
264;Richelieu;2018-10-01;G;Saint-Ours, v;1;;110;339;14;1;110;24;60;8;217;4;
264;Richelieu;2018-10-01;G;Saint-Bernard-de-Michaudville, m;1;;111;241;8;3;66;34;48;3;162;3;
264;Richelieu;2018-10-01;G;Saint-Bernard-de-Michaudville, m;1;;112;208;17;7;41;29;39;4;137;3;
264;Richelieu;2018-10-01;G;Saint-Jude, m;1;;113;313;15;2;111;31;45;5;209;13;
264;Richelieu;2018-10-01;G;Saint-Jude, m;1;;114;330;10;2;90;34;55;4;195;3;
