Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bérubé Pascal P.Q.;Boucher Marie-Phare Q.S.;Coulombe Pierre-Luc P.V.Q./G.P.Q.;Fournier Annie P.L.Q./Q.L.P.;Quenum Mathieu C.A.Q.-É.F.L.;Rioux Jocelyn C.P.Q.;Vignola Paul-Émile P.C.Q./C.P.Q.;B.V.;B.R.;
842;Matane-Matapédia;2018-10-01;G;Saint-Ulric, m;1;;49;316;112;6;2;18;14;0;0;152;2;
842;Matane-Matapédia;2018-10-01;G;Saint-Léandre, p;1;;50;316;117;17;2;18;19;2;0;175;0;
842;Matane-Matapédia;2018-10-01;G;Sainte-Paule, m;1;;51;199;76;7;7;17;14;1;0;122;0;
842;Matane-Matapédia;2018-10-01;G;Lac-Matapédia, no;1;Regr. BVO-71;52;10;0;0;0;0;0;0;0;0;0;
842;Matane-Matapédia;2018-10-01;G;Saint-Vianney, m;1;;53;325;169;6;2;18;14;2;0;211;6;
842;Matane-Matapédia;2018-10-01;G;Saint-Tharcisius, p;1;;54;345;146;4;1;18;25;2;1;197;2;
842;Matane-Matapédia;2018-10-01;G;Saint-Alexandre-des-Lacs, p;1;;55;232;92;1;1;14;21;0;0;129;3;
842;Matane-Matapédia;2018-10-01;G;Lac-Casault, no;1;Regr. BVO-63;56;4;0;0;0;0;0;0;0;0;0;
842;Matane-Matapédia;2018-10-01;G;Sainte-Marguerite-Marie, m;1;;57;152;54;4;0;8;10;0;0;76;1;
842;Matane-Matapédia;2018-10-01;G;Routhierville, no;1;Regr. BVO-59;58;11;0;0;0;0;0;0;0;0;0;
842;Matane-Matapédia;2018-10-01;G;Sainte-Florence, m;1;;59;315;115;8;1;11;24;0;0;159;1;
842;Matane-Matapédia;2018-10-01;G;Causapscal, v;1;;60;357;90;8;0;7;13;1;0;119;4;
842;Matane-Matapédia;2018-10-01;G;Causapscal, v;1;;61;352;79;6;0;14;15;0;0;114;1;
842;Matane-Matapédia;2018-10-01;G;Causapscal, v;1;;62;334;82;6;0;10;13;1;1;113;0;
842;Matane-Matapédia;2018-10-01;G;Causapscal, v;1;;63;394;114;8;1;12;15;0;0;150;1;
842;Matane-Matapédia;2018-10-01;G;Causapscal, v;1;;64;378;115;9;2;5;23;4;1;159;4;
842;Matane-Matapédia;2018-10-01;G;Albertville, m;1;;65;196;79;8;0;9;6;5;0;107;1;
842;Matane-Matapédia;2018-10-01;G;Lac-au-Saumon, m;1;;66;347;123;8;1;21;24;0;3;180;0;
