Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blais François P.L.Q./Q.L.P.;Germain Élisabeth Q.S.;Julien Jonatan C.A.Q.-É.F.L.;Morin Annie P.Q.;Pelletier Daniel É.A.;Tremblay Valérie P.C.Q./C.P.Q.;B.V.;B.R.
748;Charlesbourg;2018-10-01;G;Québec, v;82;;21;398;27;23;70;23;0;9;152;4
748;Charlesbourg;2018-10-01;G;Québec, v;82;;22;373;33;33;92;29;1;0;188;2
748;Charlesbourg;2018-10-01;G;Québec, v;82;;23;374;26;32;60;16;1;6;141;1
748;Charlesbourg;2018-10-01;G;Québec, v;82;;24;406;41;15;65;16;1;5;143;3
748;Charlesbourg;2018-10-01;G;Québec, v;82;;25;380;35;19;37;25;0;5;121;5
748;Charlesbourg;2018-10-01;G;Québec, v;82;;26A;275;33;8;57;17;1;1;117;6
748;Charlesbourg;2018-10-01;G;Québec, v;82;;26B;269;17;4;43;13;0;3;80;0
748;Charlesbourg;2018-10-01;G;Québec, v;82;;27;372;47;37;71;27;2;9;193;3
748;Charlesbourg;2018-10-01;G;Québec, v;83;;28;389;31;26;77;13;2;4;153;4
748;Charlesbourg;2018-10-01;G;Québec, v;83;;29;393;30;21;78;17;1;7;154;0
748;Charlesbourg;2018-10-01;G;Québec, v;83;;30;395;45;32;93;16;1;6;193;5
748;Charlesbourg;2018-10-01;G;Québec, v;83;;31;390;50;39;115;21;0;10;235;4
748;Charlesbourg;2018-10-01;G;Québec, v;83;;32;395;34;24;107;27;0;10;202;6
748;Charlesbourg;2018-10-01;G;Québec, v;84;;33;382;45;41;77;20;2;9;194;2
748;Charlesbourg;2018-10-01;G;Québec, v;84;;34;376;65;40;72;20;0;6;203;1
748;Charlesbourg;2018-10-01;G;Québec, v;84;;35;361;36;38;78;24;3;7;186;5
748;Charlesbourg;2018-10-01;G;Québec, v;84;;36;386;40;55;84;31;1;9;220;5
