Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dugal Karl P.Q.;Forget Marie-Josée Q.S.;Gamelin Michèle C.A.Q.-É.F.L.;Henes Vincent N.P.D.Q.;Madani Hamza P.V.Q./G.P.Q.;Thériault Lise P.L.Q./Q.L.P.;B.V.;B.R.
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;367;;56;397;11;38;67;2;6;90;214;0
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;367;;57;417;21;36;57;2;8;54;178;4
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;367;;58;401;30;18;52;1;1;59;161;5
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;367;;59;397;18;29;43;2;10;70;172;1
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;367;;60;422;23;28;42;0;2;63;158;12
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;367;;61;403;24;19;56;1;4;69;173;4
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;367;;62;383;20;22;49;2;4;68;165;5
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;367;;63;408;29;15;49;1;7;92;193;2
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;367;;64;394;13;22;39;2;2;120;198;7
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;367;;65;399;10;21;45;2;5;91;174;4
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;367;;66;393;19;10;50;1;6;92;178;0
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;368;;67;369;22;16;47;1;2;102;190;2
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;368;;68;364;37;15;48;1;4;62;167;6
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;368;;69;363;22;18;59;0;0;62;161;1
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;368;;70;356;35;20;78;4;5;57;199;4
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;368;;71;391;22;21;60;4;6;101;214;4
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;368;;72;378;9;10;75;3;2;65;164;1
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;368;;73;376;30;22;40;0;4;76;172;1
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;369;;74;367;37;30;63;0;5;76;211;4
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;369;;75;365;14;19;54;5;4;70;166;5
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;369;;76;383;36;32;43;0;4;42;157;0
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;369;;77;373;24;33;36;4;3;76;176;0
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;369;;78;377;28;17;55;1;6;60;167;1
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;369;;79;361;10;16;36;1;1;52;116;4
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;369;;80;354;16;25;37;0;3;48;129;9
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;370;;81;376;18;22;47;2;2;81;172;1
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;370;;82;359;20;21;42;2;6;73;164;3
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;370;;83;361;28;49;57;4;6;92;236;2
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;370;;84;380;27;44;56;1;4;91;223;0
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;370;;85;363;12;15;39;1;2;82;151;7
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;370;;86;369;16;30;30;2;4;89;171;3
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;370;;87;368;18;17;31;1;3;81;151;4
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;371;;88;367;15;19;25;0;2;52;113;2
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;371;;89;359;16;23;38;0;5;73;155;7
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;371;;90;364;24;30;74;3;5;113;249;3
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;371;;91;358;18;15;33;2;6;99;173;4
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;371;;92;351;28;30;40;2;2;59;161;1
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;371;;93;354;23;28;50;1;6;76;184;1
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;372;;94;389;46;41;63;5;3;73;231;3
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;372;;95;395;36;34;58;0;4;79;211;6
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;372;;96;377;41;34;58;2;9;48;192;4
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;372;;97;389;22;39;64;1;3;59;188;1
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;372;;98;373;40;46;63;1;2;57;209;1
