Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bourbonnais Claude C.A.Q.-É.F.L.;Erchov Igor Q.S.;Lapalme Philip P.Q.;Mossa Jason P.V.Q./G.P.Q.;Nichols Marie-Claude P.L.Q./Q.L.P.;Piché-Jetté Camille B.P.;Pilon Daniel C.P.Q.;Robertson Ryan P.C.Q./C.P.Q.;Young Ryan N.P.D.Q.;B.V.;B.R.;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;1;;100;378;59;26;29;3;69;0;2;0;6;194;1;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;2;;101;399;49;22;19;3;31;2;2;4;2;134;5;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;2;;102;395;43;31;16;4;75;0;2;4;0;175;2;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;2;;103;401;55;16;13;5;62;0;2;5;2;160;2;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;2;;104;390;70;24;22;3;54;1;4;2;3;183;5;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;2;;105;400;86;29;24;7;57;5;4;1;4;217;4;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;2;;106;399;71;20;28;8;72;1;0;1;3;204;0;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;2;;107;396;86;22;28;4;40;1;4;1;1;187;7;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;2;;108;398;67;28;26;4;31;2;3;4;1;166;5;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;2;;109;371;60;16;24;4;34;0;1;1;3;143;5;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;2;;110;405;55;13;63;5;16;0;0;2;1;155;3;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;2;;111;392;66;18;13;6;56;0;1;6;2;168;2;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;3;;112;416;53;21;27;10;100;0;0;2;4;217;3;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;3;;113;413;20;3;12;2;137;2;0;14;6;196;3;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;3;;114;420;56;24;10;7;93;0;2;4;4;200;1;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;3;;115A;211;22;4;4;1;59;0;0;4;2;96;2;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;3;;115B;214;22;4;6;4;65;0;0;0;1;102;1;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;3;;116A;232;17;13;8;2;64;1;2;2;3;112;0;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;3;;116B;193;23;11;6;4;50;0;0;4;0;98;0;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;3;;117;395;60;15;23;9;95;0;5;4;4;215;2;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;3;;118;412;93;32;24;8;72;2;4;3;3;241;3;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;3;;119;411;88;34;17;5;78;4;1;4;0;231;4;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;3;;120;410;76;32;27;7;54;0;1;0;1;198;6;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;3;;121;407;76;19;29;8;60;1;0;0;3;196;3;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;4;;122;358;53;37;42;10;47;2;1;0;5;197;1;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;4;;123;377;78;23;26;4;51;1;1;0;3;187;3;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;4;;124;370;54;34;30;4;48;2;1;3;1;177;4;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;4;;125;377;65;23;22;4;60;3;1;4;2;184;5;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;4;;126;381;81;31;31;4;30;5;1;4;0;187;3;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;5;;127;367;56;29;14;11;62;0;1;4;3;180;1;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;5;;128;378;59;15;16;5;79;0;1;0;6;181;2;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;5;;129;397;41;16;26;4;66;2;1;3;3;162;0;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;5;;130;378;59;18;17;6;92;1;0;5;2;200;0;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;5;;131;417;66;28;33;3;43;3;1;3;3;183;1;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;5;;132;389;58;14;23;7;64;2;5;1;3;177;1;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;5;;133;398;77;36;30;5;66;1;3;7;2;227;3;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;5;;134;322;47;10;25;8;38;1;3;4;1;137;3;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;6;;135;366;50;25;21;8;32;4;0;2;3;145;6;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;6;;136;371;67;31;27;6;43;3;2;1;6;186;3;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;6;;137;384;108;35;34;6;44;3;11;1;1;243;2;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;6;;138;384;74;32;20;4;50;1;3;4;2;190;3;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;6;;139;381;54;25;21;1;48;2;3;1;1;156;1;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;6;;140;363;50;14;17;4;61;0;2;2;6;156;2;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;6;;141;383;68;20;28;0;33;2;3;1;4;159;3;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;6;;142;351;83;23;23;3;52;2;4;5;0;195;5;
