Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Billette Stéphane P.L.Q./Q.L.P.;Haliburton Victoria Mary P.V.Q./G.P.Q.;Hébert Huguette P.Q.;Hodgins-Ravensbergen Aiden Q.S.;Isabelle Claire C.A.Q.-É.F.L.;Orme Charles N.P.D.Q.;Ouellette Jérémie P.C.Q./C.P.Q.;B.V.;B.R.;
216;Huntingdon;2018-10-01;G;Godmanchester, ct;1;;16;356;91;2;16;20;65;0;1;195;0;
216;Huntingdon;2018-10-01;G;Godmanchester, ct;1;;17;369;126;8;10;14;33;0;2;193;3;
216;Huntingdon;2018-10-01;G;Huntingdon, v;1;;18;387;97;1;8;16;24;1;4;151;3;
216;Huntingdon;2018-10-01;G;Huntingdon, v;1;;19;385;82;3;9;13;35;0;1;143;0;
216;Huntingdon;2018-10-01;G;Huntingdon, v;1;;20;399;64;5;12;19;33;2;5;140;4;
216;Huntingdon;2018-10-01;G;Huntingdon, v;1;;21;387;56;2;9;18;42;0;1;128;6;
216;Huntingdon;2018-10-01;G;Huntingdon, v;1;;22;410;90;0;8;9;27;0;0;134;1;
216;Huntingdon;2018-10-01;G;Elgin, m;1;;23;324;133;6;6;9;27;0;7;188;1;
216;Huntingdon;2018-10-01;G;Hinchinbrooke, m;1;;24;364;102;2;2;12;24;0;2;144;1;
216;Huntingdon;2018-10-01;G;Hinchinbrooke, m;1;;25;360;130;3;7;12;12;0;2;166;1;
216;Huntingdon;2018-10-01;G;Hinchinbrooke, m;1;;26;361;106;3;11;15;24;0;3;162;1;
216;Huntingdon;2018-10-01;G;Hinchinbrooke, m;1;;27;368;26;5;15;30;58;2;2;138;5;
216;Huntingdon;2018-10-01;G;Hinchinbrooke, m;1;;28;356;144;2;6;10;19;0;1;182;3;
216;Huntingdon;2018-10-01;G;Franklin, m;1;;29;342;123;5;21;18;30;2;2;201;0;
216;Huntingdon;2018-10-01;G;Franklin, m;1;;30;338;78;2;33;20;69;1;2;205;1;
216;Huntingdon;2018-10-01;G;Franklin, m;1;;31;339;79;5;46;28;72;1;6;237;0;
216;Huntingdon;2018-10-01;G;Franklin, m;1;;32;336;74;4;31;19;86;2;2;218;1;
216;Huntingdon;2018-10-01;G;Ormstown, m;1;;33;361;48;5;15;27;74;0;3;172;0;
216;Huntingdon;2018-10-01;G;Ormstown, m;1;;34;357;87;6;24;24;37;1;3;182;1;
216;Huntingdon;2018-10-01;G;Ormstown, m;1;;35;356;121;1;12;16;27;0;2;179;0;
216;Huntingdon;2018-10-01;G;Ormstown, m;1;;36;356;82;0;14;12;59;0;1;168;3;
216;Huntingdon;2018-10-01;G;Ormstown, m;1;;37;362;121;3;11;11;26;1;0;173;0;
216;Huntingdon;2018-10-01;G;Ormstown, m;1;;38;346;81;4;13;11;41;0;1;151;3;
216;Huntingdon;2018-10-01;G;Ormstown, m;1;;39;360;81;5;17;30;54;0;0;187;4;
216;Huntingdon;2018-10-01;G;Ormstown, m;1;;40;356;60;5;29;18;72;0;0;184;2;
