Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bigras-Denis Bernard P.L.Q./Q.L.P.;Boyer Stéphanie P.L.;Côté Patrick P.Q.;Edwards Sherwin P.C.Q./C.P.Q.;Grondin Agnès C.A.Q.-É.F.L.;Lachapelle Céline Q.S.;St-Denis Yves Ind;Thériault Carole P.V.Q./G.P.Q.;Wiseman Louise C.P.Q.;B.V.;B.R.
520;Argenteuil;2018-10-01;G;Saint-Colomban, v;2;;126;373;9;1;53;0;98;40;3;3;0;207;6
520;Argenteuil;2018-10-01;G;Saint-Colomban, v;2;;127;373;20;0;41;3;103;26;1;4;1;199;5
520;Argenteuil;2018-10-01;G;Saint-Colomban, v;2;;128;375;6;0;42;5;89;34;0;1;3;180;1
520;Argenteuil;2018-10-01;G;Saint-Colomban, v;2;;129;380;30;4;33;4;127;29;2;7;0;236;4
520;Argenteuil;2018-10-01;G;Lachute, v;1;Regr. BVO-1;500;23;0;0;0;0;0;0;0;0;0;0;0
520;Argenteuil;2018-10-01;G;Lachute, v;1;Regr. BVO-2;501;142;0;0;0;0;0;0;0;0;0;0;0
520;Argenteuil;2018-10-01;G;Lachute, v;2;Regr. BVO-8;502;65;0;0;0;0;0;0;0;0;0;0;0
520;Argenteuil;2018-10-01;G;Brownsburg-Chatham, v;2;Regr. BVO-6;503;51;0;0;0;0;0;0;0;0;0;0;0
520;Argenteuil;2018-10-01;G;Saint-Adolphe-d'Howard, m;1;Regr. BVO-69;504;26;0;0;0;0;0;0;0;0;0;0;0
520;Argenteuil;2018-10-01;G;BVA1: SV no 1 à 6;;;;0;73;1;57;6;88;15;44;1;1;286;7
520;Argenteuil;2018-10-01;G;BVA2: SV no 7 à 12;;;;0;69;2;49;1;96;16;29;1;0;263;3
520;Argenteuil;2018-10-01;G;BVA3: SV no 13 à 18;;;;0;43;4;49;3;88;16;41;4;1;249;7
520;Argenteuil;2018-10-01;G;BVA4: SV no 19 à 24;;;;0;55;0;53;2;135;18;46;1;0;310;6
520;Argenteuil;2018-10-01;G;BVA5: SV no 25 à 32;;;;0;61;3;68;2;136;21;25;1;3;320;3
520;Argenteuil;2018-10-01;G;BVA6: SV no 33 à 34, 93 à 98;;;;0;62;1;37;2;65;14;14;4;0;199;0
520;Argenteuil;2018-10-01;G;BVA7: SV no 35 à 39;;;;0;54;0;35;7;81;17;20;1;0;215;3
520;Argenteuil;2018-10-01;G;BVA8: SV no 40 à 44;;;;0;47;0;45;8;86;9;23;1;1;220;1
520;Argenteuil;2018-10-01;G;BVA9: SV no 45 à 49;;;;0;55;1;42;6;107;14;57;3;0;285;5
520;Argenteuil;2018-10-01;G;BVA10: SV no 50 à 53;;;;0;62;3;24;2;80;4;27;2;0;204;6
520;Argenteuil;2018-10-01;G;BVA11: SV no 54 à 59;;;;0;99;4;44;6;117;22;39;2;0;333;4
520;Argenteuil;2018-10-01;G;BVA12: SV no 60 à 66;;;;0;143;1;21;1;65;29;4;6;0;270;4
520;Argenteuil;2018-10-01;G;BVA13: SV no 69 à 76;;;;0;65;2;95;3;153;62;5;3;2;390;6
