Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Guindon Gilles C.I.N.Q.;Jannard Camille B. P.V.Q./G.P.Q.;Létourneau Gilles N.P.D.Q.;L'Heureux Guy P.C.Q./C.P.Q.;Picard Christian P.Q.;Roberge Jean-François C.A.Q.-É.F.L.;Vachon Benjamin B.P.;Vigeant Francis Q.S.;Villeneuve François P.L.Q./Q.L.P.;B.V.;B.R.
238;Chambly;2018-10-01;G;Richelieu, v;1;;120;375;0;3;1;4;27;91;3;37;25;191;5
238;Chambly;2018-10-01;G;Richelieu, v;1;;121;371;1;3;0;4;36;73;3;43;11;174;5
238;Chambly;2018-10-01;G;Richelieu, v;1;;122;367;1;5;0;1;31;117;1;35;23;214;4
238;Chambly;2018-10-01;G;Richelieu, v;2;;123;390;0;3;1;1;40;99;0;34;20;198;3
238;Chambly;2018-10-01;G;Richelieu, v;2;;124;351;1;5;0;3;40;102;1;39;11;202;1
238;Chambly;2018-10-01;G;Richelieu, v;2;;125;368;1;6;1;0;35;87;4;33;16;183;3
238;Chambly;2018-10-01;G;Richelieu, v;2;;126;392;1;7;0;2;28;82;2;35;15;172;2
238;Chambly;2018-10-01;G;Richelieu, v;2;;127;358;0;1;1;3;29;77;2;40;17;170;3
238;Chambly;2018-10-01;G;Richelieu, v;2;;128;385;0;6;1;0;30;117;0;43;18;215;2
238;Chambly;2018-10-01;G;Richelieu, v;2;;129;351;0;3;0;2;38;87;1;30;18;179;0
238;Chambly;2018-10-01;G;Saint-Basile-le-Grand, v;1;Regr. BVO-7;500;84;0;0;0;0;0;0;0;0;0;0;0
238;Chambly;2018-10-01;G;Saint-Basile-le-Grand, v;3;Regr. BVO-31;501;92;0;0;0;0;0;0;0;0;0;0;0
238;Chambly;2018-10-01;G;Chambly, v;2;Regr. BVO-60;502;37;0;0;0;0;0;0;0;0;0;0;0
238;Chambly;2018-10-01;G;Chambly, v;5;Regr. BVO-97;503;238;0;0;0;0;0;0;0;0;0;0;0
238;Chambly;2018-10-01;G;Chambly, v;6;Regr. BVO-103;504;158;0;0;0;0;0;0;0;0;0;0;0
238;Chambly;2018-10-01;G;Richelieu, v;2;Regr. BVO-123;505;154;0;0;0;0;0;0;0;0;0;0;0
238;Chambly;2018-10-01;G;Richelieu, v;2;Regr. BVO-125;506;60;0;0;0;0;0;0;0;0;0;0;0
238;Chambly;2018-10-01;G;Richelieu, v;2;Regr. BVO-126;507;92;0;0;0;0;0;0;0;0;0;0;0
238;Chambly;2018-10-01;G;BVA1: SV no 1 à 7;;;;0;0;11;0;3;65;209;5;81;70;444;4
238;Chambly;2018-10-01;G;BVA2: SV no 8 à 14;;;;0;2;5;1;3;81;264;1;58;48;463;6
238;Chambly;2018-10-01;G;BVA3: SV no 15 à 21;;;;0;0;4;3;0;88;252;3;63;71;484;9
