Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Alarie Natacha P.V.Q./G.P.Q.;de Passillé Diane P.L.Q./Q.L.P.;Girault Nadine C.A.Q.-É.F.L.;Jaccoud Mylène Q.S.;Laframboise Kathy P.C.Q./C.P.Q.;Lafrenière Gilbert P.Q.;Martin Benoit P.L.;Pigeon Benoît C.P.Q.;B.V.;B.R.
588;Bertrand;2018-10-01;G;Rawdon, m;1;;29;406;3;12;82;22;1;29;0;4;153;5
588;Bertrand;2018-10-01;G;Rawdon, m;1;;30;410;4;24;71;30;3;43;2;7;184;0
588;Bertrand;2018-10-01;G;Rawdon, m;1;;31;392;6;25;80;28;0;28;0;2;169;1
588;Bertrand;2018-10-01;G;Rawdon, m;1;;32;384;3;6;92;26;0;41;3;0;171;4
588;Bertrand;2018-10-01;G;Rawdon, m;1;;33;392;4;32;81;15;3;33;1;0;169;3
588;Bertrand;2018-10-01;G;Rawdon, m;1;;34;399;4;35;89;22;2;42;2;2;198;1
588;Bertrand;2018-10-01;G;Rawdon, m;1;;35;399;5;31;62;41;2;38;3;1;183;5
588;Bertrand;2018-10-01;G;Rawdon, m;1;;36;406;1;28;87;32;2;31;1;0;182;1
588;Bertrand;2018-10-01;G;Rawdon, m;1;;37;389;6;16;64;25;3;19;2;2;137;3
588;Bertrand;2018-10-01;G;Rawdon, m;1;;38;401;2;20;51;34;0;48;3;3;161;3
588;Bertrand;2018-10-01;G;Rawdon, m;1;;39;395;3;31;84;27;5;28;0;0;178;5
588;Bertrand;2018-10-01;G;Rawdon, m;1;;40;423;2;24;67;29;1;18;1;0;142;3
588;Bertrand;2018-10-01;G;Rawdon, m;1;;41;389;1;27;60;22;0;23;1;0;134;2
588;Bertrand;2018-10-01;G;Rawdon, m;1;;42;391;6;28;63;36;4;29;0;1;167;0
588;Bertrand;2018-10-01;G;Rawdon, m;1;;43;412;5;21;97;30;1;43;0;0;197;0
588;Bertrand;2018-10-01;G;Rawdon, m;1;;44;392;2;7;100;27;2;50;0;4;192;0
588;Bertrand;2018-10-01;G;Entrelacs, m;1;;45;391;3;19;125;34;5;37;1;4;228;0
588;Bertrand;2018-10-01;G;Entrelacs, m;1;;46;386;2;33;108;29;1;59;0;1;233;1
588;Bertrand;2018-10-01;G;Estérel, v;1;;47;187;0;36;27;11;1;15;0;0;90;0
588;Bertrand;2018-10-01;G;Sainte-Marguerite-du-Lac-Masson, v;1;;48;370;3;21;65;26;1;41;0;1;158;2
588;Bertrand;2018-10-01;G;Sainte-Marguerite-du-Lac-Masson, v;1;;49;363;4;11;72;38;2;30;1;3;161;4
588;Bertrand;2018-10-01;G;Sainte-Marguerite-du-Lac-Masson, v;1;;50;352;1;25;50;28;2;35;0;1;142;2
588;Bertrand;2018-10-01;G;Sainte-Marguerite-du-Lac-Masson, v;1;;51;378;1;14;78;41;1;33;1;3;172;3
588;Bertrand;2018-10-01;G;Sainte-Marguerite-du-Lac-Masson, v;1;;52;356;2;14;95;28;0;38;0;3;180;4
588;Bertrand;2018-10-01;G;Sainte-Marguerite-du-Lac-Masson, v;1;;53;349;3;20;72;46;3;23;1;3;171;1
588;Bertrand;2018-10-01;G;Sainte-Marguerite-du-Lac-Masson, v;1;;54;356;3;15;71;32;0;40;0;0;161;5
588;Bertrand;2018-10-01;G;Sainte-Lucie-des-Laurentides, m;1;;55;366;6;20;50;48;3;51;2;2;182;2
588;Bertrand;2018-10-01;G;Sainte-Lucie-des-Laurentides, m;1;;56;370;3;16;96;37;1;64;1;0;218;6
588;Bertrand;2018-10-01;G;Sainte-Lucie-des-Laurentides, m;1;;57;357;4;23;72;32;1;61;1;2;196;2
588;Bertrand;2018-10-01;G;Lantier, m;1;;58;394;5;19;54;18;0;23;0;0;119;7
588;Bertrand;2018-10-01;G;Lantier, m;1;;59;371;1;11;79;25;0;40;2;3;161;3
588;Bertrand;2018-10-01;G;Val-des-Lacs, m;1;;60;321;2;18;70;28;1;38;0;0;157;4
588;Bertrand;2018-10-01;G;Val-des-Lacs, m;1;;61;310;1;19;46;32;0;53;3;0;154;3
588;Bertrand;2018-10-01;G;Ivry-sur-le-Lac, m;1;;62;308;6;30;48;36;0;43;0;0;163;2
588;Bertrand;2018-10-01;G;Sainte-Agathe-des-Monts, v;1;;63;352;2;12;57;32;3;28;1;0;135;1
588;Bertrand;2018-10-01;G;Sainte-Agathe-des-Monts, v;1;;64;347;2;9;50;19;0;42;0;0;122;1
588;Bertrand;2018-10-01;G;Sainte-Agathe-des-Monts, v;1;;65;334;0;8;50;24;0;27;0;0;109;3
588;Bertrand;2018-10-01;G;Sainte-Agathe-des-Monts, v;1;;66;347;3;20;29;13;0;28;1;2;96;0
588;Bertrand;2018-10-01;G;Sainte-Agathe-des-Monts, v;1;;67;370;4;26;53;16;1;41;0;0;141;0
588;Bertrand;2018-10-01;G;Sainte-Agathe-des-Monts, v;1;;68;410;3;10;49;17;2;23;1;0;105;4
588;Bertrand;2018-10-01;G;Sainte-Agathe-des-Monts, v;1;;69;348;2;10;48;39;0;47;0;0;146;1
588;Bertrand;2018-10-01;G;Sainte-Agathe-des-Monts, v;1;;70;341;1;11;51;14;1;26;0;1;105;3
588;Bertrand;2018-10-01;G;Sainte-Agathe-des-Monts, v;2;;71;399;1;15;43;22;0;36;0;0;117;4
588;Bertrand;2018-10-01;G;Sainte-Agathe-des-Monts, v;2;;72;372;0;10;28;25;2;22;1;0;88;1
588;Bertrand;2018-10-01;G;Sainte-Agathe-des-Monts, v;2;;73;380;3;8;53;19;2;52;0;2;139;5
588;Bertrand;2018-10-01;G;Sainte-Agathe-des-Monts, v;2;;74;369;0;16;60;19;0;43;1;0;139;4
588;Bertrand;2018-10-01;G;Sainte-Agathe-des-Monts, v;3;;75;369;1;7;29;51;3;53;0;0;144;1
588;Bertrand;2018-10-01;G;Sainte-Agathe-des-Monts, v;3;;76;381;2;13;75;33;0;64;0;3;190;1
588;Bertrand;2018-10-01;G;Sainte-Agathe-des-Monts, v;3;;77;389;2;15;73;24;0;22;0;0;136;6
588;Bertrand;2018-10-01;G;Sainte-Agathe-des-Monts, v;3;;78;389;3;8;67;22;0;46;0;0;146;3
588;Bertrand;2018-10-01;G;Sainte-Agathe-des-Monts, v;3;;79;371;1;6;48;23;4;32;0;0;114;2
588;Bertrand;2018-10-01;G;Sainte-Agathe-des-Monts, v;3;;80;377;2;12;55;37;0;32;2;2;142;2
588;Bertrand;2018-10-01;G;Sainte-Agathe-des-Monts, v;3;;81;379;3;9;65;35;1;45;0;0;158;4
588;Bertrand;2018-10-01;G;Sainte-Agathe-des-Monts, v;4;;82;360;5;19;49;33;2;33;0;5;146;0
