Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Berthiaume Jean-Patrick B.P.;Charlebois Lucie P.L.Q./Q.L.P.;D.-Henry Samuelle P.Q.;Jitaru Bianca P.V.Q./G.P.Q.;Larue-Bourdages Maxime Q.S.;Madelein Etienne N.P.D.Q.;Marquis Patrick É.A.;Picard Marilyne C.A.Q.-É.F.L.;Prud'homme Dominik C.P.Q.;Trombino Felice P.C.Q./C.P.Q.;B.V.;B.R.;
220;Soulanges;2018-10-01;G;Saint-Télesphore, m;1;;26;299;1;44;21;1;20;2;1;97;2;0;189;7;
220;Soulanges;2018-10-01;G;Saint-Télesphore, m;1;;27;288;1;48;18;1;19;3;0;79;2;0;171;4;
220;Soulanges;2018-10-01;G;Saint-Polycarpe, m;1;;28;338;2;40;25;3;32;2;1;84;3;3;195;3;
220;Soulanges;2018-10-01;G;Saint-Polycarpe, m;1;;29;353;4;21;19;6;45;3;0;74;3;0;175;6;
220;Soulanges;2018-10-01;G;Saint-Polycarpe, m;1;;30;354;1;24;33;6;43;0;0;99;6;3;215;5;
220;Soulanges;2018-10-01;G;Saint-Polycarpe, m;1;;31;352;1;70;24;5;41;1;0;87;7;2;238;1;
220;Soulanges;2018-10-01;G;Saint-Polycarpe, m;1;;32;335;3;55;28;5;29;2;1;68;2;2;195;1;
220;Soulanges;2018-10-01;G;Rivière-Beaudette, m;1;;33;376;1;15;28;5;37;2;0;135;3;0;226;12;
220;Soulanges;2018-10-01;G;Rivière-Beaudette, m;1;;34;350;3;30;23;4;30;1;0;84;6;3;184;6;
220;Soulanges;2018-10-01;G;Rivière-Beaudette, m;1;;35;351;2;29;23;7;25;1;1;95;5;1;189;6;
220;Soulanges;2018-10-01;G;Rivière-Beaudette, m;1;;36;337;0;45;24;8;25;5;2;84;3;2;198;1;
220;Soulanges;2018-10-01;G;Rivière-Beaudette, m;1;;37;355;5;54;22;2;18;2;1;95;5;0;204;7;
220;Soulanges;2018-10-01;G;Saint-Zotique, m;1;;38;376;2;48;20;2;25;1;0;83;0;2;183;1;
220;Soulanges;2018-10-01;G;Saint-Zotique, m;1;;39;354;2;27;17;1;18;2;0;77;1;0;145;7;
220;Soulanges;2018-10-01;G;Saint-Zotique, m;1;;40;366;1;21;24;3;21;1;2;91;2;1;167;1;
220;Soulanges;2018-10-01;G;Saint-Zotique, m;1;;41;378;1;29;19;0;24;2;0;95;1;2;173;5;
220;Soulanges;2018-10-01;G;Saint-Zotique, m;1;;42;372;1;29;26;1;28;1;3;97;1;1;188;2;
220;Soulanges;2018-10-01;G;Saint-Zotique, m;1;;43;386;2;42;18;3;31;1;0;95;2;1;195;0;
220;Soulanges;2018-10-01;G;Saint-Zotique, m;1;;44;379;0;42;19;1;17;0;1;112;9;0;201;0;
220;Soulanges;2018-10-01;G;Saint-Zotique, m;1;;45;366;1;37;26;0;23;2;1;74;2;0;166;1;
220;Soulanges;2018-10-01;G;Saint-Zotique, m;1;;46;370;0;31;32;4;24;1;0;97;2;1;192;2;
220;Soulanges;2018-10-01;G;Saint-Zotique, m;1;;47;360;1;28;38;2;18;2;0;96;1;0;186;3;
220;Soulanges;2018-10-01;G;Saint-Zotique, m;1;;48;369;2;31;33;1;31;0;0;81;3;3;185;6;
220;Soulanges;2018-10-01;G;Saint-Zotique, m;1;;49;387;0;30;33;1;45;3;0;108;2;0;222;1;
220;Soulanges;2018-10-01;G;Saint-Zotique, m;1;;50;384;1;38;26;2;33;6;0;104;1;0;211;1;
