Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blais Marguerite C.A.Q.-É.F.L.;Goyette Naömie P.L.Q./Q.L.P.;Leclerc Michel P.L.;Mayer Lucie Q.S.;Mulcahy Malcolm P.C.Q./C.P.Q.;St-Pierre Plamondon Paul P.Q.;B.V.;B.R.;
582;Prévost;2018-10-01;G;Sainte-Sophie, m;1;;38A;209;63;15;1;12;2;11;104;0;
582;Prévost;2018-10-01;G;Sainte-Sophie, m;1;;38B;219;50;10;2;4;0;28;94;1;
582;Prévost;2018-10-01;G;Sainte-Sophie, m;1;;39A;230;49;6;4;17;0;23;99;3;
582;Prévost;2018-10-01;G;Sainte-Sophie, m;1;;39B;213;53;8;2;18;1;30;112;2;
582;Prévost;2018-10-01;G;Sainte-Sophie, m;1;;40;412;109;9;1;28;4;53;204;3;
582;Prévost;2018-10-01;G;Sainte-Sophie, m;1;;41A;218;42;5;0;21;4;31;103;1;
582;Prévost;2018-10-01;G;Sainte-Sophie, m;1;;41B;208;60;6;0;12;1;29;108;2;
582;Prévost;2018-10-01;G;Sainte-Sophie, m;1;;42;421;81;17;1;31;2;55;187;5;
582;Prévost;2018-10-01;G;Sainte-Sophie, m;1;;43A;211;41;8;1;26;5;23;104;1;
582;Prévost;2018-10-01;G;Sainte-Sophie, m;1;;43B;217;45;6;1;12;3;37;104;3;
582;Prévost;2018-10-01;G;Sainte-Sophie, m;1;;44;425;117;10;2;31;4;44;208;3;
582;Prévost;2018-10-01;G;Sainte-Sophie, m;1;;45;425;93;17;3;30;0;49;192;10;
582;Prévost;2018-10-01;G;Sainte-Sophie, m;1;;46;423;68;16;2;25;3;68;182;5;
582;Prévost;2018-10-01;G;Sainte-Sophie, m;1;;47;415;114;13;1;33;4;51;216;4;
582;Prévost;2018-10-01;G;Sainte-Sophie, m;1;;48;406;115;13;6;35;3;53;225;5;
582;Prévost;2018-10-01;G;Sainte-Sophie, m;1;;49;413;86;16;3;39;4;47;195;9;
582;Prévost;2018-10-01;G;Piedmont, m;1;;50;407;76;34;3;15;0;24;152;5;
582;Prévost;2018-10-01;G;Piedmont, m;1;;51;394;79;28;1;25;1;26;160;4;
582;Prévost;2018-10-01;G;Piedmont, m;1;;52;379;74;41;1;20;0;24;160;0;
582;Prévost;2018-10-01;G;Piedmont, m;1;;53;384;72;42;0;20;1;40;175;4;
582;Prévost;2018-10-01;G;Piedmont, m;1;;54;379;79;36;0;18;4;23;160;1;
582;Prévost;2018-10-01;G;Piedmont, m;1;;55;405;76;30;0;12;1;25;144;2;
582;Prévost;2018-10-01;G;Piedmont, m;1;;56;389;44;24;0;20;0;37;125;0;
582;Prévost;2018-10-01;G;Saint-Sauveur, v;1;;57;401;62;35;1;18;1;24;141;2;
582;Prévost;2018-10-01;G;Saint-Sauveur, v;1;;58;397;67;20;3;22;1;36;149;1;
582;Prévost;2018-10-01;G;Saint-Sauveur, v;1;;59;386;67;38;0;15;1;31;152;2;
582;Prévost;2018-10-01;G;Saint-Sauveur, v;1;;60;403;58;33;1;14;0;39;145;3;
582;Prévost;2018-10-01;G;Saint-Sauveur, v;1;;61;412;78;25;2;12;0;27;144;2;
582;Prévost;2018-10-01;G;Saint-Sauveur, v;1;;62;387;55;25;2;14;1;16;113;1;
582;Prévost;2018-10-01;G;Saint-Sauveur, v;1;;63;413;65;43;0;15;2;37;162;1;
582;Prévost;2018-10-01;G;Saint-Sauveur, v;1;;64;391;56;32;2;13;2;22;127;3;
582;Prévost;2018-10-01;G;Saint-Sauveur, v;1;;65;397;93;39;1;26;1;45;205;0;
582;Prévost;2018-10-01;G;Saint-Sauveur, v;1;;66;392;67;32;0;33;1;27;160;3;
582;Prévost;2018-10-01;G;Saint-Sauveur, v;1;;67;408;76;28;1;18;0;16;139;1;
582;Prévost;2018-10-01;G;Saint-Sauveur, v;1;;68;414;62;26;2;18;2;46;156;5;
582;Prévost;2018-10-01;G;Saint-Sauveur, v;1;;69;405;73;31;2;38;1;44;189;1;
582;Prévost;2018-10-01;G;Saint-Sauveur, v;1;;70;403;83;28;0;24;2;40;177;1;
582;Prévost;2018-10-01;G;Saint-Sauveur, v;1;;71;403;70;39;2;36;2;34;183;2;
582;Prévost;2018-10-01;G;Saint-Sauveur, v;1;;72;408;58;30;2;29;2;32;153;3;
582;Prévost;2018-10-01;G;Saint-Sauveur, v;1;;73;389;85;25;1;13;0;42;166;1;
582;Prévost;2018-10-01;G;Saint-Sauveur, v;1;;74;409;65;47;2;26;0;28;168;1;
582;Prévost;2018-10-01;G;Saint-Sauveur, v;1;;75;397;62;36;0;23;1;41;163;2;
582;Prévost;2018-10-01;G;Saint-Sauveur, v;1;;76;397;76;33;0;24;0;21;154;4;
