Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Côté Kévin Q.S.;Hébert Geneviève C.A.Q.-É.F.L.;Masson Solange P.Q.;Mc Elreavy Cyrille C.P.Q.;Morin Mathieu P.V.Q./G.P.Q.;Poulin Charles P.L.Q./Q.L.P.;B.V.;B.R.;
110;Saint-François;2018-10-01;G;Sherbrooke, v;36;;127;416;44;88;34;2;2;39;209;7;
110;Saint-François;2018-10-01;G;Sherbrooke, v;36;;128;412;58;93;44;4;4;22;225;4;
110;Saint-François;2018-10-01;G;Sherbrooke, v;36;;129;394;34;70;41;3;2;32;182;2;
110;Saint-François;2018-10-01;G;Sherbrooke, v;36;;130;401;60;84;35;7;2;26;214;7;
110;Saint-François;2018-10-01;G;Sherbrooke, v;36;;131;405;40;79;32;5;5;27;188;4;
110;Saint-François;2018-10-01;G;Sherbrooke, v;36;;132;402;47;72;40;1;2;38;200;3;
110;Saint-François;2018-10-01;G;Sherbrooke, v;36;;133;400;38;105;42;4;3;36;228;3;
110;Saint-François;2018-10-01;G;Sherbrooke, v;36;;134;399;48;88;45;1;2;27;211;6;
110;Saint-François;2018-10-01;G;Sherbrooke, v;36;;135A;240;38;33;12;5;2;21;111;3;
110;Saint-François;2018-10-01;G;Sherbrooke, v;36;;135B;198;10;20;10;3;1;6;50;2;
110;Saint-François;2018-10-01;G;Sherbrooke, v;36;;136A;198;21;40;16;0;3;16;96;4;
110;Saint-François;2018-10-01;G;Sherbrooke, v;36;;136B;228;37;42;15;3;0;12;109;1;
110;Saint-François;2018-10-01;G;Sherbrooke, v;37;;137;376;53;83;29;2;2;40;209;6;
110;Saint-François;2018-10-01;G;Sherbrooke, v;37;;138;368;42;83;37;0;3;29;194;4;
110;Saint-François;2018-10-01;G;Sherbrooke, v;37;;139;366;52;74;31;2;8;37;204;4;
110;Saint-François;2018-10-01;G;Sherbrooke, v;37;;140;377;57;77;46;2;0;41;223;1;
110;Saint-François;2018-10-01;G;Sherbrooke, v;37;;141;363;48;97;33;3;2;28;211;0;
110;Saint-François;2018-10-01;G;Sherbrooke, v;37;;142;365;46;87;30;2;2;49;216;6;
110;Saint-François;2018-10-01;G;Sherbrooke, v;38;;143;365;41;89;38;0;2;47;217;5;
110;Saint-François;2018-10-01;G;Sherbrooke, v;38;;144;381;51;102;63;4;3;26;249;3;
110;Saint-François;2018-10-01;G;Sherbrooke, v;38;;145;374;49;105;31;2;2;59;248;8;
110;Saint-François;2018-10-01;G;Sherbrooke, v;38;;146;381;50;94;41;3;7;55;250;2;
110;Saint-François;2018-10-01;G;Sherbrooke, v;38;;147;373;54;95;43;0;4;39;235;4;
110;Saint-François;2018-10-01;G;Sherbrooke, v;38;;148;366;49;127;29;2;2;28;237;1;
110;Saint-François;2018-10-01;G;Coaticook, v;1;Regr. BVO-13;500;95;0;0;0;0;0;0;0;0;
110;Saint-François;2018-10-01;G;Coaticook, v;2;Regr. BVO-17;501;62;0;0;0;0;0;0;0;0;
