Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Fréchette-Bonnier Maya Q.S.;Geraci Antonino P.V.Q./G.P.Q.;Grigoriev Nikolai P.C.Q./C.P.Q.;Héroux Hélène P.M.L.Q.;Jugureanu Marcelina P.L.Q./Q.L.P.;McCann Danielle C.A.Q.-É.F.L.;Therrien Alain P.Q.;B.V.;B.R.;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;3;;54;380;42;1;3;0;36;83;58;223;4;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;3;;55;385;19;3;0;0;50;101;52;225;1;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;3;;56;378;41;5;4;1;39;70;33;193;6;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;3;;57;364;27;1;1;2;33;72;41;177;7;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;3;;58;373;28;3;0;1;31;71;27;161;4;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;3;;59;391;48;2;2;0;11;60;69;192;4;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;4;;60;396;27;3;0;1;24;92;58;205;0;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;4;;61;366;40;3;3;0;8;62;64;180;5;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;4;;62;393;19;6;1;0;23;81;74;204;5;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;4;;63;379;39;8;5;1;26;89;47;215;1;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;4;;64;387;22;8;1;0;22;94;43;190;2;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;4;;65;375;43;1;1;0;23;77;66;211;3;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;4;;66;380;32;1;2;0;35;92;51;213;4;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;4;;67;402;41;2;3;0;27;82;63;218;3;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;4;;68;394;24;2;5;2;28;80;67;208;5;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;4;;69;411;35;4;4;0;42;90;44;219;9;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;5;;70;379;43;4;3;0;27;89;45;211;0;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;5;;71;374;28;2;1;1;28;82;52;194;7;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;5;;72;388;30;1;6;1;25;98;62;223;5;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;5;;73;399;31;4;0;1;29;106;62;233;4;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;5;;74;388;21;0;4;1;34;84;82;226;2;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;5;;75;377;39;5;2;0;33;86;49;214;1;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;5;;76;399;26;2;3;0;42;77;56;206;1;
