Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Brunelle Claude P.M.L.Q.;Campeau Richard C.A.Q.-É.F.L.;Girard Vincent P.L.Q./Q.L.P.;Hassell-Crépeau Marieke P.V.Q./G.P.Q.;Kotto Maka P.Q.;Lessard Marlène Q.S.;Roy Dany C.P.Q.;B.V.;B.R.
370;Bourget;2018-10-01;G;Montréal, v;348;;53;423;0;50;23;3;50;45;0;171;0
370;Bourget;2018-10-01;G;Montréal, v;349;;54;374;0;69;31;3;58;44;2;207;0
370;Bourget;2018-10-01;G;Montréal, v;349;;55;359;0;58;35;3;56;48;2;202;5
370;Bourget;2018-10-01;G;Montréal, v;349;;56;368;1;45;33;2;71;71;0;223;5
370;Bourget;2018-10-01;G;Montréal, v;349;;57;376;0;62;22;1;52;73;2;212;4
370;Bourget;2018-10-01;G;Montréal, v;349;;58;368;0;50;22;3;70;65;4;214;1
370;Bourget;2018-10-01;G;Montréal, v;350;;59;371;0;53;33;7;75;48;2;218;3
370;Bourget;2018-10-01;G;Montréal, v;350;;60;370;0;51;36;4;42;37;0;170;1
370;Bourget;2018-10-01;G;Montréal, v;350;;61;374;1;55;36;1;55;50;0;198;0
370;Bourget;2018-10-01;G;Montréal, v;350;;62;366;0;43;29;1;45;46;2;166;3
370;Bourget;2018-10-01;G;Montréal, v;350;;63;365;0;60;23;10;47;49;1;190;3
370;Bourget;2018-10-01;G;Montréal, v;351;;64;350;0;48;24;5;39;31;0;147;3
370;Bourget;2018-10-01;G;Montréal, v;351;;65;348;0;52;15;2;67;47;0;183;2
370;Bourget;2018-10-01;G;Montréal, v;351;;66;360;1;40;12;3;50;51;0;157;3
370;Bourget;2018-10-01;G;Montréal, v;351;;67;347;0;32;11;3;33;25;6;110;3
370;Bourget;2018-10-01;G;Montréal, v;351;;68;356;1;35;25;5;44;45;1;156;2
370;Bourget;2018-10-01;G;Montréal, v;351;;69;366;0;40;27;5;30;37;0;139;3
370;Bourget;2018-10-01;G;Montréal, v;352;;70;388;0;36;24;8;62;70;3;203;2
370;Bourget;2018-10-01;G;Montréal, v;352;;71;393;0;43;19;4;61;66;1;194;0
370;Bourget;2018-10-01;G;Montréal, v;352;;72;365;0;63;16;6;67;50;2;204;1
370;Bourget;2018-10-01;G;Montréal, v;352;;73;377;2;50;24;4;48;59;0;187;2
370;Bourget;2018-10-01;G;Montréal, v;352;;74;374;0;67;12;9;58;60;0;206;0
370;Bourget;2018-10-01;G;Montréal, v;353;;75;410;1;65;18;4;58;46;1;193;6
370;Bourget;2018-10-01;G;Montréal, v;353;;76;402;1;61;22;6;46;40;4;180;7
370;Bourget;2018-10-01;G;Montréal, v;353;;77;402;0;57;35;8;69;58;2;229;5
370;Bourget;2018-10-01;G;Montréal, v;353;;78;404;0;50;26;5;62;52;3;198;6
