Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blouin Daniel Q.S.;Caron Alexandre P.V.Q./G.P.Q.;Chouinard Normand P.M.L.Q.;Desmarais Alain P.C.Q./C.P.Q.;Dubé Christian C.A.Q.-É.F.L.;Lepage Cathy P.Q.;Merlini Richard P.L.Q./Q.L.P.;Minato Liana P51;Tall Boukare N.P.D.Q.;B.V.;B.R.;
232;La Prairie;2018-10-01;G;Candiac, v;3;;87;386;13;2;0;3;93;9;81;0;0;201;6;
232;La Prairie;2018-10-01;G;Saint-Philippe, v;1;;88;397;47;5;0;6;78;46;22;1;1;206;7;
232;La Prairie;2018-10-01;G;Saint-Philippe, v;1;;89;387;26;3;0;4;98;32;31;1;3;198;5;
232;La Prairie;2018-10-01;G;Saint-Philippe, v;1;;90;404;41;4;0;5;90;35;14;1;0;190;2;
232;La Prairie;2018-10-01;G;Saint-Philippe, v;1;;91;386;23;3;2;7;107;35;20;1;2;200;5;
232;La Prairie;2018-10-01;G;Saint-Philippe, v;1;;92;398;35;2;0;0;97;42;27;0;1;204;4;
232;La Prairie;2018-10-01;G;Saint-Philippe, v;1;;93A;201;21;4;1;0;34;32;8;0;1;101;0;
232;La Prairie;2018-10-01;G;Saint-Philippe, v;1;;93B;226;15;4;0;3;60;19;14;0;0;115;3;
232;La Prairie;2018-10-01;G;Saint-Philippe, v;1;;94;388;42;3;0;4;111;45;18;2;0;225;3;
232;La Prairie;2018-10-01;G;Saint-Philippe, v;1;;95;396;18;1;0;1;121;43;44;0;2;230;4;
232;La Prairie;2018-10-01;G;Saint-Philippe, v;1;;96;387;25;2;0;2;107;46;17;0;1;200;9;
232;La Prairie;2018-10-01;G;Saint-Philippe, v;1;;97;394;21;6;1;3;64;39;34;0;1;169;5;
232;La Prairie;2018-10-01;G;Saint-Philippe, v;1;;98;386;29;6;2;3;97;37;19;1;0;194;1;
