Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dupuis Sébastien C.P.Q.;Hivon Véronique P.Q.;Imbeault Emilie P.L.Q./Q.L.P.;Sicard Judith Q.S.;St-Jean Étienne P.V.Q./G.P.Q.;St-Louis François C.A.Q.-É.F.L.;B.V.;B.R.;
570;Joliette;2018-10-01;G;Saint-Charles-Borromée, m;1;;47;388;0;102;10;24;2;75;213;3;
570;Joliette;2018-10-01;G;Saint-Charles-Borromée, m;1;;48;388;0;98;8;20;2;63;191;2;
570;Joliette;2018-10-01;G;Saint-Charles-Borromée, m;1;;49;394;3;103;10;16;0;86;218;2;
570;Joliette;2018-10-01;G;Saint-Charles-Borromée, m;1;;50;388;0;95;13;17;6;68;199;2;
570;Joliette;2018-10-01;G;Saint-Charles-Borromée, m;1;;51;405;3;56;5;22;4;53;143;2;
570;Joliette;2018-10-01;G;Saint-Charles-Borromée, m;1;;52;394;1;105;12;11;4;89;222;2;
570;Joliette;2018-10-01;G;Saint-Charles-Borromée, m;2;;53;374;1;118;10;16;3;54;202;3;
570;Joliette;2018-10-01;G;Saint-Charles-Borromée, m;2;;54;370;3;95;5;17;6;65;191;2;
570;Joliette;2018-10-01;G;Saint-Charles-Borromée, m;2;;55;361;0;84;12;19;2;60;177;2;
570;Joliette;2018-10-01;G;Saint-Charles-Borromée, m;2;;56;349;0;87;10;18;1;50;166;0;
570;Joliette;2018-10-01;G;Saint-Charles-Borromée, m;2;;57;372;2;85;8;16;4;81;196;3;
570;Joliette;2018-10-01;G;Saint-Charles-Borromée, m;2;;58;381;0;88;10;16;1;57;172;0;
570;Joliette;2018-10-01;G;Saint-Charles-Borromée, m;2;;59;356;1;65;10;19;3;65;163;1;
570;Joliette;2018-10-01;G;Saint-Charles-Borromée, m;3;;60;382;1;82;8;22;4;55;172;3;
570;Joliette;2018-10-01;G;Saint-Charles-Borromée, m;3;;61;389;0;66;14;14;2;58;154;3;
570;Joliette;2018-10-01;G;Saint-Charles-Borromée, m;3;;62;377;0;65;6;17;7;66;161;4;
570;Joliette;2018-10-01;G;Saint-Charles-Borromée, m;3;;63;360;0;78;8;16;0;64;166;0;
570;Joliette;2018-10-01;G;Saint-Charles-Borromée, m;3;;64;387;3;103;7;24;1;49;187;3;
570;Joliette;2018-10-01;G;Saint-Charles-Borromée, m;3;;65;368;3;75;12;18;2;65;175;4;
570;Joliette;2018-10-01;G;Saint-Charles-Borromée, m;4;;66;341;2;109;17;12;3;53;196;2;
570;Joliette;2018-10-01;G;Saint-Charles-Borromée, m;4;;67;370;0;57;11;17;2;42;129;1;
570;Joliette;2018-10-01;G;Saint-Charles-Borromée, m;4;;68;337;4;73;9;13;5;46;150;3;
570;Joliette;2018-10-01;G;Saint-Charles-Borromée, m;4;;69;348;1;35;17;8;2;27;90;3;
570;Joliette;2018-10-01;G;Saint-Pierre, vl;1;;70;239;2;50;13;13;2;51;131;4;
570;Joliette;2018-10-01;G;Joliette, v;1;;71;408;2;102;5;26;2;67;204;4;
570;Joliette;2018-10-01;G;Joliette, v;1;;72;402;3;89;21;18;1;50;182;5;
570;Joliette;2018-10-01;G;Joliette, v;1;;73;405;1;93;12;24;2;70;202;3;
570;Joliette;2018-10-01;G;Joliette, v;1;;74A;223;1;38;6;13;2;29;89;5;
570;Joliette;2018-10-01;G;Joliette, v;1;Regr. BVDS-1;74B;203;0;0;0;0;0;0;0;0;
570;Joliette;2018-10-01;G;Joliette, v;1;;75;407;0;77;14;15;3;82;191;3;
570;Joliette;2018-10-01;G;Joliette, v;1;;76;413;0;103;19;14;3;57;196;4;
570;Joliette;2018-10-01;G;Joliette, v;1;;77;412;0;96;18;25;2;46;187;5;
570;Joliette;2018-10-01;G;Joliette, v;2;;78;353;0;64;7;19;4;32;126;7;
570;Joliette;2018-10-01;G;Joliette, v;2;;79;371;0;81;13;16;3;40;153;2;
570;Joliette;2018-10-01;G;Joliette, v;2;;80;350;0;81;15;16;3;35;150;4;
570;Joliette;2018-10-01;G;Joliette, v;2;;81;344;0;67;8;12;2;33;122;1;
570;Joliette;2018-10-01;G;Joliette, v;3;;82;338;0;49;7;20;1;28;105;1;
570;Joliette;2018-10-01;G;Joliette, v;3;;83;354;0;57;6;22;4;35;124;2;
570;Joliette;2018-10-01;G;Joliette, v;3;;84;347;2;73;4;20;2;18;119;6;
570;Joliette;2018-10-01;G;Joliette, v;3;;85;365;0;47;6;21;2;25;101;0;
570;Joliette;2018-10-01;G;Joliette, v;3;;86;344;0;35;5;12;2;19;73;1;
570;Joliette;2018-10-01;G;Joliette, v;3;;87;351;0;56;8;26;3;38;131;1;
570;Joliette;2018-10-01;G;Joliette, v;4;;88;394;1;82;3;27;5;34;152;6;
570;Joliette;2018-10-01;G;Joliette, v;4;;89;366;2;64;6;20;1;35;128;2;
570;Joliette;2018-10-01;G;Joliette, v;4;;90;350;1;57;7;16;7;26;114;6;
570;Joliette;2018-10-01;G;Joliette, v;4;;91;380;1;81;7;13;1;46;149;3;
570;Joliette;2018-10-01;G;Joliette, v;4;;92;364;1;58;12;7;3;40;121;2;
570;Joliette;2018-10-01;G;Joliette, v;5;;93;372;1;84;10;34;5;47;181;2;
570;Joliette;2018-10-01;G;Joliette, v;5;;94;366;1;48;5;27;4;65;150;1;
570;Joliette;2018-10-01;G;Joliette, v;5;;95;362;3;83;16;17;5;45;169;2;
570;Joliette;2018-10-01;G;Joliette, v;5;;96;359;2;74;5;29;2;65;177;2;
570;Joliette;2018-10-01;G;Joliette, v;5;;97;363;1;92;9;12;0;87;201;3;
570;Joliette;2018-10-01;G;Joliette, v;5;;98;368;0;108;6;15;2;72;203;3;
570;Joliette;2018-10-01;G;Joliette, v;5;;99;373;2;93;7;23;0;83;208;5;
570;Joliette;2018-10-01;G;Joliette, v;5;;100;389;0;79;5;24;2;90;200;1;
570;Joliette;2018-10-01;G;Joliette, v;5;;101;387;3;71;8;19;3;84;188;0;
570;Joliette;2018-10-01;G;Joliette, v;5;;102;361;1;83;4;21;1;67;177;5;
570;Joliette;2018-10-01;G;Joliette, v;5;;103;373;0;108;12;12;4;66;202;2;
570;Joliette;2018-10-01;G;Joliette, v;6;;104;313;1;101;6;14;4;61;187;3;
570;Joliette;2018-10-01;G;Joliette, v;6;;105;306;1;71;15;18;1;59;165;6;
570;Joliette;2018-10-01;G;Joliette, v;6;;106;330;3;76;13;29;3;51;175;2;
570;Joliette;2018-10-01;G;Joliette, v;6;;107;289;4;63;12;22;1;35;137;0;
570;Joliette;2018-10-01;G;Joliette, v;7;;108;354;6;76;7;11;2;38;140;7;
