Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bouchard Andréanne N.P.D.Q.;Chiasson Albert C.P.Q.;Crossan Jessica Q.S.;Foster Émilie C.A.Q.-É.F.L.;Leclerc Nathalie P.Q.;Simard Caroline P.L.Q./Q.L.P.;B.V.;B.R.;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;BVA13: SV no 69 à 73;;;;0;1;0;3;46;27;23;100;1;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;BVA14: SV no 74 à 78;;;;0;1;1;8;72;25;67;174;1;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;BVA15: SV no 79 à 83;;;;0;1;3;10;85;32;40;171;1;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;BVA16: SV no 84 à 89;;;;0;4;1;28;112;37;86;268;3;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;BVA17: SV no 90 à 95;;;;0;2;1;14;104;18;81;220;3;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;BVA18: SV no 96 à 102;;;;0;0;3;12;65;23;40;143;3;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;BVA19: SV no 103 à 109;;;;0;5;2;22;74;43;59;205;8;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;BVA20: SV no 110 à 115, 508;;;;0;2;2;23;142;42;59;270;1;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;BVA21: SV no 116 à 119;;;;0;2;0;24;118;25;60;229;0;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;BVA22: SV no 120 à 123;;;;0;2;1;31;116;43;61;254;5;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;BVA23: SV no 124 à 127;;;;0;1;0;11;132;32;54;230;7;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;BVA24: SV no 128 à 132;;;;0;3;3;27;108;33;81;255;3;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;BVA25: SV no 133 à 138;;;;0;3;1;20;59;53;46;182;1;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;BVA26: SV no 139 à 144;;;;0;5;1;32;106;84;84;312;3;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Vote en installation d'hébergement;;;;0;11;11;23;94;40;183;362;8;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Vote itinérant et au domicile de l'électeur;;;;0;3;2;8;31;26;68;138;2;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Vote au bureau du directeur du scrutin;;;;0;24;12;336;1150;510;646;2678;30;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Vote hors circonscription;;;;0;2;5;173;95;61;54;390;11;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Vote hors Québec;;Regr. VHC-1;;26;0;0;0;0;0;0;0;0;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Vote des détenus;;Regr. VHC-1;;6;0;0;0;0;0;0;0;0;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Total de la circonscription;;;;51608;330;292;4472;15761;6012;7871;34738;605;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Majorité en faveur de Émilie Foster : 7890
