Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Charette Caroline Q.S.;Dury Jean B.P.;Grisé Farand Ludovic P.L.Q./Q.L.P.;Michelin Daniel P.Q.;Roy Lise N.P.D.Q.;Roy Nathalie C.A.Q.-É.F.L.;B.V.;B.R.;
252;Montarville;2018-10-01;G;Boucherville, v;10;;65;382;27;0;80;24;2;102;235;3;
252;Montarville;2018-10-01;G;Boucherville, v;10;;66;384;26;0;37;26;8;102;199;5;
252;Montarville;2018-10-01;G;Boucherville, v;10;;67;402;46;0;41;39;9;104;239;2;
252;Montarville;2018-10-01;G;Boucherville, v;10;;68;375;47;1;34;44;3;92;221;7;
252;Montarville;2018-10-01;G;Boucherville, v;10;;69;389;33;1;40;29;6;88;197;5;
252;Montarville;2018-10-01;G;Boucherville, v;11;;70;404;8;1;114;21;6;104;254;1;
252;Montarville;2018-10-01;G;Boucherville, v;11;;71;404;23;0;81;30;6;102;242;0;
252;Montarville;2018-10-01;G;Boucherville, v;11;;72;397;25;1;35;24;0;129;214;1;
252;Montarville;2018-10-01;G;Boucherville, v;11;;73;381;26;0;37;34;5;103;205;4;
252;Montarville;2018-10-01;G;Boucherville, v;11;;74A;225;24;0;31;10;4;59;128;4;
252;Montarville;2018-10-01;G;Boucherville, v;11;;74B;263;10;0;36;14;2;68;130;4;
252;Montarville;2018-10-01;G;Boucherville, v;11;;75;404;21;0;86;26;3;104;240;0;
252;Montarville;2018-10-01;G;Boucherville, v;11;;76;396;16;1;63;27;4;67;178;1;
252;Montarville;2018-10-01;G;Boucherville, v;11;;77;406;14;0;43;22;5;80;164;3;
252;Montarville;2018-10-01;G;Boucherville, v;11;;78A;408;7;1;61;8;0;45;122;0;
252;Montarville;2018-10-01;G;Boucherville, v;11;;78B;375;10;0;32;17;3;34;96;1;
252;Montarville;2018-10-01;G;Boucherville, v;11;;79;401;24;1;47;30;0;134;236;5;
252;Montarville;2018-10-01;G;Boucherville, v;11;;80;389;26;3;50;28;4;112;223;3;
252;Montarville;2018-10-01;G;Boucherville, v;11;;81;399;15;0;76;24;5;98;218;4;
252;Montarville;2018-10-01;G;Boucherville, v;11;;82;408;30;0;77;27;3;126;263;3;
252;Montarville;2018-10-01;G;Boucherville, v;11;;83;384;30;0;27;23;6;96;182;3;
252;Montarville;2018-10-01;G;Saint-Bruno-de-Montarville, v;1;;84;393;49;2;48;34;4;104;241;3;
252;Montarville;2018-10-01;G;Saint-Bruno-de-Montarville, v;1;;85;391;32;2;63;30;5;91;223;9;
252;Montarville;2018-10-01;G;Saint-Bruno-de-Montarville, v;1;;86;408;28;0;68;45;5;97;243;1;
252;Montarville;2018-10-01;G;Saint-Bruno-de-Montarville, v;1;;87;401;47;5;56;24;2;88;222;2;
252;Montarville;2018-10-01;G;Saint-Bruno-de-Montarville, v;1;;88;406;47;2;51;41;5;87;233;3;
252;Montarville;2018-10-01;G;Saint-Bruno-de-Montarville, v;2;;89;383;15;1;76;21;4;74;191;1;
252;Montarville;2018-10-01;G;Saint-Bruno-de-Montarville, v;2;;90;371;39;0;62;33;2;97;233;5;
252;Montarville;2018-10-01;G;Saint-Bruno-de-Montarville, v;2;;91;374;29;0;78;30;1;96;234;1;
252;Montarville;2018-10-01;G;Saint-Bruno-de-Montarville, v;2;;92;370;39;0;76;15;5;108;243;2;
252;Montarville;2018-10-01;G;Saint-Bruno-de-Montarville, v;2;;93;355;37;0;68;40;4;89;238;5;
252;Montarville;2018-10-01;G;Saint-Bruno-de-Montarville, v;2;;94;362;44;1;60;32;3;95;235;2;
252;Montarville;2018-10-01;G;Saint-Bruno-de-Montarville, v;2;;95;361;35;0;55;21;1;89;201;1;
252;Montarville;2018-10-01;G;Saint-Bruno-de-Montarville, v;2;;96;375;28;1;57;26;2;110;224;6;
252;Montarville;2018-10-01;G;Saint-Bruno-de-Montarville, v;3;;97;359;39;5;69;29;2;73;217;0;
252;Montarville;2018-10-01;G;Saint-Bruno-de-Montarville, v;3;;98;330;31;2;61;30;2;81;207;3;
252;Montarville;2018-10-01;G;Saint-Bruno-de-Montarville, v;3;;99;347;56;1;36;41;5;79;218;9;
252;Montarville;2018-10-01;G;Saint-Bruno-de-Montarville, v;3;;100;335;39;1;63;47;2;71;223;6;
252;Montarville;2018-10-01;G;Saint-Bruno-de-Montarville, v;3;;101;352;48;3;60;43;3;73;230;4;
252;Montarville;2018-10-01;G;Saint-Bruno-de-Montarville, v;3;;102;353;53;2;64;38;3;65;225;4;
252;Montarville;2018-10-01;G;Saint-Bruno-de-Montarville, v;4;;103;381;44;6;63;43;2;95;253;6;
252;Montarville;2018-10-01;G;Saint-Bruno-de-Montarville, v;4;;104;378;44;1;56;37;3;86;227;2;
252;Montarville;2018-10-01;G;Saint-Bruno-de-Montarville, v;4;;105;387;45;0;33;40;6;71;195;3;
252;Montarville;2018-10-01;G;Saint-Bruno-de-Montarville, v;4;;106;375;51;3;62;27;4;73;220;6;
252;Montarville;2018-10-01;G;Saint-Bruno-de-Montarville, v;4;;107;371;24;2;73;21;2;114;236;1;
252;Montarville;2018-10-01;G;Saint-Bruno-de-Montarville, v;4;;108;379;37;1;46;40;3;85;212;4;
252;Montarville;2018-10-01;G;Saint-Bruno-de-Montarville, v;4;;109;396;22;0;61;29;4;124;240;1;
252;Montarville;2018-10-01;G;Saint-Bruno-de-Montarville, v;4;;110;381;27;2;64;26;0;124;243;1;
252;Montarville;2018-10-01;G;Saint-Bruno-de-Montarville, v;4;;111;353;21;2;47;15;7;111;203;4;
252;Montarville;2018-10-01;G;Saint-Bruno-de-Montarville, v;4;;112;384;25;1;61;23;0;129;239;2;
252;Montarville;2018-10-01;G;Saint-Bruno-de-Montarville, v;4;;113;383;14;1;60;25;2;107;209;1;
252;Montarville;2018-10-01;G;Saint-Bruno-de-Montarville, v;5;;114A;224;12;2;30;23;3;44;114;1;
252;Montarville;2018-10-01;G;Saint-Bruno-de-Montarville, v;5;;114B;203;7;1;25;17;4;50;104;0;
252;Montarville;2018-10-01;G;Saint-Bruno-de-Montarville, v;5;;115;370;53;0;37;30;1;69;190;2;
252;Montarville;2018-10-01;G;Saint-Bruno-de-Montarville, v;5;;116;369;41;2;33;26;3;80;185;5;
252;Montarville;2018-10-01;G;Saint-Bruno-de-Montarville, v;5;;117;369;50;6;64;34;1;93;248;7;
252;Montarville;2018-10-01;G;Saint-Bruno-de-Montarville, v;5;;118;371;34;0;62;40;3;86;225;5;
252;Montarville;2018-10-01;G;Saint-Bruno-de-Montarville, v;5;;119;373;43;1;42;33;1;79;199;1;
252;Montarville;2018-10-01;G;Saint-Bruno-de-Montarville, v;5;;120;365;18;1;60;18;3;69;169;2;
252;Montarville;2018-10-01;G;Saint-Bruno-de-Montarville, v;5;;121;372;29;1;41;19;1;74;165;2;
