Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bélanger Gilles C.A.Q.-É.F.L.;Desmeules Stéphanie P.V.Q./G.P.Q.;Lalumière-Ting Annabelle Q.S.;Leclerc Maxime P.Q.;Madore Guy P.L.Q./Q.L.P.;Poulin Tommy C.P.Q.;Tremblay-Bonsens Joseph P.C.Q./C.P.Q.;B.V.;B.R.;
120;Orford;2018-10-01;G;Orford, ct;1;;32;363;66;10;39;23;21;5;3;167;2;
120;Orford;2018-10-01;G;Orford, ct;1;;33;361;66;10;56;25;26;0;4;187;5;
120;Orford;2018-10-01;G;Orford, ct;1;;34;361;85;4;32;26;19;0;2;168;4;
120;Orford;2018-10-01;G;Orford, ct;1;;35;365;83;4;42;24;35;1;0;189;1;
120;Orford;2018-10-01;G;Orford, ct;1;;36;372;82;3;19;8;33;1;0;146;1;
120;Orford;2018-10-01;G;Orford, ct;1;;37;374;92;12;56;38;34;2;0;234;1;
120;Orford;2018-10-01;G;Orford, ct;1;;38;375;91;5;61;11;32;1;2;203;1;
120;Orford;2018-10-01;G;Orford, ct;1;;39;344;69;7;35;32;35;1;1;180;0;
120;Orford;2018-10-01;G;Eastman, m;1;;40A;230;38;4;26;18;28;1;0;115;1;
120;Orford;2018-10-01;G;Eastman, m;1;;40B;224;58;2;29;22;21;0;0;132;2;
120;Orford;2018-10-01;G;Eastman, m;1;;41;408;65;10;51;42;29;0;1;198;2;
120;Orford;2018-10-01;G;Eastman, m;1;;42;415;73;9;38;32;36;3;1;192;2;
120;Orford;2018-10-01;G;Eastman, m;1;;43A;213;48;5;30;26;16;1;0;126;2;
120;Orford;2018-10-01;G;Eastman, m;1;;43B;213;44;7;17;16;29;0;2;115;1;
120;Orford;2018-10-01;G;Austin, m;1;;44;327;74;4;32;16;19;0;2;147;4;
120;Orford;2018-10-01;G;Austin, m;1;;45;319;53;1;31;20;21;1;0;127;0;
120;Orford;2018-10-01;G;Austin, m;1;;46;304;54;6;30;16;39;0;2;147;6;
120;Orford;2018-10-01;G;Austin, m;1;;47;331;43;7;20;17;76;0;3;166;1;
120;Orford;2018-10-01;G;Saint-Benoît-du-Lac, m;1;Regr. BVO-47;48;31;0;0;0;0;0;0;0;0;0;
120;Orford;2018-10-01;G;Magog, v;1;;49;365;81;10;29;23;40;3;1;187;3;
120;Orford;2018-10-01;G;Magog, v;1;;50;375;87;1;36;17;33;1;0;175;6;
120;Orford;2018-10-01;G;Magog, v;1;;51;348;82;1;42;11;41;0;0;177;1;
120;Orford;2018-10-01;G;Magog, v;1;;52;369;57;2;18;18;27;2;0;124;2;
120;Orford;2018-10-01;G;Magog, v;1;;53;370;61;8;37;24;57;1;0;188;4;
120;Orford;2018-10-01;G;Magog, v;1;;54;366;99;4;37;17;38;0;0;195;1;
120;Orford;2018-10-01;G;Magog, v;1;;55;354;76;3;39;16;35;2;2;173;7;
120;Orford;2018-10-01;G;Magog, v;1;;56;372;97;5;42;14;40;1;1;200;3;
120;Orford;2018-10-01;G;Magog, v;1;;57;380;99;6;31;18;40;1;2;197;4;
120;Orford;2018-10-01;G;Magog, v;1;;58;362;88;4;42;15;36;3;2;190;9;
120;Orford;2018-10-01;G;Magog, v;2;;59;410;99;6;46;19;25;2;3;200;7;
120;Orford;2018-10-01;G;Magog, v;2;;60;404;96;6;48;36;14;2;2;204;3;
120;Orford;2018-10-01;G;Magog, v;2;;61;409;96;3;51;32;28;2;0;212;4;
120;Orford;2018-10-01;G;Magog, v;2;;62;411;92;11;42;23;23;7;2;200;2;
120;Orford;2018-10-01;G;Magog, v;2;;63;408;109;8;20;18;32;0;1;188;1;
120;Orford;2018-10-01;G;Magog, v;3;;64;360;68;7;36;12;24;2;2;151;3;
120;Orford;2018-10-01;G;Magog, v;3;;65;360;64;3;28;30;20;2;1;148;5;
120;Orford;2018-10-01;G;Magog, v;3;;66;370;38;3;36;14;21;1;0;113;2;
120;Orford;2018-10-01;G;Magog, v;3;;67;361;34;4;31;15;27;1;3;115;2;
120;Orford;2018-10-01;G;Magog, v;3;;68;365;54;4;28;21;18;2;1;128;1;
120;Orford;2018-10-01;G;Magog, v;3;;69;363;72;8;36;15;21;2;1;155;4;
120;Orford;2018-10-01;G;Magog, v;3;;70;347;70;3;44;14;20;0;1;152;6;
120;Orford;2018-10-01;G;Magog, v;4;;71;396;82;1;26;9;31;0;2;151;1;
120;Orford;2018-10-01;G;Magog, v;4;;72;401;68;3;24;22;28;1;1;147;8;
120;Orford;2018-10-01;G;Magog, v;4;;73;386;105;1;38;19;34;2;0;199;3;
120;Orford;2018-10-01;G;Magog, v;4;;74;389;46;2;28;15;11;2;5;109;8;
120;Orford;2018-10-01;G;Magog, v;4;;75;384;65;4;26;26;31;0;2;154;3;
120;Orford;2018-10-01;G;Magog, v;4;;76;396;111;11;48;26;36;3;0;235;3;
120;Orford;2018-10-01;G;Magog, v;5;;77;351;86;0;29;15;32;1;2;165;3;
120;Orford;2018-10-01;G;Magog, v;5;;78;334;77;5;23;10;25;0;0;140;2;
120;Orford;2018-10-01;G;Magog, v;5;;79;329;72;10;36;14;18;2;1;153;2;
120;Orford;2018-10-01;G;Magog, v;5;;80;352;79;8;37;27;39;1;2;193;0;
120;Orford;2018-10-01;G;Magog, v;5;;81;347;80;4;36;12;34;2;2;170;4;
120;Orford;2018-10-01;G;Magog, v;5;;82;332;53;5;26;11;28;0;0;123;2;
120;Orford;2018-10-01;G;Magog, v;5;;83;330;59;3;38;23;32;0;0;155;0;
120;Orford;2018-10-01;G;Magog, v;5;;84;346;59;2;27;14;18;0;0;120;3;
120;Orford;2018-10-01;G;Magog, v;6;;85;373;70;3;21;19;47;2;0;162;0;
120;Orford;2018-10-01;G;Magog, v;6;;86;379;79;5;35;23;29;1;2;174;2;
120;Orford;2018-10-01;G;Magog, v;6;;87;377;84;13;31;25;59;0;2;214;0;
120;Orford;2018-10-01;G;Magog, v;6;;88;367;78;8;40;23;38;2;1;190;2;
120;Orford;2018-10-01;G;Magog, v;6;;89;400;62;10;35;21;31;1;1;161;2;
120;Orford;2018-10-01;G;Magog, v;6;;90;387;62;2;17;30;52;1;0;164;0;
120;Orford;2018-10-01;G;Magog, v;6;;91;373;63;2;20;32;57;2;1;177;0;
120;Orford;2018-10-01;G;Magog, v;6;;92;395;102;3;23;26;21;0;2;177;1;
120;Orford;2018-10-01;G;Magog, v;6;;93;390;91;4;38;16;36;0;6;191;2;
120;Orford;2018-10-01;G;Magog, v;6;;94;380;71;7;46;24;35;2;3;188;2;
120;Orford;2018-10-01;G;Magog, v;6;;95;406;81;6;44;24;27;3;3;188;2;
120;Orford;2018-10-01;G;Magog, v;6;;96;372;81;6;48;27;33;0;0;195;2;
120;Orford;2018-10-01;G;Magog, v;6;;97;409;105;5;46;32;32;1;1;222;3;
120;Orford;2018-10-01;G;Magog, v;6;;98;393;116;4;42;30;47;0;0;239;4;
120;Orford;2018-10-01;G;Magog, v;6;;99;386;60;7;43;15;21;6;2;154;4;
120;Orford;2018-10-01;G;Magog, v;7;;100;343;51;1;25;8;14;3;1;103;2;
120;Orford;2018-10-01;G;Magog, v;7;;101;340;58;5;32;13;14;3;4;129;1;
120;Orford;2018-10-01;G;Magog, v;7;;102;338;66;8;42;23;33;1;1;174;6;
120;Orford;2018-10-01;G;Magog, v;7;;103;345;77;5;50;23;30;1;0;186;3;
120;Orford;2018-10-01;G;Magog, v;7;;104;358;92;4;35;25;23;0;2;181;4;
120;Orford;2018-10-01;G;Magog, v;7;;105;340;100;2;41;19;31;2;1;196;1;
120;Orford;2018-10-01;G;Sainte-Catherine-de-Hatley, m;1;;106;346;65;4;33;31;50;0;1;184;3;
120;Orford;2018-10-01;G;Sainte-Catherine-de-Hatley, m;1;;107;356;62;11;32;27;41;0;4;177;3;
120;Orford;2018-10-01;G;Sainte-Catherine-de-Hatley, m;1;;108;357;82;6;42;28;23;1;5;187;6;
120;Orford;2018-10-01;G;Sainte-Catherine-de-Hatley, m;1;;109;338;89;11;28;28;20;2;2;180;2;
