Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Béchard Benoît P.Q.;Comeau Benoit Q.S.;Guay Simon B.P.;Lachance Stéphanie C.A.Q.-É.F.L.;Messner Dominique P.C.Q./C.P.Q.;Roy Sébastien A.P.Q.;Vien Dominique P.L.Q./Q.L.P.;B.V.;B.R.
822;Bellechasse;2018-10-01;G;Saint-Malachie, p;1;;32;401;26;20;0;124;13;2;49;234;3
822;Bellechasse;2018-10-01;G;Saint-Malachie, p;1;;33;373;26;21;2;98;12;0;57;216;3
822;Bellechasse;2018-10-01;G;Sainte-Claire, m;1;;34;386;26;18;2;110;8;0;48;212;3
822;Bellechasse;2018-10-01;G;Sainte-Claire, m;1;;35;369;18;11;1;105;14;0;57;206;2
822;Bellechasse;2018-10-01;G;Sainte-Claire, m;1;;36;369;22;9;1;56;6;0;69;163;5
822;Bellechasse;2018-10-01;G;Sainte-Claire, m;1;;37;418;27;13;1;127;4;0;83;255;3
822;Bellechasse;2018-10-01;G;Sainte-Claire, m;1;;38;382;29;9;0;119;7;2;76;242;4
822;Bellechasse;2018-10-01;G;Sainte-Claire, m;1;;39;360;27;10;4;91;12;0;44;188;4
822;Bellechasse;2018-10-01;G;Sainte-Claire, m;1;;40;361;24;13;1;122;8;1;58;227;5
822;Bellechasse;2018-10-01;G;Honfleur, m;1;;41;322;25;8;3;85;5;2;72;200;3
822;Bellechasse;2018-10-01;G;Honfleur, m;1;;42;302;13;6;0;92;5;0;80;196;2
822;Bellechasse;2018-10-01;G;Saint-Anselme, m;1;;43;393;10;9;2;133;5;0;72;231;3
822;Bellechasse;2018-10-01;G;Saint-Anselme, m;1;;44;389;24;5;0;156;3;0;67;255;2
822;Bellechasse;2018-10-01;G;Saint-Anselme, m;1;;45;377;14;0;15;96;7;1;56;189;1
822;Bellechasse;2018-10-01;G;Saint-Anselme, m;1;;46;376;12;9;0;106;0;0;51;178;5
822;Bellechasse;2018-10-01;G;Saint-Anselme, m;1;;47;408;23;8;0;139;10;0;74;254;3
822;Bellechasse;2018-10-01;G;Saint-Anselme, m;1;;48;357;11;12;0;113;5;1;68;210;5
822;Bellechasse;2018-10-01;G;Saint-Anselme, m;1;;49;375;20;8;1;142;6;1;55;233;3
822;Bellechasse;2018-10-01;G;Saint-Anselme, m;1;;50;364;10;7;1;93;6;1;84;202;3
822;Bellechasse;2018-10-01;G;Saint-Henri, m;1;;51;386;8;19;3;100;10;1;41;182;3
822;Bellechasse;2018-10-01;G;Saint-Henri, m;1;;52;372;8;17;1;120;2;1;43;192;6
822;Bellechasse;2018-10-01;G;Saint-Henri, m;1;;53;377;10;22;2;110;9;0;53;206;4
822;Bellechasse;2018-10-01;G;Saint-Henri, m;1;;54;382;5;18;3;97;13;0;42;178;4
822;Bellechasse;2018-10-01;G;Saint-Henri, m;1;;55;399;11;12;3;111;9;3;37;186;3
822;Bellechasse;2018-10-01;G;Saint-Henri, m;1;;56;382;13;8;2;96;6;0;55;180;2
822;Bellechasse;2018-10-01;G;Saint-Henri, m;1;;57;389;13;8;0;129;6;1;44;201;2
822;Bellechasse;2018-10-01;G;Saint-Henri, m;1;;58;389;17;25;1;113;6;3;38;203;4
822;Bellechasse;2018-10-01;G;Saint-Henri, m;1;;59;378;13;11;1;91;6;1;52;175;6
822;Bellechasse;2018-10-01;G;Saint-Henri, m;1;;60;394;11;18;2;127;5;0;31;194;4
822;Bellechasse;2018-10-01;G;Saint-Henri, m;1;;61;366;11;14;2;97;5;2;47;178;1
822;Bellechasse;2018-10-01;G;Saint-Charles-de-Bellechasse, m;1;;62;380;22;24;1;106;8;1;75;237;2
822;Bellechasse;2018-10-01;G;Saint-Charles-de-Bellechasse, m;1;;63;391;11;10;1;149;13;2;46;232;2
822;Bellechasse;2018-10-01;G;Saint-Charles-de-Bellechasse, m;1;;64;369;11;27;2;106;7;0;57;210;8
822;Bellechasse;2018-10-01;G;Saint-Charles-de-Bellechasse, m;1;;65;351;8;16;0;120;7;1;62;214;3
822;Bellechasse;2018-10-01;G;Saint-Charles-de-Bellechasse, m;1;;66;369;13;30;1;116;4;1;45;210;10
822;Bellechasse;2018-10-01;G;Saint-Gervais, m;1;;67;421;15;16;2;119;7;1;70;230;2
822;Bellechasse;2018-10-01;G;Saint-Gervais, m;1;;68;401;10;19;3;128;2;0;91;253;7
822;Bellechasse;2018-10-01;G;Saint-Gervais, m;1;;69;416;12;5;2;138;9;0;89;255;4
822;Bellechasse;2018-10-01;G;Saint-Gervais, m;1;;70;410;9;16;2;142;6;0;57;232;10
822;Bellechasse;2018-10-01;G;Saint-Lazare-de-Bellechasse, m;1;;71;332;25;16;1;107;7;0;67;223;4
822;Bellechasse;2018-10-01;G;Saint-Lazare-de-Bellechasse, m;1;;72;344;26;11;0;142;8;0;66;253;4
822;Bellechasse;2018-10-01;G;Saint-Lazare-de-Bellechasse, m;1;;73;301;18;12;0;72;6;2;71;181;2
822;Bellechasse;2018-10-01;G;Saint-Damien-de-Buckland, p;1;;74;382;11;9;3;133;4;0;48;208;4
822;Bellechasse;2018-10-01;G;Saint-Damien-de-Buckland, p;1;;75;373;11;7;0;76;3;0;46;143;3
822;Bellechasse;2018-10-01;G;Saint-Damien-de-Buckland, p;1;;76;372;10;9;3;106;2;0;47;177;1
822;Bellechasse;2018-10-01;G;Saint-Damien-de-Buckland, p;1;;77;374;9;7;2;129;1;2;59;209;3
822;Bellechasse;2018-10-01;G;Armagh, m;1;;78;389;18;22;2;125;12;1;58;238;1
822;Bellechasse;2018-10-01;G;Armagh, m;1;;79;381;14;16;2;121;6;3;77;239;5
822;Bellechasse;2018-10-01;G;Armagh, m;1;;80;391;12;26;1;144;8;0;47;238;4
822;Bellechasse;2018-10-01;G;Saint-Nérée-de-Bellechasse, m;1;;81;290;17;9;2;93;5;0;54;180;2
