Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Côté-Rouleau Marie-Maud P.V.Q./G.P.Q.;Fortin Luc P.L.Q./Q.L.P.;Labrie Christine Q.S.;Lainé Luc Ind;Lebrasseur Éric C.P.Q.;Louis-Jean Mona N.P.D.Q.;Richard Sara P.N.;Rousseau Guillaume P.Q.;Roy Jossy B.P.;Tétreault Patrick Ind;Vachon Bruno C.A.Q.-É.F.L.;B.V.;B.R.;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;20;;88;368;0;26;84;0;0;1;2;31;1;31;38;214;3;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;21;;89;424;2;20;73;1;2;1;0;24;2;1;29;155;1;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;21;;90;409;0;40;49;0;2;1;3;26;1;0;56;178;3;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;21;;91;407;1;27;63;0;1;3;1;15;0;0;42;153;3;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;21;;92;402;6;34;75;1;2;1;1;27;1;0;40;188;2;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;21;;93;413;6;16;58;0;0;1;3;12;2;0;32;130;3;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;21;;94;423;3;39;56;1;1;2;0;24;0;0;34;160;6;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;21;;95;410;4;24;73;1;2;0;0;22;1;1;43;171;2;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;22;;96;424;1;19;83;1;2;1;1;26;0;0;21;155;0;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;22;;97;383;2;17;80;0;1;0;0;14;0;0;25;139;1;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;22;;98;413;3;35;88;1;0;0;1;25;1;0;40;194;3;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;22;;99;413;5;23;81;1;6;0;2;16;0;0;25;159;3;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;22;;100;424;4;22;84;3;0;1;0;25;1;1;47;188;3;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;23;;101;383;8;50;82;0;3;1;1;26;0;0;29;200;3;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;23;;102;375;1;18;63;0;2;1;2;29;2;0;42;160;0;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;23;;103;395;4;28;71;1;0;0;0;19;0;0;29;152;1;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;23;;104;383;2;24;46;0;4;2;2;15;1;0;34;130;3;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;23;;105;368;0;24;54;0;5;2;0;10;2;0;27;124;3;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;24;;106;390;5;50;67;0;1;0;2;17;2;0;58;202;3;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;24;;107;409;7;47;78;0;0;1;1;28;0;0;46;208;4;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;24;;108;381;3;53;66;1;1;0;0;37;0;0;57;218;2;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;24;;109;379;4;41;56;2;0;2;3;21;2;2;42;175;4;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;24;;110A;199;0;10;33;1;2;0;1;16;0;0;20;83;1;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;24;;110B;227;0;18;48;0;1;0;2;17;0;0;43;129;2;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;24;;111;384;2;53;67;1;2;1;0;43;1;1;67;238;2;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;24;;112;378;9;52;50;1;0;0;1;25;0;0;54;192;3;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;24;;113A;233;0;35;35;0;0;0;0;19;0;0;36;125;0;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;24;;113B;193;0;21;41;0;0;1;0;10;0;0;32;105;0;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;25;;114A;298;2;13;28;0;0;0;0;4;0;0;13;60;2;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;25;;114B;153;0;16;23;0;1;1;1;7;1;0;7;57;0;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;25;;115;421;4;35;85;5;1;1;1;21;0;0;36;189;4;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;25;;116;399;5;49;56;3;1;1;1;38;1;0;50;205;15;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;25;;117;414;3;56;56;0;2;0;4;45;0;1;59;226;2;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;25;;118;408;0;62;77;0;0;0;0;43;0;0;67;249;6;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;25;;119;405;3;66;75;2;2;1;0;27;1;0;68;245;9;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;26;;120;378;4;36;67;0;0;1;2;32;0;1;68;211;1;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;26;;121;405;5;50;92;0;0;0;1;36;0;0;64;248;1;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;26;;122;383;2;44;84;1;0;3;1;35;1;0;74;245;0;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;26;;123;404;5;51;63;1;0;0;0;38;0;0;66;224;3;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;26;;124;383;1;32;87;0;2;0;1;35;1;0;92;251;4;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;26;;125;390;3;34;64;0;1;0;3;42;0;0;53;200;4;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;26;;126;387;3;34;59;1;0;0;3;28;0;0;84;212;5;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;7;Regr. BVO-12;500;248;0;0;0;0;0;0;0;0;0;0;0;0;0;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;8;Regr. BVO-13;501;108;0;0;0;0;0;0;0;0;0;0;0;0;0;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;8;Regr. BVO-13;502;156;0;0;0;0;0;0;0;0;0;0;0;0;0;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;8;Regr. BVO-14;503;229;0;0;0;0;0;0;0;0;0;0;0;0;0;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;9;Regr. BVO-28;504;35;0;0;0;0;0;0;0;0;0;0;0;0;0;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;12;Regr. BVO-43A;505;35;0;0;0;0;0;0;0;0;0;0;0;0;0;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;12;Regr. BVO-43A;506;165;0;0;0;0;0;0;0;0;0;0;0;0;0;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;13;Regr. BVO-46;507;142;0;0;0;0;0;0;0;0;0;0;0;0;0;
