Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Albert Alexandre Q.S.;Carrière Marc P.L.Q./Q.L.P.;Ippersiel Blake P.Q.;Lévesque Mathieu C.A.Q.-É.F.L.;Roy Françoise P.M.L.Q.;Tanguay Rowen P.C.Q./C.P.Q.;B.V.;B.R.
620;Chapleau;2018-10-01;G;Gatineau, v;34;;50;410;25;53;17;71;0;3;169;2
620;Chapleau;2018-10-01;G;Gatineau, v;35;;51;399;30;65;18;66;2;2;183;2
620;Chapleau;2018-10-01;G;Gatineau, v;35;;52;381;22;60;11;64;0;3;160;1
620;Chapleau;2018-10-01;G;Gatineau, v;35;;53;370;17;115;10;55;1;2;200;2
620;Chapleau;2018-10-01;G;Gatineau, v;35;;54;360;19;56;14;68;0;1;158;4
620;Chapleau;2018-10-01;G;Gatineau, v;35;;55;368;40;65;22;87;2;7;223;2
620;Chapleau;2018-10-01;G;Gatineau, v;35;;56;378;21;57;16;66;0;4;164;1
620;Chapleau;2018-10-01;G;Gatineau, v;35;;57;369;26;53;12;76;0;0;167;0
620;Chapleau;2018-10-01;G;Gatineau, v;35;;58;364;38;78;19;78;2;2;217;7
620;Chapleau;2018-10-01;G;Gatineau, v;35;;59;394;28;60;9;55;0;1;153;5
620;Chapleau;2018-10-01;G;Gatineau, v;35;;60;383;17;33;5;38;1;1;95;3
620;Chapleau;2018-10-01;G;Gatineau, v;35;;61;359;20;54;14;64;0;2;154;3
620;Chapleau;2018-10-01;G;Gatineau, v;35;;62;389;14;106;20;72;1;0;213;3
620;Chapleau;2018-10-01;G;Gatineau, v;36;;63;382;15;78;15;74;1;2;185;0
620;Chapleau;2018-10-01;G;Gatineau, v;36;;64;402;20;55;6;64;1;3;149;2
620;Chapleau;2018-10-01;G;Gatineau, v;36;;65;383;21;26;11;60;0;1;119;2
620;Chapleau;2018-10-01;G;Gatineau, v;36;;66;357;26;67;14;65;0;2;174;1
620;Chapleau;2018-10-01;G;Gatineau, v;36;;67;389;30;42;15;50;0;0;137;6
620;Chapleau;2018-10-01;G;Gatineau, v;36;;68;352;29;31;12;35;1;1;109;0
620;Chapleau;2018-10-01;G;Gatineau, v;36;;69;364;29;65;10;52;0;6;162;4
620;Chapleau;2018-10-01;G;Gatineau, v;36;;70;395;30;58;8;53;0;4;153;4
620;Chapleau;2018-10-01;G;Gatineau, v;36;;71;380;22;56;13;44;1;2;138;8
620;Chapleau;2018-10-01;G;Gatineau, v;36;;72;369;28;50;13;61;1;4;157;1
620;Chapleau;2018-10-01;G;Gatineau, v;37;;73;386;33;49;14;46;1;1;144;5
620;Chapleau;2018-10-01;G;Gatineau, v;37;;74;348;14;38;1;30;1;0;84;2
620;Chapleau;2018-10-01;G;Gatineau, v;37;;75;362;25;34;12;41;1;0;113;1
620;Chapleau;2018-10-01;G;Gatineau, v;37;;76;363;22;27;10;56;1;3;119;1
620;Chapleau;2018-10-01;G;Gatineau, v;37;;77;332;23;40;13;40;0;2;118;0
620;Chapleau;2018-10-01;G;Gatineau, v;37;;78;378;21;44;13;57;2;1;138;1
620;Chapleau;2018-10-01;G;Gatineau, v;37;;79;363;19;55;10;63;2;2;151;3
620;Chapleau;2018-10-01;G;Gatineau, v;37;;80;385;23;32;4;46;0;1;106;7
620;Chapleau;2018-10-01;G;Gatineau, v;37;;81;368;17;44;12;38;1;3;115;1
620;Chapleau;2018-10-01;G;Gatineau, v;38;;82;365;26;35;16;62;1;4;144;7
620;Chapleau;2018-10-01;G;Gatineau, v;38;;83;374;23;38;12;61;3;6;143;2
620;Chapleau;2018-10-01;G;Gatineau, v;38;;84;363;23;52;7;83;1;5;171;1
620;Chapleau;2018-10-01;G;Gatineau, v;38;;85;357;36;48;9;37;1;4;135;0
620;Chapleau;2018-10-01;G;Gatineau, v;39;;86;403;27;16;14;60;0;0;117;2
620;Chapleau;2018-10-01;G;Gatineau, v;39;;87;369;19;31;6;51;1;3;111;4
620;Chapleau;2018-10-01;G;Gatineau, v;39;;88;394;22;25;15;54;1;1;118;3
620;Chapleau;2018-10-01;G;Gatineau, v;39;;89;397;22;30;18;44;1;3;118;3
620;Chapleau;2018-10-01;G;Gatineau, v;40;;90;335;27;30;18;41;0;5;121;2
620;Chapleau;2018-10-01;G;Gatineau, v;40;;91;327;20;22;13;45;0;4;104;1
620;Chapleau;2018-10-01;G;Gatineau, v;40;;92;343;17;24;15;64;1;1;122;4
620;Chapleau;2018-10-01;G;Gatineau, v;40;;93;375;23;27;11;54;0;3;118;3
620;Chapleau;2018-10-01;G;Gatineau, v;41;;94;355;36;53;8;65;2;4;168;6
620;Chapleau;2018-10-01;G;Gatineau, v;41;;95;363;29;52;18;50;2;1;152;2
620;Chapleau;2018-10-01;G;Gatineau, v;41;;96;338;19;58;6;59;1;4;147;4
620;Chapleau;2018-10-01;G;Gatineau, v;41;;97;353;20;37;8;54;2;4;125;2
620;Chapleau;2018-10-01;G;Gatineau, v;41;;98;362;18;41;14;55;1;5;134;7
620;Chapleau;2018-10-01;G;Gatineau, v;41;;99;360;23;56;20;85;1;2;187;7
620;Chapleau;2018-10-01;G;Gatineau, v;42;;100;368;37;45;11;71;1;4;169;2
620;Chapleau;2018-10-01;G;Gatineau, v;42;;101;385;15;43;15;103;1;5;182;1
620;Chapleau;2018-10-01;G;Gatineau, v;42;;102;372;37;39;23;66;0;3;168;7
620;Chapleau;2018-10-01;G;Gatineau, v;42;;103;375;52;58;12;82;0;5;209;5
620;Chapleau;2018-10-01;G;Gatineau, v;42;;104;358;41;43;26;69;3;2;184;3
620;Chapleau;2018-10-01;G;Gatineau, v;42;;105;379;24;68;11;71;1;1;176;1
620;Chapleau;2018-10-01;G;Gatineau, v;43;;106;375;29;43;19;81;2;5;179;2
620;Chapleau;2018-10-01;G;Gatineau, v;43;;107;389;24;91;22;68;1;2;208;7
620;Chapleau;2018-10-01;G;Gatineau, v;43;;108;373;34;59;19;71;1;5;189;2
620;Chapleau;2018-10-01;G;Gatineau, v;43;;109;373;30;49;8;67;1;2;157;3
620;Chapleau;2018-10-01;G;Gatineau, v;43;;110;355;29;41;16;77;2;3;168;1
620;Chapleau;2018-10-01;G;Gatineau, v;43;;111;378;28;45;13;65;0;1;152;3
620;Chapleau;2018-10-01;G;Gatineau, v;43;;112;370;26;73;11;66;1;4;181;4
620;Chapleau;2018-10-01;G;Gatineau, v;44;;113;359;47;87;27;73;0;1;235;4
620;Chapleau;2018-10-01;G;Gatineau, v;44;;114;381;23;72;20;108;0;1;224;4
620;Chapleau;2018-10-01;G;Gatineau, v;44;;115;361;35;75;20;92;0;0;222;5
620;Chapleau;2018-10-01;G;Gatineau, v;44;;116;394;35;63;22;65;1;3;189;4
620;Chapleau;2018-10-01;G;Gatineau, v;44;;117;369;36;45;14;71;1;8;175;5
620;Chapleau;2018-10-01;G;Gatineau, v;44;;118;380;36;54;19;77;2;5;193;6
620;Chapleau;2018-10-01;G;Gatineau, v;44;;119;375;42;65;15;79;0;1;202;6
620;Chapleau;2018-10-01;G;Gatineau, v;45;;120;391;31;53;13;76;1;1;175;5
620;Chapleau;2018-10-01;G;Gatineau, v;45;;121;374;26;35;13;92;0;5;171;4
620;Chapleau;2018-10-01;G;Gatineau, v;45;;122;369;52;37;18;71;0;1;179;1
620;Chapleau;2018-10-01;G;Gatineau, v;45;;123;386;27;34;26;68;1;1;157;2
620;Chapleau;2018-10-01;G;Gatineau, v;45;;124;392;34;37;24;64;0;4;163;3
620;Chapleau;2018-10-01;G;Gatineau, v;45;;125;410;26;30;15;63;0;6;140;1
620;Chapleau;2018-10-01;G;Gatineau, v;45;;126;383;27;49;17;61;1;0;155;0
620;Chapleau;2018-10-01;G;Gatineau, v;45;;127;385;33;42;13;60;2;0;150;2
