Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Champigny-Fortier William Q.S.;Daigle Jacques P.Q.;Guay Gaudreault Lisette P.C.Q./C.P.Q.;Landry Jean A.P.Q.;Lefebvre Éric C.A.Q.-É.F.L.;Pelland Jean-Charles P.V.Q./G.P.Q.;Poirier Pierre P.L.Q./Q.L.P.;B.V.;B.R.
144;Arthabaska;2018-10-01;G;Saint-Norbert-d'Arthabaska, m;1;;151;311;23;13;2;0;117;4;13;172;1
144;Arthabaska;2018-10-01;G;Saint-Christophe-d'Arthabaska, p;1;;152;383;30;39;8;0;109;3;17;206;2
144;Arthabaska;2018-10-01;G;Saint-Christophe-d'Arthabaska, p;1;;153;383;33;20;4;4;109;6;17;193;4
144;Arthabaska;2018-10-01;G;Saint-Christophe-d'Arthabaska, p;1;;154;391;30;15;7;0;168;1;12;233;3
144;Arthabaska;2018-10-01;G;Saint-Christophe-d'Arthabaska, p;1;;155;392;19;13;2;4;142;4;15;199;3
144;Arthabaska;2018-10-01;G;Saint-Christophe-d'Arthabaska, p;1;;156;383;36;17;4;1;162;7;19;246;2
144;Arthabaska;2018-10-01;G;Saint-Christophe-d'Arthabaska, p;1;;157;391;33;21;3;1;156;2;13;229;2
144;Arthabaska;2018-10-01;G;Victoriaville, v;3;Regr. BVO-23;500;44;0;0;0;0;0;0;0;0;0
144;Arthabaska;2018-10-01;G;Victoriaville, v;3;Regr. BVO-23;501;76;0;0;0;0;0;0;0;0;0
144;Arthabaska;2018-10-01;G;Victoriaville, v;4;Regr. BVO-36;502;259;0;0;0;0;0;0;0;0;0
144;Arthabaska;2018-10-01;G;Victoriaville, v;5;Regr. BVO-37;503;176;0;0;0;0;0;0;0;0;0
144;Arthabaska;2018-10-01;G;Victoriaville, v;5;Regr. BVO-37;504;49;0;0;0;0;0;0;0;0;0
144;Arthabaska;2018-10-01;G;Victoriaville, v;5;Regr. BVO-37;505;61;0;0;0;0;0;0;0;0;0
144;Arthabaska;2018-10-01;G;Victoriaville, v;5;Regr. BVO-38;506;93;0;0;0;0;0;0;0;0;0
144;Arthabaska;2018-10-01;G;Victoriaville, v;5;Regr. BVO-43;508;115;0;0;0;0;0;0;0;0;0
144;Arthabaska;2018-10-01;G;Victoriaville, v;5;Regr. BVO-43;509;149;0;0;0;0;0;0;0;0;0
144;Arthabaska;2018-10-01;G;Victoriaville, v;6;Regr. BVO-50;510;258;0;0;0;0;0;0;0;0;0
144;Arthabaska;2018-10-01;G;Victoriaville, v;6;Regr. BVO-51;511;36;0;0;0;0;0;0;0;0;0
144;Arthabaska;2018-10-01;G;Victoriaville, v;7;Regr. BVO-58;512;233;0;0;0;0;0;0;0;0;0
144;Arthabaska;2018-10-01;G;Victoriaville, v;10;Regr. BVO-83;513;28;0;0;0;0;0;0;0;0;0
144;Arthabaska;2018-10-01;G;Princeville, v;1;Regr. BVO-101;514;63;0;0;0;0;0;0;0;0;0
144;Arthabaska;2018-10-01;G;Plessisville, v;2;Regr. BVO-120;515;161;0;0;0;0;0;0;0;0;0
144;Arthabaska;2018-10-01;G;Plessisville, v;2;Regr. BVO-123;516;56;0;0;0;0;0;0;0;0;0
144;Arthabaska;2018-10-01;G;BVA1: SV no 1 à 7;;;;0;22;28;3;2;175;2;22;254;1
144;Arthabaska;2018-10-01;G;BVA2: SV no 8 à 11, 92 à 94;;;;0;33;25;2;3;168;5;31;267;4
144;Arthabaska;2018-10-01;G;BVA3: SV no 12 à 16, 95 à 96;;;;0;25;15;2;1;129;1;19;192;0
