Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dudas Adriana C.A.Q.-É.F.L.;Gilbert-Parisée David P.V.Q./G.P.Q.;Lavigne Odette P.Q.;Mahmoodi Karim N.P.D.Q.;Sauvé Monique P.L.Q./Q.L.P.;Yata Nora Q.S.;Zuniga Lopez Juliett P.C.Q./C.P.Q.;B.V.;B.R.;
466;Fabre;2018-10-01;G;Laval, v;6;;57;401;26;3;8;2;113;5;2;159;2;
466;Fabre;2018-10-01;G;Laval, v;6;;58;388;37;7;9;4;98;9;11;175;1;
466;Fabre;2018-10-01;G;Laval, v;6;;59;386;45;4;15;2;93;11;3;173;2;
466;Fabre;2018-10-01;G;Laval, v;6;;60;414;38;5;6;0;92;15;2;158;2;
466;Fabre;2018-10-01;G;Laval, v;6;;61;391;39;4;6;5;109;12;2;177;2;
466;Fabre;2018-10-01;G;Laval, v;6;;62;403;29;3;7;2;129;7;6;183;4;
466;Fabre;2018-10-01;G;Laval, v;6;;63;384;24;3;13;0;84;7;9;140;2;
466;Fabre;2018-10-01;G;Laval, v;6;;64;398;55;7;37;2;66;21;6;194;4;
466;Fabre;2018-10-01;G;Laval, v;6;;65;393;55;6;22;2;103;20;4;212;4;
466;Fabre;2018-10-01;G;Laval, v;6;;66;396;28;9;13;3;89;20;7;169;3;
466;Fabre;2018-10-01;G;Laval, v;6;;67;396;40;7;8;6;127;7;7;202;2;
466;Fabre;2018-10-01;G;Laval, v;6;;68;398;36;5;4;2;98;12;9;166;2;
466;Fabre;2018-10-01;G;Laval, v;6;;69;396;31;1;27;1;96;11;6;173;0;
466;Fabre;2018-10-01;G;Laval, v;7;;70;385;40;12;11;2;103;8;6;182;2;
466;Fabre;2018-10-01;G;Laval, v;7;;71;392;33;2;14;3;106;10;5;173;0;
466;Fabre;2018-10-01;G;Laval, v;7;;72;400;23;4;16;2;105;12;4;166;3;
466;Fabre;2018-10-01;G;Laval, v;7;;73;377;46;3;9;1;76;9;9;153;2;
466;Fabre;2018-10-01;G;Laval, v;7;;74;408;44;4;10;1;80;6;6;151;0;
466;Fabre;2018-10-01;G;Laval, v;7;;75;405;28;4;6;3;97;7;4;149;0;
466;Fabre;2018-10-01;G;Laval, v;7;;76;392;24;4;5;1;111;8;8;161;5;
466;Fabre;2018-10-01;G;Laval, v;7;;77;402;29;2;9;1;84;12;3;140;3;
466;Fabre;2018-10-01;G;Laval, v;7;;78;401;27;6;4;0;102;7;8;154;2;
466;Fabre;2018-10-01;G;Laval, v;8;;79;404;52;5;6;1;56;15;3;138;4;
466;Fabre;2018-10-01;G;Laval, v;8;;80;383;55;1;14;0;105;14;2;191;1;
466;Fabre;2018-10-01;G;Laval, v;8;;81;386;43;9;15;2;87;22;7;185;1;
466;Fabre;2018-10-01;G;Laval, v;8;;82;384;50;6;35;3;92;11;5;202;1;
466;Fabre;2018-10-01;G;Laval, v;8;;83;374;58;4;45;3;80;25;0;215;0;
466;Fabre;2018-10-01;G;Laval, v;8;;84;369;81;6;39;2;72;21;4;225;4;
466;Fabre;2018-10-01;G;Laval, v;8;;85;371;88;9;12;2;68;18;3;200;4;
466;Fabre;2018-10-01;G;Laval, v;8;;86;387;46;5;32;0;69;22;4;178;3;
466;Fabre;2018-10-01;G;Laval, v;9;;87;401;59;4;25;2;68;13;6;177;1;
466;Fabre;2018-10-01;G;Laval, v;9;;88;383;75;11;32;1;49;27;8;203;4;
466;Fabre;2018-10-01;G;Laval, v;9;;89;415;60;3;13;1;85;13;1;176;3;
466;Fabre;2018-10-01;G;Laval, v;9;;90;392;52;4;23;2;80;24;2;187;2;
466;Fabre;2018-10-01;G;Laval, v;9;;91;396;74;3;30;1;38;11;0;157;1;
466;Fabre;2018-10-01;G;Laval, v;10;;92;421;94;3;31;0;52;21;5;206;5;
466;Fabre;2018-10-01;G;Laval, v;10;;93;400;84;6;21;1;46;39;1;198;4;
466;Fabre;2018-10-01;G;Laval, v;10;;94;412;96;3;41;1;64;43;5;253;0;
466;Fabre;2018-10-01;G;Laval, v;10;;95;395;70;7;30;3;46;29;12;197;8;
466;Fabre;2018-10-01;G;Laval, v;11;;96;393;60;2;21;3;56;26;4;172;4;
466;Fabre;2018-10-01;G;Laval, v;11;;97A;219;21;0;12;2;19;11;1;66;1;
466;Fabre;2018-10-01;G;Laval, v;11;;97B;209;36;1;10;1;24;7;0;79;1;
466;Fabre;2018-10-01;G;Laval, v;11;;98;410;47;7;9;1;91;9;2;166;0;
466;Fabre;2018-10-01;G;Laval, v;11;;99;421;53;4;11;8;94;22;5;197;1;
466;Fabre;2018-10-01;G;Laval, v;11;;100;393;69;8;27;5;65;36;2;212;3;
466;Fabre;2018-10-01;G;Laval, v;11;;101;395;81;1;34;3;75;20;5;219;3;
466;Fabre;2018-10-01;G;Laval, v;11;;102;412;72;4;18;0;67;27;3;191;0;
466;Fabre;2018-10-01;G;Laval, v;11;;103;400;56;14;13;1;73;29;6;192;3;
466;Fabre;2018-10-01;G;Laval, v;11;;104;399;76;11;15;2;67;14;7;192;2;
466;Fabre;2018-10-01;G;Laval, v;11;;105;397;63;3;34;2;75;32;4;213;1;
466;Fabre;2018-10-01;G;Laval, v;11;;106;406;86;3;46;2;68;26;2;233;5;
466;Fabre;2018-10-01;G;Laval, v;11;;107;411;98;10;39;0;61;24;1;233;2;
466;Fabre;2018-10-01;G;Laval, v;11;;108;389;85;9;38;2;45;30;1;210;6;
466;Fabre;2018-10-01;G;Laval, v;11;;109;404;102;10;49;0;67;37;6;271;3;
466;Fabre;2018-10-01;G;Laval, v;11;;110;417;52;4;16;0;70;22;3;167;1;
466;Fabre;2018-10-01;G;Laval, v;12;;111;364;74;1;28;1;26;26;6;162;4;
466;Fabre;2018-10-01;G;Laval, v;12;;112;362;75;9;34;0;29;25;2;174;3;
466;Fabre;2018-10-01;G;Laval, v;12;;113;351;69;4;34;0;30;31;3;171;3;
466;Fabre;2018-10-01;G;Laval, v;12;;114;368;70;4;31;0;21;34;1;161;1;
466;Fabre;2018-10-01;G;Laval, v;12;;115;358;65;7;46;0;38;22;3;181;2;
466;Fabre;2018-10-01;G;Laval, v;28;;116;389;28;1;12;2;86;14;8;151;0;
466;Fabre;2018-10-01;G;Laval, v;28;;117;404;41;6;6;1;71;14;5;144;5;
