Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Barrette Sylvain P.Q.;Bérubé Carl P.C.Q./C.P.Q.;Boutet Ginette P.M.L.Q.;Boutin Joëlle C.A.Q.-É.F.L.;Dahan Ali Ind;Diab Macarena P.V.Q./G.P.Q.;Nadji Hamid N.P.D.Q.;Pouleur Stéphane É.A.;Proulx Sébastien P.L.Q./Q.L.P.;Provost Patrick Q.S.;B.V.;B.R.;
702;Jean-Talon;2018-10-01;G;BVA6: SV no 21, 25, 34, 36, 49;;;;0;50;3;0;96;3;3;2;2;126;52;337;1;
702;Jean-Talon;2018-10-01;G;BVA7: SV no 26, 29, 35, 38, 41, 43;;;;0;50;6;0;109;1;8;0;2;108;56;340;3;
702;Jean-Talon;2018-10-01;G;BVA8: SV no 22, 27 à 28, 37, 39;;;;0;42;11;1;79;2;0;1;0;83;50;269;3;
702;Jean-Talon;2018-10-01;G;BVA9: SV no 45 à 46, 53, 56 à 57;;;;0;39;2;0;80;1;2;1;0;106;39;270;1;
702;Jean-Talon;2018-10-01;G;BVA10: SV no 87 à 93;;;;0;100;5;0;143;0;5;0;1;272;57;583;0;
702;Jean-Talon;2018-10-01;G;BVA11: SV no 94, 111 à 115;;;;0;100;6;0;105;4;9;2;1;203;59;489;4;
702;Jean-Talon;2018-10-01;G;BVA12: SV no 95, 108 à 110, 117 à 118;;;;0;62;6;0;115;0;9;1;2;178;51;424;2;
702;Jean-Talon;2018-10-01;G;BVA13: SV no 69 à 70, 72 à 74;;;;0;56;8;0;105;0;4;1;0;160;40;374;7;
702;Jean-Talon;2018-10-01;G;BVA14: SV no 71, 75 à 80;;;;0;84;2;0;132;1;2;0;0;155;41;417;6;
702;Jean-Talon;2018-10-01;G;BVA15: SV no 68, 81 à 86;;;;0;63;7;0;113;0;3;0;0;166;44;396;0;
702;Jean-Talon;2018-10-01;G;BVA16: SV no 1 à 5;;;;0;48;8;0;142;2;4;2;2;149;49;406;0;
702;Jean-Talon;2018-10-01;G;BVA17: SV no 6 à 12;;;;0;60;7;1;155;6;7;0;1;171;49;457;5;
702;Jean-Talon;2018-10-01;G;BVA18: SV no 13 à 17, 32 à 33;;;;0;44;15;1;182;1;6;2;0;138;79;468;4;
702;Jean-Talon;2018-10-01;G;BVA19: SV no 102 à 107, 116;;;;0;75;5;0;81;0;2;2;2;144;47;358;1;
702;Jean-Talon;2018-10-01;G;BVA20: SV no 47 à 48, 51, 54 à 55;;;;0;50;1;1;128;0;3;1;1;116;36;337;6;
702;Jean-Talon;2018-10-01;G;Vote en installation d'hébergement;;;;0;104;15;5;168;3;7;2;0;389;60;753;15;
702;Jean-Talon;2018-10-01;G;Vote itinérant et au domicile de l'électeur;;;;0;69;10;3;131;1;3;0;5;261;15;498;6;
702;Jean-Talon;2018-10-01;G;Vote au bureau du directeur du scrutin;;;;0;407;49;7;744;14;43;17;5;815;862;2963;25;
702;Jean-Talon;2018-10-01;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0;0;0;0;
702;Jean-Talon;2018-10-01;G;Vote hors circonscription;;;;0;66;3;1;54;0;8;5;0;85;180;402;16;
702;Jean-Talon;2018-10-01;G;Vote hors Québec;;Regr. VHC-1;;80;0;0;0;0;0;0;0;0;0;0;0;0;
702;Jean-Talon;2018-10-01;G;Vote des détenus;;Regr. VHC-1;;4;0;0;0;0;0;0;0;0;0;0;0;0;
702;Jean-Talon;2018-10-01;G;Total de la circonscription;;;;45743;4912;620;46;9706;236;610;197;64;11069;6515;33975;405;
702;Jean-Talon;2018-10-01;G;Majorité en faveur de Sébastien Proulx : 1363
