Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Deland Kevin P.L.Q./Q.L.P.;Dinard Lannïck Q.S.;Marcoux Sylvain Ind;Picard Francois P.C.Q./C.P.Q.;Roy Diane P.Q.;Schneeberger Sébastien C.A.Q.-É.F.L.;Therion Steve É.A.;B.V.;B.R.;
138;Drummond-Bois-Francs;2018-10-01;G;Saint-Albert, m;1;;32;404;19;32;2;7;13;129;4;206;7;
138;Drummond-Bois-Francs;2018-10-01;G;Saint-Samuel, m;1;;33;295;18;23;2;10;18;93;0;164;3;
138;Drummond-Bois-Francs;2018-10-01;G;Saint-Samuel, m;1;;34;285;13;26;3;9;24;102;1;178;4;
138;Drummond-Bois-Francs;2018-10-01;G;Sainte-Clotilde-de-Horton, m;1;;35;404;25;36;3;3;37;137;2;243;3;
138;Drummond-Bois-Francs;2018-10-01;G;Sainte-Clotilde-de-Horton, m;1;;36;404;17;26;3;4;28;155;0;233;5;
138;Drummond-Bois-Francs;2018-10-01;G;Sainte-Clotilde-de-Horton, m;1;;37;408;22;35;2;3;25;132;6;225;5;
138;Drummond-Bois-Francs;2018-10-01;G;Saint-Lucien, m;1;;38;343;20;41;2;4;27;112;1;207;4;
138;Drummond-Bois-Francs;2018-10-01;G;Saint-Lucien, m;1;;39;351;15;25;2;13;25;106;2;188;7;
138;Drummond-Bois-Francs;2018-10-01;G;Saint-Lucien, m;1;;40;357;15;36;0;4;29;124;1;209;1;
138;Drummond-Bois-Francs;2018-10-01;G;Saint-Lucien, m;1;;41;348;7;33;1;2;32;105;0;180;6;
138;Drummond-Bois-Francs;2018-10-01;G;Saint-Cyrille-de-Wendover, m;1;;42;395;10;27;0;6;22;169;1;235;3;
138;Drummond-Bois-Francs;2018-10-01;G;Saint-Cyrille-de-Wendover, m;1;;43;395;21;33;2;7;29;164;1;257;5;
138;Drummond-Bois-Francs;2018-10-01;G;Saint-Cyrille-de-Wendover, m;1;;44;391;22;25;1;4;17;170;0;239;3;
138;Drummond-Bois-Francs;2018-10-01;G;Saint-Cyrille-de-Wendover, m;1;;45;407;22;34;2;5;28;145;1;237;7;
138;Drummond-Bois-Francs;2018-10-01;G;Saint-Cyrille-de-Wendover, m;1;;46;409;25;26;1;7;28;162;1;250;4;
138;Drummond-Bois-Francs;2018-10-01;G;Saint-Cyrille-de-Wendover, m;1;;47;412;23;40;0;3;21;123;2;212;5;
138;Drummond-Bois-Francs;2018-10-01;G;Saint-Cyrille-de-Wendover, m;1;;48;389;25;24;1;5;17;113;1;186;54;
138;Drummond-Bois-Francs;2018-10-01;G;Saint-Cyrille-de-Wendover, m;1;;49;411;20;25;2;9;28;130;0;214;5;
138;Drummond-Bois-Francs;2018-10-01;G;Saint-Cyrille-de-Wendover, m;1;;50;377;23;31;2;3;14;151;0;224;1;
138;Drummond-Bois-Francs;2018-10-01;G;Notre-Dame-du-Bon-Conseil, p;1;;51;354;30;22;3;7;23;107;0;192;3;
138;Drummond-Bois-Francs;2018-10-01;G;Notre-Dame-du-Bon-Conseil, p;1;;52;346;24;20;1;5;24;114;1;189;8;
138;Drummond-Bois-Francs;2018-10-01;G;Notre-Dame-du-Bon-Conseil, vl;1;;53;374;26;27;3;4;20;136;0;216;0;
138;Drummond-Bois-Francs;2018-10-01;G;Notre-Dame-du-Bon-Conseil, vl;1;;54;366;19;23;3;2;27;140;4;218;4;
138;Drummond-Bois-Francs;2018-10-01;G;Notre-Dame-du-Bon-Conseil, vl;1;;55;390;22;45;4;6;26;125;1;229;7;
138;Drummond-Bois-Francs;2018-10-01;G;Drummondville, v;1;;56;289;13;26;0;2;30;114;1;186;1;
138;Drummond-Bois-Francs;2018-10-01;G;Drummondville, v;1;;57;297;15;29;1;1;34;107;0;187;4;
138;Drummond-Bois-Francs;2018-10-01;G;Drummondville, v;2;;58A;220;5;21;0;5;12;83;0;126;4;
138;Drummond-Bois-Francs;2018-10-01;G;Drummondville, v;2;;58B;214;19;25;1;1;14;63;0;123;4;
138;Drummond-Bois-Francs;2018-10-01;G;Drummondville, v;2;;59;390;16;21;2;4;13;87;0;143;4;
138;Drummond-Bois-Francs;2018-10-01;G;Drummondville, v;2;;60;365;20;30;2;4;25;107;0;188;5;
138;Drummond-Bois-Francs;2018-10-01;G;Drummondville, v;2;;61;388;20;22;4;5;28;119;1;199;6;
138;Drummond-Bois-Francs;2018-10-01;G;Drummondville, v;2;;62;381;12;41;1;2;9;90;0;155;4;
138;Drummond-Bois-Francs;2018-10-01;G;Drummondville, v;2;;63;385;5;27;2;3;32;91;0;160;5;
138;Drummond-Bois-Francs;2018-10-01;G;Drummondville, v;3;;64A;218;30;12;1;1;19;66;1;130;1;
138;Drummond-Bois-Francs;2018-10-01;G;Drummondville, v;3;;64B;234;8;17;0;0;12;55;0;92;5;
138;Drummond-Bois-Francs;2018-10-01;G;Drummondville, v;3;;65;399;34;21;3;2;27;82;0;169;5;
138;Drummond-Bois-Francs;2018-10-01;G;Drummondville, v;3;;66;396;20;31;2;3;16;122;0;194;3;
138;Drummond-Bois-Francs;2018-10-01;G;Drummondville, v;3;;67;398;27;25;0;7;19;81;0;159;5;
138;Drummond-Bois-Francs;2018-10-01;G;Drummondville, v;3;;68;402;14;26;1;4;22;80;0;147;4;
138;Drummond-Bois-Francs;2018-10-01;G;Drummondville, v;3;;69;420;23;38;3;2;25;117;0;208;0;
138;Drummond-Bois-Francs;2018-10-01;G;Drummondville, v;3;;70;394;44;42;2;2;32;140;1;263;4;
138;Drummond-Bois-Francs;2018-10-01;G;Drummondville, v;3;;71;389;29;24;1;2;33;134;0;223;8;
138;Drummond-Bois-Francs;2018-10-01;G;Drummondville, v;3;;72;396;58;20;0;5;27;104;0;214;3;
138;Drummond-Bois-Francs;2018-10-01;G;Drummondville, v;3;;73;393;30;19;0;3;19;119;0;190;6;
138;Drummond-Bois-Francs;2018-10-01;G;Drummondville, v;3;;74;402;41;18;1;2;26;130;0;218;5;
138;Drummond-Bois-Francs;2018-10-01;G;Drummondville, v;4;;75;397;40;28;2;4;25;133;1;233;4;
138;Drummond-Bois-Francs;2018-10-01;G;Drummondville, v;4;;76;400;14;42;0;6;13;138;1;214;3;
138;Drummond-Bois-Francs;2018-10-01;G;Drummondville, v;4;;77;382;13;44;4;4;19;125;0;209;7;
138;Drummond-Bois-Francs;2018-10-01;G;Drummondville, v;4;;78;396;15;31;0;2;31;132;1;212;1;
138;Drummond-Bois-Francs;2018-10-01;G;Drummondville, v;4;;79;387;18;26;1;1;30;122;1;199;8;
138;Drummond-Bois-Francs;2018-10-01;G;Drummondville, v;4;;80;381;9;33;3;4;24;105;2;180;4;
138;Drummond-Bois-Francs;2018-10-01;G;Drummondville, v;4;;81;394;42;33;0;1;31;155;0;262;2;
138;Drummond-Bois-Francs;2018-10-01;G;Drummondville, v;4;;82;403;45;33;1;4;37;130;0;250;6;
138;Drummond-Bois-Francs;2018-10-01;G;Drummondville, v;4;;83;394;29;38;1;5;32;108;0;213;7;
138;Drummond-Bois-Francs;2018-10-01;G;Drummondville, v;4;;84;404;29;36;0;1;27;146;1;240;6;
138;Drummond-Bois-Francs;2018-10-01;G;Drummondville, v;4;;85;378;23;17;0;4;18;81;0;143;3;
138;Drummond-Bois-Francs;2018-10-01;G;Drummondville, v;5;;86;403;18;26;0;4;22;58;1;129;1;
138;Drummond-Bois-Francs;2018-10-01;G;Drummondville, v;5;;87;402;23;52;2;2;18;100;0;197;4;
138;Drummond-Bois-Francs;2018-10-01;G;Drummondville, v;5;;88;402;29;44;1;4;22;96;0;196;1;
138;Drummond-Bois-Francs;2018-10-01;G;Drummondville, v;5;;89;392;29;31;2;3;28;98;0;191;3;
138;Drummond-Bois-Francs;2018-10-01;G;Drummondville, v;5;;90;404;50;37;2;8;38;81;0;216;11;
