Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Aubé Vincent P.C.Q./C.P.Q.;Chartrand Sabrina P.L.Q./Q.L.P.;Dick Robin P.V.Q./G.P.Q.;Girard Eric C.A.Q.-É.F.L.;Lavoie Chantal C.P.Q.;Meloche Jean-Philippe P.Q.;Surprenant Claude Ind;Torres Fabien Q.S.;B.V.;B.R.;
502;Groulx;2018-10-01;G;Boisbriand, v;3;;81;368;2;27;2;109;2;30;7;28;207;4;
502;Groulx;2018-10-01;G;Boisbriand, v;3;;82;380;0;25;10;95;1;28;8;39;206;2;
502;Groulx;2018-10-01;G;Boisbriand, v;3;;83;393;1;37;2;104;2;31;3;41;221;3;
502;Groulx;2018-10-01;G;Boisbriand, v;4;;84;351;2;17;3;94;2;32;3;26;179;6;
502;Groulx;2018-10-01;G;Boisbriand, v;4;;85;361;6;25;6;83;0;27;4;53;204;4;
502;Groulx;2018-10-01;G;Boisbriand, v;4;;86;383;1;33;4;81;0;28;7;34;188;1;
502;Groulx;2018-10-01;G;Boisbriand, v;4;;87;359;1;26;2;69;3;32;9;53;195;3;
502;Groulx;2018-10-01;G;Boisbriand, v;4;;88;350;1;49;4;91;0;23;0;14;182;3;
502;Groulx;2018-10-01;G;Boisbriand, v;4;;89;352;2;29;12;78;2;28;6;37;194;5;
502;Groulx;2018-10-01;G;Boisbriand, v;4;;90;351;0;57;2;69;0;35;3;26;192;0;
502;Groulx;2018-10-01;G;Boisbriand, v;5;;91;383;1;17;4;49;3;28;6;41;149;8;
502;Groulx;2018-10-01;G;Boisbriand, v;5;;92;366;2;12;6;42;0;22;0;26;110;1;
502;Groulx;2018-10-01;G;Boisbriand, v;5;;93;366;2;33;4;60;3;24;7;26;159;3;
502;Groulx;2018-10-01;G;Boisbriand, v;5;;94;368;2;18;5;57;4;21;3;30;140;6;
502;Groulx;2018-10-01;G;Boisbriand, v;5;;95;373;1;27;3;63;1;24;4;36;159;3;
502;Groulx;2018-10-01;G;Boisbriand, v;5;;96;365;3;35;2;97;3;27;14;28;209;4;
502;Groulx;2018-10-01;G;Boisbriand, v;5;;97A;214;0;7;3;22;3;10;2;25;72;0;
502;Groulx;2018-10-01;G;Boisbriand, v;5;;97B;209;0;9;3;18;2;8;1;13;54;0;
502;Groulx;2018-10-01;G;Boisbriand, v;5;;98;376;2;18;5;77;1;43;10;44;200;13;
502;Groulx;2018-10-01;G;Boisbriand, v;5;;99A;228;2;37;2;53;0;11;3;16;124;2;
502;Groulx;2018-10-01;G;Boisbriand, v;5;;99B;206;0;12;0;55;0;21;2;27;117;0;
502;Groulx;2018-10-01;G;Boisbriand, v;6;;100;381;3;48;8;109;2;35;4;39;248;3;
502;Groulx;2018-10-01;G;Boisbriand, v;6;;101;376;0;44;5;70;2;48;4;45;218;6;
502;Groulx;2018-10-01;G;Boisbriand, v;6;;102;408;2;44;3;95;0;45;1;30;220;2;
502;Groulx;2018-10-01;G;Boisbriand, v;6;;103;371;4;55;5;104;2;32;3;37;242;2;
502;Groulx;2018-10-01;G;Rosemère, v;1;;104;381;1;57;6;81;0;25;11;23;204;3;
502;Groulx;2018-10-01;G;Rosemère, v;1;;105;394;1;40;2;57;1;14;2;16;133;5;
502;Groulx;2018-10-01;G;Rosemère, v;1;;106;381;0;54;9;74;1;27;7;31;203;4;
502;Groulx;2018-10-01;G;Rosemère, v;1;;107;395;1;75;8;77;0;19;4;16;200;3;
502;Groulx;2018-10-01;G;Rosemère, v;1;;108;391;2;53;6;55;0;26;3;28;173;3;
502;Groulx;2018-10-01;G;Rosemère, v;1;;109;388;1;53;10;70;0;41;6;40;221;4;
502;Groulx;2018-10-01;G;Rosemère, v;1;;110;405;1;82;6;52;0;25;3;45;214;3;
502;Groulx;2018-10-01;G;Rosemère, v;1;;111;370;2;50;4;72;1;24;2;41;196;2;
502;Groulx;2018-10-01;G;Rosemère, v;2;;112;393;0;43;11;63;0;57;4;59;237;0;
502;Groulx;2018-10-01;G;Rosemère, v;2;;113;388;1;45;4;69;2;50;4;43;218;1;
502;Groulx;2018-10-01;G;Rosemère, v;2;;114;404;2;72;10;74;1;34;4;27;224;1;
502;Groulx;2018-10-01;G;Rosemère, v;2;;115;387;3;57;3;64;0;26;5;42;200;1;
502;Groulx;2018-10-01;G;Rosemère, v;2;;116;402;5;56;1;80;1;17;4;18;182;4;
502;Groulx;2018-10-01;G;Rosemère, v;2;;117;379;2;95;4;88;0;14;1;19;223;2;
502;Groulx;2018-10-01;G;Rosemère, v;2;;118;389;0;55;3;60;0;42;3;38;201;3;
502;Groulx;2018-10-01;G;Rosemère, v;3;;119;368;2;72;3;70;0;23;3;22;195;1;
