Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boulet Jean C.A.Q.-É.F.L.;Camirand Marie-Claude P.Q.;Delage Valérie Q.S.;Girard Jean-Denis P.L.Q./Q.L.P.;Hénault Daniel P.C.Q./C.P.Q.;Simidzija Adis P.V.Q./G.P.Q.;B.V.;B.R.;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;14;;59;372;44;22;46;19;0;2;133;1;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;14;;60;352;33;15;35;11;3;2;99;2;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;15;;61;380;72;36;30;41;3;2;184;4;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;15;;62;374;64;34;41;42;4;3;188;6;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;15;;63;370;67;33;42;50;1;4;197;3;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;15;;64;379;63;21;32;15;0;3;134;0;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;15;;65;370;43;20;31;17;5;5;121;8;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;15;;66;374;40;23;34;13;1;4;115;2;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;15;;67;375;27;17;25;21;0;6;96;3;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;16;;68;388;47;29;53;26;10;3;168;1;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;16;;69;383;62;21;43;23;4;6;159;6;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;16;;70;364;55;33;57;32;2;3;182;1;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;16;;71;362;74;40;59;25;3;8;209;3;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;16;;72;383;56;51;61;30;3;6;207;6;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;17;;73;371;48;22;32;19;2;4;127;0;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;17;;74;354;38;22;23;21;0;4;108;4;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;17;;75;374;36;23;31;22;0;3;115;7;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;17;;76;359;54;28;43;15;3;3;146;2;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;17;;77;383;51;23;50;9;5;2;140;7;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;18;;78;404;66;37;59;26;2;6;196;5;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;18;;79;390;83;32;40;41;2;3;201;5;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;18;;80;379;76;41;54;46;0;7;224;3;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;18;;81;386;78;40;24;70;3;5;220;3;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;18;;82;393;77;36;43;51;3;8;218;7;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;19;;83;383;64;42;33;40;2;5;186;5;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;19;;84;361;75;43;30;55;2;3;208;5;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;19;;85;362;77;36;37;36;3;4;193;11;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;19;;86;354;80;38;31;62;5;10;226;10;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;19;;87;339;70;31;33;20;3;6;163;8;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;19;;88;361;74;32;38;33;5;4;186;5;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;20;;89;393;87;21;37;33;5;4;187;4;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;20;;90;392;74;22;23;33;2;4;158;6;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;20;;91;397;63;15;31;39;0;6;154;2;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;20;;92;401;49;15;25;17;0;2;108;6;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;20;;93;396;48;15;17;50;6;2;138;3;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;21;;94;391;66;28;38;39;2;3;176;2;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;21;;95;397;58;35;28;33;2;6;162;0;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;21;;96;386;80;35;28;34;7;5;189;4;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;21;;97;378;61;10;24;27;0;2;124;2;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;21;;98;417;67;23;31;34;3;3;161;1;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;21;;99;362;63;17;24;32;4;1;141;3;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;22;;100;377;95;33;33;41;6;1;209;1;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;22;;101;392;73;20;24;38;5;4;164;5;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;22;;102;395;58;19;21;40;2;4;144;2;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;22;;103;398;49;18;23;24;7;3;124;1;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;22;;104;418;82;39;36;37;3;0;197;7;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;22;;105;398;113;32;23;51;2;3;224;5;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;23;;106;360;97;17;28;20;3;3;168;0;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;23;;107;371;89;27;26;40;7;2;191;8;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;23;;108;377;57;25;24;73;3;10;192;4;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;23;;109;375;92;34;23;57;2;9;217;4;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;23;;110;370;87;32;25;45;3;2;194;1;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;23;;111;366;109;41;32;46;5;8;241;2;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;23;;112;385;80;39;44;20;2;2;187;8;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;23;;113;365;68;37;28;44;5;3;185;2;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;23;;114;359;98;37;31;38;4;2;210;1;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;24;;115;334;61;30;22;40;2;3;158;4;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;24;;116;356;75;22;35;33;1;6;172;2;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;24;;117;359;76;29;21;26;5;2;159;0;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;24;;118;332;98;22;22;22;3;9;176;5;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;24;;119;340;56;23;22;16;1;5;123;11;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;24;;120;376;88;15;40;23;5;2;173;4;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;24;;121;343;101;19;36;49;2;0;207;1;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;25;;122;375;104;28;30;31;9;7;209;3;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;25;;123;365;88;20;31;36;5;1;181;3;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;25;;124;345;59;28;22;22;3;3;137;2;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;25;;125;365;87;16;42;25;6;8;184;3;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;25;;126;367;84;35;20;38;6;3;186;4;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;25;;127;360;51;15;12;21;2;5;106;2;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;25;;128;341;90;31;20;37;4;2;184;1;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;25;;129;362;71;23;25;45;7;1;172;3;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;25;;130;381;109;19;25;28;8;2;191;1;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;25;;131;352;70;30;24;34;8;0;166;2;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;25;;132;352;74;33;18;33;3;1;162;3;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;25;;133;366;112;21;20;39;7;3;202;3;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;41;;134;389;94;33;33;50;5;3;218;4;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;41;;135;383;93;33;40;34;3;3;206;7;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;41;;136;387;107;43;26;35;5;2;218;0;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;41;;137;385;93;28;32;38;7;1;199;4;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;41;;138;372;51;22;31;20;2;1;127;4;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;41;;139;381;114;28;39;22;4;5;212;6;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;41;;140;374;82;25;23;34;4;0;168;4;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;5;Regr. BVO-14;500;242;0;0;0;0;0;0;0;0;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;7;Regr. BVO-26;501;189;0;0;0;0;0;0;0;0;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;7;Regr. BVO-25;502;240;0;0;0;0;0;0;0;0;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;7;Regr. BVO-25;503;38;0;0;0;0;0;0;0;0;
