Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beaudet Normand Q.S.;Beaulieu Yohann P.Q.;Croteau Daniel P51;Daigle Pierre-Luc P.L.Q./Q.L.P.;Dextraze Marie-Claude P.V.Q./G.P.Q.;Labbé Réjean P.C.Q./C.P.Q.;Lecours Isabelle C.A.Q.-É.F.L.;Roy Yves C.P.Q.;B.V.;B.R.;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;4;;29;386;25;21;1;38;4;5;105;1;200;4;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;5;;30;372;10;25;1;35;1;6;92;1;171;2;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;5;;31;356;20;20;0;18;2;5;81;1;147;3;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;5;;32;373;11;20;1;31;1;3;104;1;172;1;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;5;;33;366;19;35;0;34;2;7;87;0;184;8;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;5;;34;352;22;36;1;31;0;5;95;2;192;2;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;5;;35;369;17;18;0;34;3;2;104;3;181;3;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;5;;36;359;14;19;2;45;5;3;120;0;208;8;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;5;;37;361;12;27;1;36;1;5;117;1;200;6;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;6;;38;416;15;13;1;18;3;7;66;1;124;8;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;6;;39;391;25;14;2;26;6;3;88;2;166;5;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;6;;40;397;20;28;4;20;3;4;104;3;186;6;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;6;;41;382;18;19;0;23;1;6;77;3;147;4;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;6;;42;391;22;15;0;31;1;1;97;4;171;1;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;6;;43;391;19;34;2;27;1;2;110;1;196;1;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;6;;44;400;21;24;3;51;3;4;115;0;221;3;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;6;;45;403;20;29;2;38;2;3;106;0;200;0;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;6;;46;390;18;23;2;24;3;7;75;1;153;7;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;6;;47;390;21;19;3;40;4;5;135;1;228;0;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;7;;48;398;15;16;0;45;2;4;127;1;210;3;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;7;;49;411;32;27;1;27;3;6;148;5;249;5;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;7;;50;391;24;20;3;36;2;3;129;3;220;5;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;7;;51;398;18;17;2;30;0;6;117;1;191;5;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;7;;52;400;23;11;0;31;3;9;88;0;165;4;
810;Lotbinière-Frontenac;2018-10-01;G;Saint-Pierre-de-Broughton, m;1;;53;332;21;30;1;25;3;9;108;3;200;4;
810;Lotbinière-Frontenac;2018-10-01;G;Saint-Pierre-de-Broughton, m;1;;54;329;26;21;3;49;5;7;98;2;211;0;
810;Lotbinière-Frontenac;2018-10-01;G;East Broughton, m;1;;55;361;11;8;2;35;7;9;103;4;179;4;
810;Lotbinière-Frontenac;2018-10-01;G;East Broughton, m;1;;56;339;17;9;2;30;2;8;98;2;168;2;
810;Lotbinière-Frontenac;2018-10-01;G;East Broughton, m;1;;57;354;18;13;3;21;2;6;83;5;151;4;
810;Lotbinière-Frontenac;2018-10-01;G;East Broughton, m;1;;58;347;16;4;4;34;3;10;127;3;201;4;
