Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Busque Paul P.L.Q./Q.L.P.;Grondin Guillaume P.Q.;Jovanovic Milan P.C.Q./C.P.Q.;Mercier Hans P51;Paquet Jean C.P.Q.;Poulin Cassandre P.V.Q./G.P.Q.;Poulin Samuel C.A.Q.-É.F.L.;Vincent Diane Q.S.;B.V.;B.R.
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;3;;92;365;20;7;4;3;0;3;73;12;122;1
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;3;;93;375;38;7;2;1;0;2;130;10;190;0
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;3;;94;381;29;7;6;4;0;2;111;16;175;0
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;3;;95;369;46;4;5;6;1;4;83;12;161;1
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;3;;96;366;46;9;2;1;2;8;122;11;201;1
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;3;;97;401;38;11;18;5;2;3;150;13;240;3
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;3;;98;378;36;10;9;6;1;1;135;6;204;4
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;3;;99;375;29;9;10;2;0;6;114;18;188;1
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;3;;100;367;23;7;3;6;0;3;108;14;164;4
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;3;;101;361;23;10;3;1;1;1;87;13;139;1
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;3;;102;355;10;8;0;2;2;1;54;11;88;1
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;4;;103;401;19;3;4;5;4;2;96;12;145;3
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;4;;104;402;29;6;6;8;1;7;127;18;202;4
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;4;;105;405;44;6;3;1;0;1;83;11;149;2
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;4;;106;408;27;8;4;6;0;1;162;3;211;4
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;4;;107;394;33;2;4;3;1;3;119;11;176;0
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;4;;108;419;28;8;9;4;2;5;153;10;219;4
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;4;;109;404;36;9;5;5;2;4;132;6;199;4
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;4;;110A;225;26;6;8;1;0;3;63;9;116;1
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;4;;110B;224;26;4;3;3;0;1;63;5;105;0
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;4;;111;406;23;6;7;4;3;3;111;16;173;4
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;4;;112;402;34;7;5;5;0;4;88;11;154;3
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;5;;113;415;29;4;3;2;0;0;58;11;107;1
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;5;;114;392;12;8;2;0;1;3;64;19;109;2
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;5;;115;385;22;0;0;3;0;2;105;16;148;1
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;5;;116;383;38;4;2;3;0;6;121;10;184;1
