Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bruneau Jacynthe P.Q.;Cardin Christine Q.S.;Giguère Pierre P.L.Q./Q.L.P.;Gosselin Jacques C.P.Q.;Hamel Ugo P.C.Q./C.P.Q.;Tardif Marie-Louise C.A.Q.-É.F.L.;B.V.;B.R.
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;4;;51;359;16;25;21;2;1;43;108;5
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;4;;52;358;21;20;16;0;3;55;115;2
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;4;;53;370;25;27;29;3;3;68;155;7
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;4;;54;348;32;20;21;0;2;76;151;10
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;4;;55;347;16;19;27;1;2;54;119;7
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;5;;56;359;22;21;25;3;2;69;142;5
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;5;;57;357;19;23;24;1;2;57;126;5
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;5;;58;361;32;27;31;4;0;76;170;4
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;5;;59;360;27;24;33;0;3;73;160;5
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;5;;60;365;46;21;34;2;1;91;195;9
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;6;;61;380;28;28;31;1;4;80;172;3
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;6;;62;391;40;24;25;3;2;90;184;6
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;6;;63;389;29;32;26;1;4;73;165;6
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;6;;64;364;19;32;22;1;2;82;158;4
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;6;;65;386;25;23;36;1;2;76;163;6
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;7;;66;331;48;34;37;3;0;37;159;2
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;7;;67;342;29;32;21;1;3;67;153;5
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;7;;68;328;31;39;35;1;2;43;151;4
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;7;;69;340;34;37;33;2;2;49;157;11
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;7;;70;340;29;39;34;3;4;60;169;3
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;7;;71;324;34;32;25;2;1;43;137;8
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;7;;72;335;18;37;25;2;1;59;142;2
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;8;;73;387;14;31;20;1;5;71;142;5
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;8;;74;381;36;41;36;2;3;56;174;8
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;8;;75;384;23;27;39;5;5;86;185;1
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;8;;76;398;30;35;32;2;2;68;169;5
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;8;;77;403;24;29;18;2;2;81;156;4
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;8;;78;389;23;23;20;2;0;61;129;1
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;9;;79;357;18;30;27;0;1;68;144;7
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;9;;80;364;23;38;34;3;5;72;175;0
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;9;;81;390;16;15;28;1;3;78;141;8
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;9;;82;392;27;26;41;0;3;93;190;6
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;9;;83;366;24;31;35;0;0;56;146;4
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;10;;84;383;23;31;41;3;5;79;182;1
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;10;;85;418;26;43;30;4;10;84;197;5
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;10;;86;401;37;31;34;2;2;88;194;3
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;10;;87;382;37;14;45;4;1;104;205;0
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;10;;88;417;17;16;45;1;4;112;195;1
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;10;;89;388;13;23;43;0;3;69;151;5
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;10;;90;416;15;32;38;0;9;110;204;7
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;10;;91;419;27;28;23;0;12;93;183;5
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;11;;92;364;22;29;57;4;3;75;190;3
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;11;;93;368;22;19;25;1;2;63;132;5
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;11;;94;366;19;11;30;4;3;77;144;3
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;11;;95;372;16;28;41;2;5;86;178;7
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;11;;96;367;26;24;48;2;3;72;175;1
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;11;;97;390;27;32;41;5;1;80;186;8
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;12;;98;403;22;30;25;2;3;82;164;4
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;12;;99;392;19;30;40;1;2;101;193;3
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;12;;100;417;13;20;27;1;3;73;137;2
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;12;;101;394;20;23;34;2;2;71;152;6
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;12;;102;394;20;20;27;5;1;63;136;2
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;12;;103;404;24;31;28;2;2;98;185;9
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;13;;104;367;17;32;29;4;5;48;135;3
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;13;;105;393;29;37;29;5;4;73;177;8
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;13;;106;377;19;32;37;4;7;79;178;6
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;13;;107;389;20;17;27;2;2;68;136;4
