Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Alarie Marc V.P.;Charest Isabelle C.A.Q.-É.F.L.;Dionne Elisabeth P.V.Q./G.P.Q.;Gamache Manon C.P.Q.;Larouche Andréanne P.Q.;Legault Alexandre Q.S.;Marini Ingrid P.L.Q./Q.L.P.;B.V.;B.R.
204;Brome-Missisquoi;2018-10-01;G;Bromont, v;1;;106;407;1;99;6;0;16;40;56;218;3
204;Brome-Missisquoi;2018-10-01;G;Bromont, v;1;;107;386;0;66;13;1;29;32;57;198;4
204;Brome-Missisquoi;2018-10-01;G;Bromont, v;1;;108;391;2;91;9;1;28;49;28;208;0
204;Brome-Missisquoi;2018-10-01;G;Brome, vl;1;;109;263;1;30;4;0;5;13;68;121;2
204;Brome-Missisquoi;2018-10-01;G;East Farnham, m;1;;110;239;0;58;6;1;15;24;41;145;2
204;Brome-Missisquoi;2018-10-01;G;East Farnham, m;1;;111;239;0;79;3;0;16;24;18;140;3
204;Brome-Missisquoi;2018-10-01;G;Brigham, m;1;;112;358;1;67;5;1;20;33;38;165;1
204;Brome-Missisquoi;2018-10-01;G;Brigham, m;1;;113;370;2;91;9;0;20;41;33;196;4
204;Brome-Missisquoi;2018-10-01;G;Brigham, m;1;;114;355;1;80;1;0;25;51;43;201;3
204;Brome-Missisquoi;2018-10-01;G;Brigham, m;1;;115;358;0;91;6;4;21;63;45;230;2
204;Brome-Missisquoi;2018-10-01;G;Brigham, m;1;;116;373;1;102;2;0;26;30;33;194;0
204;Brome-Missisquoi;2018-10-01;G;Saint-Alphonse-de-Granby, m;1;;117;376;2;137;5;0;24;39;30;237;1
204;Brome-Missisquoi;2018-10-01;G;Saint-Alphonse-de-Granby, m;1;;118A;207;0;72;2;0;17;28;18;137;3
204;Brome-Missisquoi;2018-10-01;G;Saint-Alphonse-de-Granby, m;1;;118B;240;1;106;2;0;18;19;6;152;1
204;Brome-Missisquoi;2018-10-01;G;Saint-Alphonse-de-Granby, m;1;;119;384;2;132;7;2;35;29;35;242;6
204;Brome-Missisquoi;2018-10-01;G;Saint-Alphonse-de-Granby, m;1;;120;402;3;148;5;0;30;47;21;254;8
204;Brome-Missisquoi;2018-10-01;G;Saint-Alphonse-de-Granby, m;1;;121;385;0;145;2;1;23;41;15;227;8
204;Brome-Missisquoi;2018-10-01;G;Saint-Alphonse-de-Granby, m;1;;122;385;1;149;6;1;24;39;18;238;5
204;Brome-Missisquoi;2018-10-01;G;Sutton, v;1;;123;377;0;38;11;1;27;44;72;193;3
204;Brome-Missisquoi;2018-10-01;G;Sutton, v;1;;124;386;1;48;5;0;13;45;59;171;0
204;Brome-Missisquoi;2018-10-01;G;Sutton, v;1;;125;374;0;33;6;0;26;49;49;163;3
204;Brome-Missisquoi;2018-10-01;G;Sutton, v;1;;126;376;0;28;4;1;18;29;53;133;2
204;Brome-Missisquoi;2018-10-01;G;Sutton, v;1;;127;391;1;44;11;0;23;38;78;195;3
204;Brome-Missisquoi;2018-10-01;G;Sutton, v;1;;128;391;0;30;6;1;16;52;68;173;2
204;Brome-Missisquoi;2018-10-01;G;Sutton, v;1;;129;383;0;48;5;0;35;41;52;181;1
204;Brome-Missisquoi;2018-10-01;G;Sutton, v;1;;130;386;0;55;2;1;16;47;57;178;1
204;Brome-Missisquoi;2018-10-01;G;Sutton, v;1;;131;376;1;26;8;0;25;50;63;173;3
204;Brome-Missisquoi;2018-10-01;G;Abercorn, vl;1;;132;261;2;50;2;1;11;30;58;154;1
204;Brome-Missisquoi;2018-10-01;G;Bolton-Ouest, m;1;;133;284;0;28;8;0;10;13;110;169;2
204;Brome-Missisquoi;2018-10-01;G;Bolton-Ouest, m;1;;134;276;1;28;4;0;12;29;101;175;2
204;Brome-Missisquoi;2018-10-01;G;Shefford, ct;1;;135;350;2;64;3;0;12;21;10;112;1
204;Brome-Missisquoi;2018-10-01;G;Shefford, ct;1;;136;398;3;122;3;3;10;21;19;181;2
204;Brome-Missisquoi;2018-10-01;G;Shefford, ct;1;;137;419;0;135;3;0;17;37;20;212;3
204;Brome-Missisquoi;2018-10-01;G;Shefford, ct;1;;138;408;3;122;8;1;22;23;22;201;5
