Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bourcier Marc P.Q.;Brien Sylvie C.P.Q.;Chassin Youri C.A.Q.-É.F.L.;Desrochers Annabelle P.V.Q./G.P.Q.;Duhaime Ève Q.S.;Michaud Normand P.C.Q./C.P.Q.;Poulin Antoine P.L.Q./Q.L.P.;Simon Christine N.P.D.Q.;Starnino Giuseppe P.L.;B.V.;B.R.;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;3;;20;374;42;0;89;5;30;3;18;0;0;187;0;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;3;;21;383;53;0;94;3;30;0;19;1;1;201;4;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;4;;22;386;45;1;126;4;35;1;26;1;1;240;5;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;4;;23;375;54;1;90;2;29;0;19;0;0;195;0;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;4;;24;370;67;1;88;1;45;1;24;0;1;228;0;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;4;;25;367;73;2;72;1;33;2;17;2;1;203;0;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;4;;26;362;55;0;88;0;41;2;10;0;0;196;4;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;4;;27;374;58;1;88;4;33;2;8;0;1;195;3;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;4;;28;371;31;1;95;3;22;3;11;2;1;169;0;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;4;;29;366;43;1;90;3;20;0;22;0;0;179;0;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;4;;30;385;52;0;107;4;26;2;19;0;1;211;7;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;4;;31;421;70;1;99;3;27;3;9;0;0;212;7;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;4;;32;414;58;0;92;1;32;2;22;1;0;208;2;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;4;;33;398;41;3;82;5;24;3;14;0;0;172;7;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;4;;34;355;62;0;61;2;29;2;8;0;0;164;5;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;4;;35;370;42;2;96;2;34;5;14;0;0;195;2;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;4;;36;338;51;1;97;3;20;0;19;1;1;193;2;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;5;;37A;233;21;1;41;4;19;0;8;1;1;96;3;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;5;;37B;205;36;0;40;3;11;2;10;1;2;105;4;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;5;;38;397;62;0;117;2;23;3;14;1;0;222;3;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;5;;39;397;75;0;94;3;23;3;10;0;1;209;2;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;5;;40;395;39;4;101;7;26;3;20;1;0;201;2;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;5;;41;406;59;0;101;11;33;4;16;0;0;224;2;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;5;;42;394;54;1;87;4;22;0;20;0;0;188;4;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;5;;43;395;24;4;64;2;30;1;17;1;1;144;3;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;6;;44;329;31;0;74;0;21;1;13;1;0;141;5;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;6;;45;416;33;0;104;2;11;3;32;1;2;188;3;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;6;;46;357;48;6;56;2;27;2;8;1;2;152;3;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;6;;47;353;35;2;68;1;39;2;20;1;0;168;3;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;6;;48;358;37;2;60;6;25;5;15;1;0;151;1;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;6;;49;355;52;1;60;7;29;2;16;0;1;168;12;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;6;;50;325;53;3;58;1;20;2;8;0;1;146;7;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;6;;51;369;34;2;63;6;27;0;8;1;1;142;3;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;7;;52;360;62;2;62;2;32;0;16;0;0;176;5;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;7;;53;363;51;4;61;2;29;2;17;0;3;169;2;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;7;;54;342;43;1;43;1;21;0;5;1;0;115;1;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;7;;55;352;45;0;48;1;34;1;6;1;0;136;3;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;7;;56;358;40;2;43;2;25;1;7;0;0;120;7;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;7;;57;345;57;0;60;6;19;1;8;1;0;152;1;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;7;;58;362;53;1;71;0;38;0;29;0;2;194;0;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;8;;59;329;33;1;51;7;23;1;8;0;1;125;0;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;8;;60;323;38;2;51;0;23;0;9;1;0;124;3;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;8;;61;340;37;2;70;3;37;1;7;1;0;158;3;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;8;;62;311;30;0;25;1;23;1;12;0;0;92;1;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;8;;63;321;33;0;53;0;15;1;13;2;0;117;1;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;9;;64;403;35;4;77;2;20;0;15;1;0;154;6;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;9;;65;317;21;2;66;2;14;0;12;1;1;119;4;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;9;;66;263;31;0;81;1;16;2;49;0;2;182;4;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;9;;67;414;52;2;83;3;23;3;11;0;0;177;3;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;9;;68A;234;24;0;40;1;17;0;10;0;0;92;1;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;9;;68B;225;23;0;43;1;33;0;7;0;0;107;0;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;9;;69;373;48;0;96;4;19;0;16;0;0;183;3;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;10;;70;383;37;0;104;7;15;2;45;0;0;210;3;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;10;;71;372;43;0;88;2;36;0;15;1;0;185;2;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;10;;72;363;42;1;75;2;38;2;9;1;0;170;7;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;10;;73;370;47;4;75;2;20;2;14;0;1;165;6;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;10;;74;375;57;3;89;1;38;2;12;0;0;202;6;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;10;;75;378;55;0;86;4;35;0;4;1;2;187;4;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;10;;76;358;41;0;77;6;40;5;15;0;0;184;6;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;10;;77;365;59;1;60;6;33;2;9;1;2;173;0;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;11;;78;406;55;0;87;4;36;1;13;0;0;196;2;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;11;;79A;200;12;0;37;0;15;1;3;1;0;69;0;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;11;;79B;226;38;0;51;2;17;0;13;0;0;121;3;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;11;;80A;199;23;4;34;3;20;1;1;0;0;86;3;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;11;;80B;245;27;0;32;3;26;1;10;1;0;100;0;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;11;;81;423;48;0;93;5;31;2;18;1;1;199;4;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;11;;82;409;57;2;98;8;40;2;22;1;2;232;2;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;11;;83;402;49;2;81;3;25;2;24;0;0;186;2;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;11;;84;408;52;0;67;4;28;3;11;0;0;165;3;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;11;;85;399;38;2;79;4;32;0;13;0;0;168;2;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;11;;86;398;47;0;83;2;35;2;17;1;0;187;5;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;11;;87;398;38;0;88;2;27;2;25;0;0;182;1;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;11;;88;394;40;1;82;4;47;2;23;0;0;199;3;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;11;;89;399;51;0;76;4;36;0;4;1;0;172;4;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;11;;90;401;53;1;62;1;45;0;3;1;1;167;3;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;11;;91;380;42;0;71;2;40;0;10;5;1;171;3;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;11;;92;384;44;0;67;6;32;1;2;0;1;153;3;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;12;;93;389;33;3;62;3;21;2;16;1;0;141;0;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;12;;94;368;43;0;59;4;25;4;15;0;1;151;3;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;12;;95;381;32;0;58;3;39;1;16;0;0;149;1;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;12;;96;392;44;1;58;0;23;0;14;1;1;142;5;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;12;;97;375;37;1;64;3;23;0;11;2;1;142;5;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;13;;98;394;28;0;37;1;20;3;9;0;1;99;4;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;13;;99;387;19;1;40;3;25;0;22;2;0;112;0;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;13;;100;401;28;1;43;3;21;1;16;0;0;113;3;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;13;;101A;206;28;2;28;1;23;0;1;0;1;84;2;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;13;;101B;227;18;1;21;2;22;1;5;0;0;70;3;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;14;;102;378;34;2;57;1;24;0;23;0;1;142;5;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;14;;103;382;40;1;63;4;29;2;11;1;0;151;2;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;14;;104;375;42;0;70;7;27;2;10;1;0;159;4;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;14;;105;357;54;0;52;1;41;0;14;1;0;163;5;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;14;;106;382;51;0;63;4;26;0;15;2;0;161;3;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;14;;107;356;67;0;71;3;40;5;13;0;0;199;1;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;14;;108;376;37;8;57;6;22;5;10;0;0;145;1;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;14;;109;337;46;1;52;3;21;2;10;1;0;136;1;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;14;;110;365;48;4;37;1;21;2;13;1;0;127;8;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;14;;111A;222;36;1;37;2;19;1;2;0;0;98;2;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;14;;111B;232;26;1;20;5;19;2;2;0;0;75;1;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;15;;112;360;55;2;85;5;28;0;17;0;2;194;3;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;15;;113;374;72;0;82;1;26;6;20;3;1;211;7;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;15;;114;326;45;1;38;6;29;0;10;0;0;129;0;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;15;;115;341;51;1;62;0;39;2;10;0;0;165;1;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;15;;116;363;65;4;43;5;32;1;20;0;0;170;7;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;15;;117;338;43;3;34;7;17;0;8;2;2;116;1;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;16;;118A;234;29;0;40;3;19;1;8;1;0;101;2;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;16;;118B;224;17;0;40;2;17;0;4;0;0;80;0;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;16;;119;399;40;1;42;5;26;0;8;1;0;123;3;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;16;;120;407;36;2;47;8;24;2;8;5;0;132;2;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;17;;121;392;39;3;42;3;26;0;9;0;0;122;0;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;17;;122;376;34;3;42;2;33;3;11;1;1;130;5;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;17;;123;380;52;4;63;4;32;3;7;1;0;166;3;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;17;;124;383;53;3;56;6;37;2;12;1;0;170;2;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;17;;125;391;54;2;76;4;30;1;12;0;0;179;4;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;18;;126;349;45;2;148;4;8;3;51;1;1;263;2;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;18;;127;363;51;2;137;1;18;1;48;0;1;259;9;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;18;;128;368;45;2;97;5;34;0;32;2;2;219;2;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;18;;129;371;35;1;52;4;33;1;11;1;0;138;3;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;18;;130;368;28;0;40;2;26;2;8;0;1;107;2;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;19;;131;361;41;0;38;5;30;0;13;0;1;128;6;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;19;;132;371;61;2;56;3;26;3;15;0;3;169;4;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;19;;133A;224;18;2;24;1;8;2;5;0;1;61;1;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;19;;133B;360;37;1;28;2;17;1;6;0;0;92;2;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;20;;134;389;61;1;65;0;36;1;18;0;0;182;1;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;20;;135;372;36;1;61;2;28;1;6;0;1;136;3;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;20;;136;381;55;0;66;3;29;1;17;1;0;172;1;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;20;;137;389;56;1;67;6;27;3;9;0;1;170;7;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;20;;138;383;50;0;83;1;48;4;11;2;0;199;3;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;21;;139;389;62;0;98;2;33;1;13;1;1;211;2;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;21;;140;402;68;1;82;1;33;3;3;0;3;194;1;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;21;;141;395;72;6;96;3;28;3;9;1;0;218;0;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;21;;142;408;65;3;100;2;24;1;17;0;1;213;3;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;21;;143;413;61;2;84;4;38;1;10;0;0;200;0;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;21;;144;388;54;6;79;9;38;1;16;3;0;206;2;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;21;;145;396;49;1;78;4;33;2;9;0;0;176;6;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;21;;146;398;57;2;78;3;27;1;17;0;0;185;1;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;22;;147;326;38;2;49;2;42;5;5;1;1;145;3;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;22;;148;336;37;2;63;5;36;0;14;0;0;157;2;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;22;;149;336;51;2;67;3;22;3;16;0;0;164;5;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;22;;150;317;40;0;78;6;25;1;8;1;0;159;2;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;22;;151;329;60;0;81;1;33;1;13;0;0;189;3;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;23;;152;371;38;1;88;4;36;0;19;0;1;187;4;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;23;;153;385;55;1;90;5;29;2;10;0;0;192;4;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;23;;154;379;59;2;94;6;38;1;18;2;0;220;4;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;23;;155;380;64;1;116;5;40;0;21;2;1;250;4;
