Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Baaklini Marc C.A.Q.-É.F.L.;Bah Halimatou P.V.Q./G.P.Q.;Dago Jacques N.P.D.Q.;Deschamps Fernand P.M.L.Q.;Morissette Guy P.C.Q./C.P.Q.;Nicolas Elias Dib P.Q.;Pigeon Marie Josèphe Q.S.;Rizqy Marwah P.L.Q./Q.L.P.;B.V.;B.R.;
318;Saint-Laurent;2018-10-01;G;Montréal, v;24;;26;350;29;1;0;1;2;20;15;98;166;3;
318;Saint-Laurent;2018-10-01;G;Montréal, v;25;;27;401;33;5;3;0;6;13;22;128;210;3;
318;Saint-Laurent;2018-10-01;G;Montréal, v;25;;28;399;27;6;0;1;3;25;24;120;206;5;
318;Saint-Laurent;2018-10-01;G;Montréal, v;25;;29;395;46;8;3;0;4;30;32;89;212;4;
318;Saint-Laurent;2018-10-01;G;Montréal, v;25;;30;400;21;1;1;0;3;17;11;131;185;1;
318;Saint-Laurent;2018-10-01;G;Montréal, v;25;;31;393;14;3;3;0;3;10;9;119;161;3;
318;Saint-Laurent;2018-10-01;G;Montréal, v;26;;32;422;30;6;3;0;0;20;5;104;168;1;
318;Saint-Laurent;2018-10-01;G;Montréal, v;26;;33;416;26;2;5;1;7;20;10;87;158;1;
318;Saint-Laurent;2018-10-01;G;Montréal, v;26;;34;423;27;5;2;1;5;4;21;119;184;5;
318;Saint-Laurent;2018-10-01;G;Montréal, v;26;;35;419;7;1;0;1;0;7;13;43;72;0;
318;Saint-Laurent;2018-10-01;G;Montréal, v;26;;36;385;18;6;0;0;6;9;14;76;129;4;
318;Saint-Laurent;2018-10-01;G;Montréal, v;26;;37;403;11;6;6;1;4;9;17;110;164;4;
318;Saint-Laurent;2018-10-01;G;Montréal, v;26;;38;404;25;5;3;0;10;6;12;142;203;6;
318;Saint-Laurent;2018-10-01;G;Montréal, v;26;;39;415;19;4;4;2;5;4;18;126;182;3;
318;Saint-Laurent;2018-10-01;G;Montréal, v;27;;40;380;8;2;1;0;7;6;6;102;132;4;
318;Saint-Laurent;2018-10-01;G;Montréal, v;27;;41;372;29;8;5;0;1;8;14;74;139;3;
318;Saint-Laurent;2018-10-01;G;Montréal, v;27;;42;367;14;1;3;0;2;5;7;80;112;1;
318;Saint-Laurent;2018-10-01;G;Montréal, v;27;;43;350;18;5;1;0;11;4;4;81;124;2;
318;Saint-Laurent;2018-10-01;G;Montréal, v;27;;44;367;27;4;1;0;6;6;7;103;154;2;
318;Saint-Laurent;2018-10-01;G;Montréal, v;27;;45;364;23;5;0;1;5;6;8;117;165;4;
318;Saint-Laurent;2018-10-01;G;Montréal, v;27;;46;369;23;7;1;0;6;10;12;108;167;3;
318;Saint-Laurent;2018-10-01;G;Montréal, v;28;;47;390;22;2;3;0;4;9;14;95;149;4;
