Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Anglade Dominique P.L.Q./Q.L.P.;Duford Jean-Pierre P.V.Q./G.P.Q.;Ella-Oyono Dieudonné P.Q.;Gagnon-Paquin Félix B.P.;Hamel Sylvie C.A.Q.-É.F.L.;Orchard Caroline P.C.Q./C.P.Q.;Racette Benoit Q.S.;Scott Steven N.P.D.Q.;Sullivan Linda P.M.L.Q.;Young Christopher C.I.N.Q.;B.V.;B.R.;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;103;;110;395;71;4;19;1;23;2;31;3;0;0;154;1;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;103;;111A;230;53;2;8;0;14;2;20;1;0;3;103;0;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;103;;111B;208;46;1;8;0;18;1;11;4;0;1;90;0;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;103;;112;413;90;6;13;0;44;0;25;7;0;0;185;2;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;103;;113;384;85;6;9;0;26;2;23;2;0;0;153;0;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;103;;114A;243;51;3;4;0;16;1;10;1;0;0;86;0;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;103;;114B;234;56;1;8;0;20;1;14;1;0;0;101;1;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;103;;115;352;57;4;11;1;20;2;33;3;0;2;133;3;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;103;;116;345;61;3;14;0;31;0;20;2;0;1;132;4;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;103;;117;393;90;2;10;0;28;2;40;1;0;0;173;3;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;103;;118;340;75;3;6;0;20;1;15;2;0;0;122;1;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;104;;119;381;70;4;15;0;29;2;24;1;0;0;145;3;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;104;;120;360;45;6;19;0;48;0;18;3;1;1;141;3;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;104;;121;374;57;4;14;7;29;0;41;3;2;0;157;3;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;104;;122;372;52;10;20;1;19;1;37;5;1;0;146;3;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;104;;123;379;66;3;24;0;21;0;36;8;1;1;160;3;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;104;;124;380;70;8;17;1;21;5;33;3;0;0;158;2;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;104;;125;350;48;3;12;1;12;4;53;4;0;0;137;0;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;104;;126;361;48;7;17;0;26;3;57;4;1;1;164;4;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;104;;127;374;56;7;13;1;23;2;40;1;1;0;144;2;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;104;;128;371;68;5;24;1;30;2;34;5;0;1;170;1;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;105;;129;378;70;9;20;1;22;0;43;10;0;0;175;1;
