Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beaudry Louise Q.S.;Bourdon Rémi C.P.Q.;Magnan Robert P.L.Q./Q.L.P.;Proulx Caroline C.A.Q.-É.F.L.;St-Jean Jérôme P.V.Q./G.P.Q.;Villeneuve André P.Q.;B.V.;B.R.
566;Berthier;2018-10-01;G;Saint-Norbert, p;1;;68;295;49;0;14;54;5;49;171;0
566;Berthier;2018-10-01;G;Saint-Norbert, p;1;;69;275;28;9;6;64;6;43;156;5
566;Berthier;2018-10-01;G;Saint-Norbert, p;1;;70;283;21;3;6;85;0;57;172;2
566;Berthier;2018-10-01;G;Sainte-Élisabeth, m;1;;71;355;23;0;13;97;4;85;222;3
566;Berthier;2018-10-01;G;Sainte-Élisabeth, m;1;;72;368;37;5;28;90;7;60;227;3
566;Berthier;2018-10-01;G;Sainte-Élisabeth, m;1;;73;369;42;1;19;116;3;80;261;5
566;Berthier;2018-10-01;G;Saint-Félix-de-Valois, m;1;;74;397;25;4;9;80;2;44;164;4
566;Berthier;2018-10-01;G;Saint-Félix-de-Valois, m;1;;75;400;28;6;18;107;5;54;218;6
566;Berthier;2018-10-01;G;Saint-Félix-de-Valois, m;1;;76;391;43;1;10;78;4;50;186;3
566;Berthier;2018-10-01;G;Saint-Félix-de-Valois, m;1;;77;398;28;2;11;108;4;50;203;2
566;Berthier;2018-10-01;G;Saint-Félix-de-Valois, m;1;;78A;230;18;3;10;57;1;30;119;2
566;Berthier;2018-10-01;G;Saint-Félix-de-Valois, m;1;;78B;221;16;1;6;43;0;27;93;3
566;Berthier;2018-10-01;G;Saint-Félix-de-Valois, m;1;;79;401;26;1;13;121;0;57;218;4
566;Berthier;2018-10-01;G;Saint-Félix-de-Valois, m;1;;80;399;43;1;8;73;3;64;192;2
566;Berthier;2018-10-01;G;Saint-Félix-de-Valois, m;1;;81;404;23;1;22;77;2;45;170;4
566;Berthier;2018-10-01;G;Saint-Félix-de-Valois, m;1;;82;404;28;3;8;82;1;65;187;6
566;Berthier;2018-10-01;G;Saint-Félix-de-Valois, m;1;;83;395;51;2;14;119;4;53;243;6
566;Berthier;2018-10-01;G;Saint-Félix-de-Valois, m;1;;84;409;29;5;13;95;6;58;206;3
566;Berthier;2018-10-01;G;Saint-Félix-de-Valois, m;1;;85;397;29;4;19;79;6;82;219;5
566;Berthier;2018-10-01;G;Saint-Félix-de-Valois, m;1;;86;396;33;15;15;101;6;53;223;4
566;Berthier;2018-10-01;G;Sainte-Marcelline-de-Kildare, m;1;;87;330;53;2;17;85;7;55;219;5
566;Berthier;2018-10-01;G;Sainte-Marcelline-de-Kildare, m;1;;88;323;35;4;15;75;9;62;200;2
566;Berthier;2018-10-01;G;Sainte-Marcelline-de-Kildare, m;1;;89;323;37;1;14;69;5;47;173;7
566;Berthier;2018-10-01;G;Sainte-Marcelline-de-Kildare, m;1;;90;322;30;2;12;63;7;58;172;2
566;Berthier;2018-10-01;G;Sainte-Béatrix, m;1;;91;418;46;1;10;87;6;61;211;4
566;Berthier;2018-10-01;G;Sainte-Béatrix, m;1;;92;397;47;0;14;82;7;58;208;3
566;Berthier;2018-10-01;G;Sainte-Béatrix, m;1;;93;395;39;3;28;89;3;66;228;5
566;Berthier;2018-10-01;G;Sainte-Béatrix, m;1;;94;402;52;1;24;84;5;68;234;3
566;Berthier;2018-10-01;G;Saint-Alphonse-Rodriguez, m;1;;95;382;36;2;14;86;6;49;193;2
566;Berthier;2018-10-01;G;Saint-Alphonse-Rodriguez, m;1;;96;367;43;2;10;64;3;39;161;5
566;Berthier;2018-10-01;G;Saint-Alphonse-Rodriguez, m;1;;97;391;32;1;26;87;6;42;194;2
566;Berthier;2018-10-01;G;Saint-Alphonse-Rodriguez, m;1;;98;386;20;2;17;71;6;58;174;5
566;Berthier;2018-10-01;G;Saint-Alphonse-Rodriguez, m;1;;99;386;29;4;18;64;2;51;168;3
566;Berthier;2018-10-01;G;Saint-Alphonse-Rodriguez, m;1;;100;379;38;5;9;72;3;60;187;2
566;Berthier;2018-10-01;G;Saint-Alphonse-Rodriguez, m;1;;101;371;31;1;13;81;6;46;178;5
566;Berthier;2018-10-01;G;Saint-Côme, m;1;;102;380;25;4;15;128;2;68;242;5
566;Berthier;2018-10-01;G;Saint-Côme, m;1;;103;390;28;4;24;104;6;56;222;2
566;Berthier;2018-10-01;G;Saint-Côme, m;1;;104;388;18;2;13;102;2;73;210;7
566;Berthier;2018-10-01;G;Saint-Côme, m;1;;105;384;39;6;15;142;4;56;262;4
566;Berthier;2018-10-01;G;Saint-Côme, m;1;;106;378;42;8;10;102;1;62;225;9
566;Berthier;2018-10-01;G;Saint-Jean-de-Matha, m;1;;107;406;41;2;8;86;6;59;202;2
566;Berthier;2018-10-01;G;Saint-Jean-de-Matha, m;1;;108;402;30;2;19;101;2;49;203;5
566;Berthier;2018-10-01;G;Saint-Jean-de-Matha, m;1;;109;421;21;1;18;103;2;65;210;1
566;Berthier;2018-10-01;G;Saint-Jean-de-Matha, m;1;;110;408;36;1;20;76;4;53;190;11
566;Berthier;2018-10-01;G;Saint-Jean-de-Matha, m;1;;111;422;30;0;16;99;1;56;202;6
566;Berthier;2018-10-01;G;Saint-Jean-de-Matha, m;1;;112;413;32;4;13;85;3;43;180;2
566;Berthier;2018-10-01;G;Saint-Jean-de-Matha, m;1;;113;412;41;4;8;53;2;65;173;5
566;Berthier;2018-10-01;G;Saint-Jean-de-Matha, m;1;;114;403;33;6;12;79;1;48;179;2
566;Berthier;2018-10-01;G;Saint-Jean-de-Matha, m;1;;115;409;26;3;23;105;8;59;224;5
566;Berthier;2018-10-01;G;Saint-Cléophas-de-Brandon, m;1;;116;189;28;2;8;52;3;42;135;4
566;Berthier;2018-10-01;G;Saint-Gabriel-de-Brandon, m;1;;117;373;26;3;12;101;1;33;176;5
566;Berthier;2018-10-01;G;Saint-Gabriel-de-Brandon, m;1;;118;369;50;1;3;86;1;53;194;6
566;Berthier;2018-10-01;G;Saint-Gabriel-de-Brandon, m;1;;119;378;23;0;20;95;6;50;194;3
566;Berthier;2018-10-01;G;Saint-Gabriel-de-Brandon, m;1;;120;359;28;1;14;93;1;46;183;5
566;Berthier;2018-10-01;G;Saint-Gabriel-de-Brandon, m;1;;121;355;31;1;9;84;3;43;171;1
566;Berthier;2018-10-01;G;Saint-Gabriel-de-Brandon, m;1;;122;375;32;0;29;103;2;49;215;4
566;Berthier;2018-10-01;G;Saint-Gabriel, v;1;;123;397;37;1;14;85;4;45;186;5
566;Berthier;2018-10-01;G;Saint-Gabriel, v;1;;124;394;21;2;12;46;1;42;124;3
566;Berthier;2018-10-01;G;Saint-Gabriel, v;1;;125;420;27;1;12;71;2;52;165;4
566;Berthier;2018-10-01;G;Saint-Gabriel, v;1;;126;409;33;5;13;79;4;46;180;2
566;Berthier;2018-10-01;G;Saint-Gabriel, v;1;;127;406;22;4;8;101;0;24;159;6
566;Berthier;2018-10-01;G;Saint-Didace, p;1;;128;274;28;1;5;50;6;50;140;3
566;Berthier;2018-10-01;G;Saint-Didace, p;1;;129;276;29;0;14;49;2;61;155;4
566;Berthier;2018-10-01;G;Mandeville, m;1;;130;382;33;6;16;117;3;49;224;4
566;Berthier;2018-10-01;G;Mandeville, m;1;;131;381;28;4;10;136;2;64;244;7
566;Berthier;2018-10-01;G;Mandeville, m;1;;132;393;38;5;16;122;3;63;247;6
566;Berthier;2018-10-01;G;Mandeville, m;1;;133;371;28;3;11;92;2;61;197;2
566;Berthier;2018-10-01;G;Mandeville, m;1;;134;394;22;6;13;125;5;60;231;8
