Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;B-Godbout Anne Q.S.;Dubois Carole P.V.Q./G.P.Q.;Fitzgibbon Pierre C.A.Q.-É.F.L.;Goyette Mathieu C.P.Q.;Néron Jules P.C.Q./C.P.Q.;Selam Margaux P.L.Q./Q.L.P.;Traversy Mathieu P.Q.;B.V.;B.R.;
542;Terrebonne;2018-10-01;G;Terrebonne, v;6;;19;373;32;3;96;1;1;30;75;238;3;
542;Terrebonne;2018-10-01;G;Terrebonne, v;6;;20;362;29;6;72;3;2;16;39;167;4;
542;Terrebonne;2018-10-01;G;Terrebonne, v;6;;21;382;36;3;97;1;1;26;54;218;5;
542;Terrebonne;2018-10-01;G;Terrebonne, v;6;;22;371;32;4;106;1;2;25;76;246;4;
542;Terrebonne;2018-10-01;G;Terrebonne, v;6;;23;374;25;2;117;0;2;26;58;230;3;
542;Terrebonne;2018-10-01;G;Terrebonne, v;6;;24;370;34;3;101;1;0;43;54;236;2;
542;Terrebonne;2018-10-01;G;Terrebonne, v;6;;25;312;13;4;77;1;1;48;46;190;4;
542;Terrebonne;2018-10-01;G;Terrebonne, v;6;;26;349;18;0;80;2;1;61;30;192;2;
542;Terrebonne;2018-10-01;G;Terrebonne, v;6;;27A;240;20;0;59;0;0;20;16;115;3;
542;Terrebonne;2018-10-01;G;Terrebonne, v;6;;27B;231;23;5;65;0;0;23;24;140;2;
542;Terrebonne;2018-10-01;G;Terrebonne, v;6;;28;343;17;0;108;0;0;36;49;210;1;
542;Terrebonne;2018-10-01;G;Terrebonne, v;6;;29;340;19;3;91;0;5;21;44;183;2;
542;Terrebonne;2018-10-01;G;Terrebonne, v;6;;30;332;37;4;65;1;1;9;58;175;5;
542;Terrebonne;2018-10-01;G;Terrebonne, v;6;;31;389;23;3;76;1;3;32;68;206;5;
542;Terrebonne;2018-10-01;G;Terrebonne, v;6;;32;363;12;3;70;0;0;23;61;169;7;
542;Terrebonne;2018-10-01;G;Terrebonne, v;6;;33;377;16;4;108;0;0;29;56;213;3;
542;Terrebonne;2018-10-01;G;Terrebonne, v;6;;34;366;23;2;101;0;2;32;41;201;3;
542;Terrebonne;2018-10-01;G;Terrebonne, v;6;;35;384;17;0;80;1;0;31;41;170;6;
542;Terrebonne;2018-10-01;G;Terrebonne, v;6;;36;378;11;3;97;0;1;32;53;197;5;
542;Terrebonne;2018-10-01;G;Terrebonne, v;6;;37;314;11;5;90;0;3;40;28;177;4;
542;Terrebonne;2018-10-01;G;Terrebonne, v;7;;38;371;26;8;79;3;1;30;47;194;2;
542;Terrebonne;2018-10-01;G;Terrebonne, v;7;;39;372;17;3;104;0;0;30;37;191;6;
542;Terrebonne;2018-10-01;G;Terrebonne, v;7;;40;350;30;1;87;1;2;15;53;189;2;
542;Terrebonne;2018-10-01;G;Terrebonne, v;7;;41;371;14;1;76;0;4;30;63;188;1;
542;Terrebonne;2018-10-01;G;Terrebonne, v;7;;42;363;31;2;85;2;6;15;40;181;5;
542;Terrebonne;2018-10-01;G;Terrebonne, v;7;;43;371;37;1;77;2;2;19;52;190;3;
542;Terrebonne;2018-10-01;G;Terrebonne, v;7;;44;373;26;5;72;8;2;16;49;178;3;
542;Terrebonne;2018-10-01;G;Terrebonne, v;8;;45;385;23;1;144;0;0;18;66;252;3;
542;Terrebonne;2018-10-01;G;Terrebonne, v;8;;46;385;8;1;132;2;1;15;56;215;1;
542;Terrebonne;2018-10-01;G;Terrebonne, v;8;;47;375;31;0;91;1;1;21;62;207;2;
542;Terrebonne;2018-10-01;G;Terrebonne, v;8;;48;372;20;2;101;2;1;25;60;211;8;
542;Terrebonne;2018-10-01;G;Terrebonne, v;8;;49;372;30;3;120;2;0;32;66;253;1;
542;Terrebonne;2018-10-01;G;Terrebonne, v;8;;50;359;18;2;95;1;5;20;62;203;4;
542;Terrebonne;2018-10-01;G;Terrebonne, v;8;;51;383;49;3;102;1;1;17;55;228;7;
542;Terrebonne;2018-10-01;G;Terrebonne, v;8;;52;377;28;0;84;1;3;25;66;207;3;
542;Terrebonne;2018-10-01;G;Terrebonne, v;8;;53;387;22;8;102;3;3;18;62;218;4;
542;Terrebonne;2018-10-01;G;Terrebonne, v;8;;54;387;42;2;73;1;1;18;62;199;6;
542;Terrebonne;2018-10-01;G;Terrebonne, v;9;;55;394;26;4;103;1;1;23;63;221;3;
542;Terrebonne;2018-10-01;G;Terrebonne, v;9;;56;408;38;5;66;0;1;14;77;201;3;
542;Terrebonne;2018-10-01;G;Terrebonne, v;9;;57;412;40;1;119;0;0;21;72;253;5;
542;Terrebonne;2018-10-01;G;Terrebonne, v;9;;58;401;35;5;97;1;0;17;70;225;5;
542;Terrebonne;2018-10-01;G;Terrebonne, v;9;;59;393;38;3;99;1;0;30;72;243;2;
542;Terrebonne;2018-10-01;G;Terrebonne, v;9;;60;406;50;3;101;2;1;24;61;242;12;
542;Terrebonne;2018-10-01;G;Terrebonne, v;9;;61;402;45;1;110;1;2;25;78;262;1;
542;Terrebonne;2018-10-01;G;Terrebonne, v;9;;62;416;31;4;111;0;1;39;76;262;9;
542;Terrebonne;2018-10-01;G;Terrebonne, v;10;;63;409;27;1;99;3;3;23;56;212;0;
542;Terrebonne;2018-10-01;G;Terrebonne, v;10;;64;409;23;3;93;2;3;25;78;227;5;
542;Terrebonne;2018-10-01;G;Terrebonne, v;10;;65A;207;9;1;46;1;0;21;30;108;0;
542;Terrebonne;2018-10-01;G;Terrebonne, v;10;;65B;221;21;4;60;1;0;13;31;130;3;
542;Terrebonne;2018-10-01;G;Terrebonne, v;10;;66A;247;9;4;54;0;1;10;26;104;3;
542;Terrebonne;2018-10-01;G;Terrebonne, v;10;;66B;225;10;1;55;0;0;10;23;99;0;
542;Terrebonne;2018-10-01;G;Terrebonne, v;10;;67A;214;14;3;40;1;1;10;36;105;4;
542;Terrebonne;2018-10-01;G;Terrebonne, v;10;;67B;228;8;1;57;1;0;13;33;113;2;
542;Terrebonne;2018-10-01;G;Terrebonne, v;10;;68;417;28;3;107;1;0;39;64;242;5;
542;Terrebonne;2018-10-01;G;Terrebonne, v;10;;69;398;16;4;99;1;0;46;72;238;3;
542;Terrebonne;2018-10-01;G;Terrebonne, v;10;;70;390;18;4;112;1;2;35;57;229;4;
542;Terrebonne;2018-10-01;G;Terrebonne, v;10;;71;388;21;3;123;1;1;30;77;256;4;
542;Terrebonne;2018-10-01;G;Terrebonne, v;10;;72;389;14;6;112;2;0;39;66;239;2;
542;Terrebonne;2018-10-01;G;Terrebonne, v;10;;73;397;30;3;134;0;1;44;63;275;3;
542;Terrebonne;2018-10-01;G;Terrebonne, v;11;;74;399;35;4;79;3;5;25;69;220;4;
542;Terrebonne;2018-10-01;G;Terrebonne, v;11;;75;405;29;4;85;3;3;27;67;218;11;
542;Terrebonne;2018-10-01;G;Terrebonne, v;11;;76;400;27;4;100;1;2;30;76;240;1;
542;Terrebonne;2018-10-01;G;Terrebonne, v;11;;77;402;36;1;103;2;0;30;76;248;4;
542;Terrebonne;2018-10-01;G;Terrebonne, v;11;;78;402;35;3;104;1;0;19;71;233;3;
542;Terrebonne;2018-10-01;G;Terrebonne, v;11;;79;414;32;2;78;0;3;33;75;223;3;
542;Terrebonne;2018-10-01;G;Terrebonne, v;11;;80;412;20;2;111;0;0;16;83;232;6;
542;Terrebonne;2018-10-01;G;Terrebonne, v;11;;81;420;25;2;91;1;0;31;42;192;3;
542;Terrebonne;2018-10-01;G;Terrebonne, v;12;;82;363;32;5;78;1;2;25;86;229;6;
542;Terrebonne;2018-10-01;G;Terrebonne, v;12;;83;368;32;3;74;0;3;31;61;204;1;
542;Terrebonne;2018-10-01;G;Terrebonne, v;12;;84;364;25;5;83;4;4;24;55;200;2;
542;Terrebonne;2018-10-01;G;Terrebonne, v;12;;85;363;43;2;73;2;2;19;55;196;2;
542;Terrebonne;2018-10-01;G;Terrebonne, v;12;;86;375;29;4;104;4;1;23;71;236;5;
