Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bachand André C.A.Q.-É.F.L.;Brousseau Karl P.C.Q./C.P.Q.;Gendron Déitane C.P.Q.;Godbout Annie P.L.Q./Q.L.P.;La Madeleine Yves P.V.Q./G.P.Q.;Landry Colombe Q.S.;Vigneault Véronique P.Q.;B.V.;B.R.;
132;Richmond;2018-10-01;G;Asbestos, v;1;;36;393;110;1;1;25;1;30;31;199;5;
132;Richmond;2018-10-01;G;Asbestos, v;2;;37;363;57;0;2;25;2;19;21;126;2;
132;Richmond;2018-10-01;G;Asbestos, v;2;;38;350;83;1;0;18;1;20;15;138;3;
132;Richmond;2018-10-01;G;Asbestos, v;2;;39;362;74;1;1;22;2;22;20;142;5;
132;Richmond;2018-10-01;G;Asbestos, v;2;;40;364;70;1;0;21;4;22;26;144;2;
132;Richmond;2018-10-01;G;Asbestos, v;2;;41;356;92;1;1;18;2;16;26;156;2;
132;Richmond;2018-10-01;G;Asbestos, v;2;;42;362;77;3;2;26;0;16;32;156;5;
132;Richmond;2018-10-01;G;Wotton, m;1;;43;359;95;4;2;30;5;20;29;185;0;
132;Richmond;2018-10-01;G;Wotton, m;1;;44;383;101;1;3;35;3;30;40;213;1;
132;Richmond;2018-10-01;G;Wotton, m;1;;45;378;95;1;6;29;6;40;41;218;2;
132;Richmond;2018-10-01;G;Saint-Camille, ct;1;;46;405;57;4;1;37;3;72;89;263;4;
132;Richmond;2018-10-01;G;Saint-Adrien, m;1;;47;390;100;6;0;33;4;55;65;263;2;
132;Richmond;2018-10-01;G;Ham-Sud, m;1;;48;192;30;0;2;29;1;30;24;116;1;
132;Richmond;2018-10-01;G;Valcourt, ct;1;;49;264;49;1;1;30;4;27;33;145;4;
132;Richmond;2018-10-01;G;Valcourt, ct;1;;50;277;60;2;2;32;0;21;30;147;1;
132;Richmond;2018-10-01;G;Valcourt, ct;1;;51;279;75;3;0;32;4;27;21;162;2;
132;Richmond;2018-10-01;G;Valcourt, v;1;;52;328;68;1;3;44;2;30;33;181;5;
132;Richmond;2018-10-01;G;Valcourt, v;1;;53;323;64;2;2;37;4;21;26;156;2;
132;Richmond;2018-10-01;G;Valcourt, v;1;;54;340;46;2;1;34;5;28;19;135;3;
132;Richmond;2018-10-01;G;Valcourt, v;1;;55;342;76;2;2;21;0;21;32;154;6;
132;Richmond;2018-10-01;G;Valcourt, v;1;;56;328;74;0;4;33;1;30;33;175;2;
132;Richmond;2018-10-01;G;Maricourt, m;1;;57;345;76;9;1;30;3;38;38;195;6;
132;Richmond;2018-10-01;G;Racine, m;1;;58;345;84;8;6;33;1;54;26;212;1;
132;Richmond;2018-10-01;G;Racine, m;1;;59;349;62;6;4;38;3;47;35;195;4;
132;Richmond;2018-10-01;G;Racine, m;1;;60;362;53;3;2;53;5;28;27;171;1;
132;Richmond;2018-10-01;G;Saint-Denis-de-Brompton, m;1;;61;347;76;0;2;43;1;34;46;202;4;
