Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dostie Pierre Q.S.;Gagnon Léonard P.C.Q./C.P.Q.;Jean Mireille P.Q.;Laforest Andrée C.A.Q.-É.F.L.;Morency Marie-Josée P.L.Q./Q.L.P.;Philippe Tommy P.V.Q./G.P.Q.;B.V.;B.R.
918;Chicoutimi;2018-10-01;G;Saguenay, v;31;;26;387;35;4;41;95;48;8;231;5
918;Chicoutimi;2018-10-01;G;Saguenay, v;31;;27;398;33;1;45;80;43;3;205;2
918;Chicoutimi;2018-10-01;G;Saguenay, v;31;;28;385;27;3;46;94;38;4;212;4
918;Chicoutimi;2018-10-01;G;Saguenay, v;31;;29;404;34;2;55;128;31;3;253;7
918;Chicoutimi;2018-10-01;G;Saguenay, v;31;;30;406;33;1;41;105;32;7;219;3
918;Chicoutimi;2018-10-01;G;Saguenay, v;31;;31;385;33;2;57;82;36;4;214;5
918;Chicoutimi;2018-10-01;G;Saguenay, v;31;;32;403;24;2;50;82;28;5;191;3
918;Chicoutimi;2018-10-01;G;Saguenay, v;32;;33;368;31;2;55;72;42;3;205;2
918;Chicoutimi;2018-10-01;G;Saguenay, v;32;;34;367;24;0;37;80;30;6;177;3
918;Chicoutimi;2018-10-01;G;Saguenay, v;32;;35;378;21;3;60;85;46;4;219;9
918;Chicoutimi;2018-10-01;G;Saguenay, v;32;;36;362;17;6;58;112;35;9;237;4
918;Chicoutimi;2018-10-01;G;Saguenay, v;32;;37;365;22;2;51;66;24;2;167;5
918;Chicoutimi;2018-10-01;G;Saguenay, v;32;;38;373;31;1;39;99;26;7;203;5
918;Chicoutimi;2018-10-01;G;Saguenay, v;32;;39;377;24;1;62;112;27;7;233;5
918;Chicoutimi;2018-10-01;G;Saguenay, v;32;;40;391;25;3;39;123;25;8;223;5
918;Chicoutimi;2018-10-01;G;Saguenay, v;32;;41;413;14;6;30;135;51;2;238;5
918;Chicoutimi;2018-10-01;G;Saguenay, v;32;;42;387;20;11;38;82;37;2;190;8
918;Chicoutimi;2018-10-01;G;Saguenay, v;33;;43;381;25;8;44;75;24;3;179;3
918;Chicoutimi;2018-10-01;G;Saguenay, v;33;;44;396;37;3;41;67;28;4;180;4
918;Chicoutimi;2018-10-01;G;Saguenay, v;33;;45;382;33;4;31;60;29;3;160;5
918;Chicoutimi;2018-10-01;G;Saguenay, v;33;;46;359;23;4;27;64;18;2;138;4
918;Chicoutimi;2018-10-01;G;Saguenay, v;33;;47;384;38;5;32;82;17;5;179;4
918;Chicoutimi;2018-10-01;G;Saguenay, v;33;;48;391;22;3;47;90;23;7;192;8
918;Chicoutimi;2018-10-01;G;Saguenay, v;33;;49;384;18;2;46;113;28;2;209;4
