Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Brulé Martin P.L.;Charette Benoit C.A.Q.-É.F.L.;Dagenais Isabelle P.V.Q./G.P.Q.;Diop Fabienne Fatou P.L.Q./Q.L.P.;Emond Eric C.I.N.Q.;Fodor Delia P.C.Q./C.P.Q.;Goyer Daniel P.Q.;Lesage-Lanthier Audrey Q.S.;Paré Denis C.P.Q.;Roker Jr Hans B.P.;B.V.;B.R.;
508;Deux-Montagnes;2018-10-01;G;BVA2: SV no 9 à 15;;;;0;0;153;6;69;0;6;62;39;0;1;336;3;
508;Deux-Montagnes;2018-10-01;G;BVA3: SV no 22 à 29;;;;0;6;194;6;88;0;4;76;64;3;1;442;8;
508;Deux-Montagnes;2018-10-01;G;BVA4: SV no 30 à 35;;;;0;7;154;6;69;0;3;58;52;4;0;353;8;
508;Deux-Montagnes;2018-10-01;G;BVA5: SV no 36 à 41;;;;0;4;165;2;34;0;1;65;35;8;0;314;8;
508;Deux-Montagnes;2018-10-01;G;BVA6: SV no 42 à 48;;;;0;3;207;2;48;0;5;95;48;6;0;414;9;
508;Deux-Montagnes;2018-10-01;G;BVA7: SV no 49 à 54;;;;0;2;143;2;32;0;2;49;15;3;0;248;6;
508;Deux-Montagnes;2018-10-01;G;BVA8: SV no 55 à 60;;;;0;1;128;2;30;0;2;67;29;6;1;266;3;
508;Deux-Montagnes;2018-10-01;G;BVA9: SV no 61 à 67;;;;0;2;172;1;26;0;1;59;42;0;1;304;6;
508;Deux-Montagnes;2018-10-01;G;BVA10: SV no 74 à 79;;;;0;3;156;2;30;0;3;51;25;1;0;271;1;
508;Deux-Montagnes;2018-10-01;G;BVA11: SV no 80 à 85;;;;0;4;182;6;34;0;3;68;33;6;1;337;7;
508;Deux-Montagnes;2018-10-01;G;BVA12: SV no 86 à 91;;;;0;2;147;5;41;0;1;56;23;1;1;277;3;
508;Deux-Montagnes;2018-10-01;G;BVA13: SV no 92 à 98;;;;0;1;199;5;34;0;1;73;17;0;0;330;4;
508;Deux-Montagnes;2018-10-01;G;BVA14: SV no 99 à 105;;;;0;2;172;2;42;1;2;58;36;3;0;318;4;
508;Deux-Montagnes;2018-10-01;G;BVA15: SV no 106 à 111;;;;0;1;116;1;14;1;0;43;31;0;0;207;2;
508;Deux-Montagnes;2018-10-01;G;BVA16: SV no 112 à 117;;;;0;0;112;2;13;0;4;46;19;1;0;197;3;
508;Deux-Montagnes;2018-10-01;G;BVA17: SV no 118 à 123;;;;0;0;103;4;20;0;3;35;14;0;0;179;4;
508;Deux-Montagnes;2018-10-01;G;BVA18: SV no 16 à 21;;;;0;2;135;3;50;0;1;45;38;4;0;278;2;
508;Deux-Montagnes;2018-10-01;G;BVA19: SV no 68 à 73;;;;0;0;176;2;48;1;2;67;21;2;0;319;9;
508;Deux-Montagnes;2018-10-01;G;Vote en installation d'hébergement;;;;0;17;362;11;162;2;5;131;34;7;1;732;28;
508;Deux-Montagnes;2018-10-01;G;Vote itinérant et au domicile de l'électeur;;;;0;1;36;0;12;0;0;15;2;0;0;66;2;
508;Deux-Montagnes;2018-10-01;G;Vote au bureau du directeur du scrutin;;;;0;10;910;28;266;1;17;375;233;16;6;1862;29;
508;Deux-Montagnes;2018-10-01;G;Vote hors circonscription;;;;0;2;57;13;18;0;2;46;133;1;0;272;11;
508;Deux-Montagnes;2018-10-01;G;Vote hors Québec;;Regr. VHC-1;;27;0;0;0;0;0;0;0;0;0;0;0;0;
508;Deux-Montagnes;2018-10-01;G;Vote des détenus;;Regr. VHC-1;;5;0;0;0;0;0;0;0;0;0;0;0;0;
508;Deux-Montagnes;2018-10-01;G;Total de la circonscription;;;;48440;253;16038;722;4523;52;368;6464;4912;322;152;33806;636;
508;Deux-Montagnes;2018-10-01;G;Majorité en faveur de Benoit Charette : 9574
