Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Baland Eric-Abel N.P.D.Q.;Beaudoin Mathieu P.C.Q./C.P.Q.;Beaumier Sarah C.A.Q.-É.F.L.;Boily Gabriel C.P.Q.;Dandenault Christine P.M.L.Q.;Leduc Alexandre Q.S.;Mallette Etienne B.P.;Poirier Carole P.Q.;Provencher-Proulx Julien P.L.Q./Q.L.P.;B.V.;B.R.;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;327;;13;381;1;2;33;0;0;25;1;28;20;110;2;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;327;;14;397;1;4;21;2;0;24;0;34;36;122;4;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;328;;15;376;1;0;24;0;0;57;1;40;6;129;2;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;328;;16;380;1;3;17;0;0;102;2;33;10;168;5;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;328;;17;367;2;0;21;1;1;90;1;33;4;153;0;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;328;;18;405;2;1;21;0;0;95;1;46;18;184;3;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;328;;19;388;4;0;19;0;1;117;3;31;12;187;1;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;328;;20;377;0;1;20;1;0;77;1;35;11;146;1;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;329;;21;376;6;0;5;0;2;77;2;42;9;143;3;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;329;;22;384;4;1;20;0;0;82;0;36;19;162;1;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;329;;23;391;4;0;23;0;0;93;1;40;13;174;3;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;329;;24;402;2;3;14;0;2;98;0;38;8;165;5;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;330;;25;385;4;2;25;0;0;88;3;41;15;178;0;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;330;;26;393;4;1;16;0;0;101;1;36;21;180;6;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;330;;27;378;2;0;28;0;0;75;0;48;44;197;4;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;330;;28;369;0;2;22;1;0;69;0;38;37;169;2;
